Learning Rate	Loss	Acc. at 1	Acc. at 5	Time	
0.005000	1.238469	45.039997	92.649994	143.474700	
0.005000	1.464196	52.439999	94.229996	286.365077	
0.005000	1.301794	60.239998	96.119995	429.226331	
0.005000	1.019461	63.320000	96.869995	571.617452	
0.005000	0.838310	67.220001	96.939995	713.995099	
0.005000	0.705126	70.849998	97.970001	857.525963	
0.005000	0.922305	73.769997	98.329994	1000.191870	
0.005000	0.702860	75.239998	98.399994	1142.402758	
0.005000	0.732452	75.599998	98.549995	1288.876301	
0.005000	0.593930	77.869995	98.799995	1431.766440	
0.005000	0.453989	78.189995	98.639999	1574.268158	
0.005000	0.378966	78.189995	98.689995	1717.591996	
0.005000	0.464314	80.589996	98.970001	1860.638180	
0.005000	0.356717	81.339996	99.159996	2003.464242	
0.005000	0.494241	81.669998	99.139999	2146.497390	
0.005000	0.552726	81.669998	99.089996	2288.895909	
0.005000	0.271747	82.570000	99.119995	2432.648270	
0.005000	0.418926	83.790001	99.339996	2575.121064	
0.005000	0.285757	83.790001	99.139999	2717.960245	
0.005000	0.294000	83.970001	99.239998	2861.050520	
0.005000	0.508325	84.689995	99.389999	3004.236141	
0.005000	0.275332	84.689995	99.269997	3147.305323	
0.005000	0.246074	84.689995	99.430000	3290.360909	
0.005000	0.312884	84.689995	99.360001	3434.330679	
0.005000	0.239098	84.909996	99.479996	3577.326284	
0.005000	0.443741	85.919998	99.399994	3721.109821	
0.005000	0.227954	85.919998	99.279999	3864.341981	
0.005000	0.456464	85.919998	99.529999	4006.960227	
0.005000	0.284510	85.919998	99.389999	4150.718871	
0.005000	0.452133	85.919998	99.449997	4293.363104	
0.005000	0.155565	88.059998	99.589996	4436.726724	
0.005000	0.214785	88.199997	99.589996	4579.628389	
0.005000	0.118030	88.199997	99.589996	4722.596456	
0.005000	0.276032	88.199997	99.610001	4866.403321	
0.005000	0.139570	88.309998	99.599998	5009.974825	
0.005000	0.192495	88.309998	99.579994	5157.951407	
0.005000	0.115889	88.509995	99.589996	5301.597321	
0.005000	0.158583	88.509995	99.599998	5445.410178	
0.005000	0.375638	88.509995	99.610001	5588.527919	
0.005000	0.110801	88.509995	99.519997	5732.072980	
0.005000	0.246858	88.509995	99.549995	5875.563327	
0.005000	0.228550	88.549995	99.599998	6018.784225	
0.005000	0.143534	88.549995	99.549995	6162.773005	
0.005000	0.102782	88.549995	99.579994	6305.934818	
0.005000	0.317505	88.549995	99.589996	6448.744349	
0.005000	0.196065	88.549995	99.540001	6592.080765	
0.005000	0.091097	88.549995	99.559998	6735.727384	
0.005000	0.217210	88.549995	99.619995	6879.292947	
0.005000	0.243110	88.549995	99.619995	7023.387913	
0.005000	0.232512	88.549995	99.559998	7166.235516	
0.005000	0.093588	88.549995	99.599998	7309.598488	
0.005000	0.111218	88.549995	99.519997	7452.370346	
0.005000	0.238577	88.549995	99.549995	7596.194733	
0.005000	0.251392	88.549995	99.559998	7739.940665	
0.005000	0.087846	88.549995	99.589996	7882.398750	
0.005000	0.131007	88.549995	99.559998	8025.174504	
0.005000	0.135173	88.709999	99.589996	8167.686885	
0.005000	0.121012	88.709999	99.559998	8311.651395	
0.005000	0.366384	88.709999	99.549995	8454.826133	
0.005000	0.181148	88.709999	99.549995	8598.450078	
0.005000	0.175665	88.709999	99.570000	8741.297370	
0.005000	0.229403	88.709999	99.559998	8884.753154	
0.005000	0.086966	88.709999	99.559998	9028.409182	
0.005000	0.167306	88.709999	99.599998	9171.762941	
0.005000	0.174957	88.799995	99.559998	9315.541551	
0.005000	0.222199	88.799995	99.559998	9459.132601	
0.005000	0.131167	88.799995	99.559998	9603.278280	
0.005000	0.210083	88.799995	99.559998	9746.658465	
0.005000	0.390409	88.799995	99.570000	9890.232376	
0.005000	0.185932	88.799995	99.589996	10038.306836	
0.005000	0.139053	88.799995	99.559998	10182.537989	
0.005000	0.121733	88.799995	99.579994	10326.304123	
0.005000	0.220181	88.799995	99.549995	10469.018383	
0.005000	0.286348	88.799995	99.549995	10612.527219	
0.005000	0.110723	88.799995	99.579994	10755.268470	
0.005000	0.080841	88.799995	99.559998	10898.620017	
0.005000	0.071300	88.799995	99.559998	11042.523767	
0.005000	0.073698	88.799995	99.589996	11186.144932	
0.005000	0.191222	88.799995	99.589996	11330.405321	
0.005000	0.161716	88.799995	99.570000	11474.737684	
0.005000	0.245127	88.799995	99.570000	11617.959498	
0.005000	0.124799	88.799995	99.540001	11761.534750	
0.005000	0.160059	88.799995	99.549995	11904.564735	
0.005000	0.161118	88.799995	99.579994	12048.173930	
0.005000	0.141470	88.799995	99.589996	12193.772198	
0.005000	0.147926	88.799995	99.589996	12338.168639	
0.005000	0.123071	88.799995	99.589996	12481.564352	
0.005000	0.184952	88.799995	99.570000	12626.385854	
0.005000	0.142425	88.799995	99.599998	12772.055582	
0.005000	0.209117	88.799995	99.549995	12914.952879	
0.005000	0.332521	88.799995	99.549995	13059.918818	
0.005000	0.201175	88.799995	99.589996	13204.712966	
0.005000	0.369685	88.799995	99.610001	13349.212976	
0.005000	0.207806	88.799995	99.610001	13493.592008	
0.005000	0.237714	88.799995	99.599998	13638.260396	
0.005000	0.153962	88.799995	99.599998	13782.133017	
0.005000	0.360024	88.799995	99.529999	13925.182709	
0.005000	0.139854	88.799995	99.579994	14069.222598	
0.005000	0.118002	88.799995	99.629997	14212.374440	
0.005000	0.304765	88.799995	99.589996	14356.154076	
