Learning Rate	Loss	Acc. at 1	Acc. at 5	Time	
0.001000	1.987530	31.539999	84.720001	144.686491	
0.001000	1.781747	38.279999	88.909996	287.858573	
0.001000	1.681166	42.539997	90.889999	431.070337	
0.001000	1.361061	45.430000	92.079994	574.520337	
0.001000	1.356328	48.539997	93.139999	717.513263	
0.001000	1.300600	50.889999	94.040001	861.161611	
0.001000	1.284775	53.349998	94.470001	1004.007328	
0.001000	1.419002	55.119999	94.989998	1146.904374	
0.001000	1.380636	57.070000	95.509995	1290.453729	
0.001000	1.006678	58.559998	95.689995	1433.374962	
0.001000	1.006408	59.340000	95.939995	1576.742878	
0.001000	1.048143	61.789997	96.559998	1720.318427	
0.001000	0.973659	63.079998	96.759995	1862.908874	
0.001000	1.070745	63.549999	96.769997	2006.617175	
0.001000	0.860443	64.320000	97.149994	2149.787801	
0.001000	1.161999	64.570000	96.879997	2293.262869	
0.001000	1.027200	66.559998	97.540001	2436.627149	
0.001000	1.015444	67.049995	97.399994	2579.966806	
0.001000	1.024668	67.139999	97.379997	2723.307420	
0.001000	0.707512	67.139999	97.470001	2867.222201	
0.001000	0.905916	69.900002	97.829994	3009.909821	
0.001000	0.779851	69.900002	97.899994	3158.460208	
0.001000	0.828783	71.070000	98.070000	3301.814252	
0.001000	0.861448	71.479996	97.989998	3445.004489	
0.001000	0.781059	71.479996	97.849998	3589.134904	
0.001000	0.696307	72.849998	98.309998	3732.759474	
0.001000	0.957412	72.849998	98.180000	3877.054982	
0.001000	0.994627	72.849998	98.329994	4020.810735	
0.001000	0.664092	74.419998	98.509995	4164.621023	
0.001000	0.958879	74.419998	98.559998	4307.867725	
0.001000	0.607112	75.809998	98.619995	4451.733137	
0.001000	0.721407	75.869995	98.579994	4595.216797	
0.001000	0.432018	75.869995	98.599998	4738.789638	
0.001000	0.370347	75.869995	98.649994	4882.470989	
0.001000	0.527823	75.869995	98.610001	5025.526149	
0.001000	0.558919	75.879997	98.599998	5169.156942	
0.001000	0.543981	75.979996	98.610001	5312.505619	
0.001000	0.719878	75.979996	98.599998	5456.158864	
0.001000	0.758502	75.979996	98.629997	5600.010093	
0.001000	0.497178	76.239998	98.549995	5743.496801	
0.001000	0.750731	76.239998	98.599998	5887.414482	
0.001000	0.891634	76.239998	98.599998	6030.295573	
0.001000	0.731967	76.309998	98.619995	6174.377532	
0.001000	0.706308	76.309998	98.639999	6317.665841	
0.001000	0.652964	76.389999	98.669998	6461.864247	
0.001000	0.527986	76.470001	98.629997	6604.855310	
0.001000	0.497640	76.519997	98.629997	6749.548283	
0.001000	0.624415	76.559998	98.680000	6893.028531	
0.001000	0.448389	76.659996	98.579994	7036.355050	
0.001000	1.113858	76.659996	98.680000	7179.703192	
0.001000	0.651650	76.759995	98.699997	7324.086223	
0.001000	0.456366	76.769997	98.750000	7468.042867	
0.001000	0.531002	76.769997	98.659996	7611.958347	
0.001000	0.771490	76.769997	98.649994	7755.915979	
0.001000	0.348103	76.769997	98.659996	7900.013369	
0.001000	0.718795	76.769997	98.680000	8048.420208	
0.001000	0.544039	77.000000	98.669998	8202.441055	
0.001000	0.678234	77.000000	98.699997	8353.708978	
