Learning Rate	Test Loss	Test Acc.	
0.010000	23.716564	0.757812	
0.010000	23.613335	0.812500	
0.010000	23.971975	0.687500	
0.010000	23.718027	0.781250	
0.010000	23.731617	0.757812	
0.010000	23.627626	0.804688	
0.010000	23.566086	0.796875	
0.010000	23.625818	0.804688	
0.010000	23.873064	0.734375	
0.010000	23.956329	0.710938	
0.010000	23.853296	0.750000	
0.010000	23.726120	0.757812	
0.010000	23.777567	0.773438	
0.010000	23.821753	0.695312	
0.010000	23.672543	0.734375	
0.010000	23.752985	0.750000	
0.010000	23.839634	0.703125	
0.010000	23.991013	0.734375	
0.010000	23.718737	0.757812	
0.010000	23.717318	0.734375	
0.010000	23.770390	0.750000	
0.010000	23.619513	0.812500	
0.010000	23.720451	0.773438	
0.010000	23.690125	0.757812	
0.010000	23.747021	0.757812	
0.010000	23.580954	0.820312	
0.010000	23.665045	0.765625	
0.010000	23.742701	0.773438	
0.010000	23.634102	0.789062	
0.010000	23.981955	0.687500	
0.010000	23.853468	0.750000	
0.010000	23.599707	0.781250	
0.010000	23.712322	0.781250	
0.010000	23.780336	0.742188	
0.010000	23.873940	0.687500	
0.010000	23.846357	0.750000	
0.010000	23.524466	0.851562	
0.010000	23.796488	0.734375	
0.010000	23.574512	0.796875	
0.010000	23.684858	0.796875	
0.010000	23.535015	0.820312	
0.010000	23.353941	0.859375	
0.010000	23.303562	0.875000	
0.010000	23.596573	0.804688	
0.010000	23.507444	0.859375	
0.010000	23.494864	0.828125	
0.010000	23.636478	0.812500	
0.010000	23.648670	0.781250	
0.010000	23.306482	0.890625	
0.010000	23.302351	0.898438	
0.010000	23.443165	0.851562	
0.010000	23.717947	0.742188	
0.010000	23.711569	0.765625	
0.010000	23.454615	0.812500	
0.010000	23.359018	0.875000	
0.010000	23.471621	0.804688	
0.010000	23.526295	0.828125	
0.010000	23.374968	0.851562	
0.010000	23.671795	0.765625	
0.010000	23.373602	0.851562	
0.010000	23.316967	0.890625	
0.010000	23.829683	0.726562	
0.010000	23.366030	0.867188	
0.010000	23.523529	0.796875	
0.010000	23.700327	0.773438	
0.010000	23.437510	0.828125	
0.010000	23.374086	0.875000	
0.010000	23.334963	0.867188	
0.010000	23.238914	0.929688	
0.010000	23.192369	0.945312	
0.010000	23.719330	0.804688	
0.010000	23.484770	0.835938	
0.010000	23.444069	0.843750	
0.010000	23.265650	0.937500	
0.010000	23.441095	0.828125	
0.010000	23.732319	0.765625	
0.010000	23.949348	0.703125	
0.010000	23.763899	0.742188	
0.010000	23.165474	0.937500	
0.010000	23.227671	0.914062	
0.010000	23.323551	0.898438	
0.010000	23.489271	0.859375	
0.010000	23.402164	0.875000	
0.010000	23.509102	0.859375	
0.010000	23.408342	0.875000	
0.010000	23.261206	0.906250	
0.010000	23.430714	0.859375	
0.010000	23.496397	0.851562	
0.010000	23.545698	0.835938	
0.010000	23.327999	0.921875	
0.010000	23.508141	0.835938	
0.010000	23.426394	0.859375	
0.010000	23.636133	0.789062	
0.010000	23.507084	0.804688	
0.010000	23.547621	0.859375	
0.010000	23.466427	0.859375	
0.010000	23.610701	0.882812	
0.010000	23.465811	0.843750	
0.010000	23.365833	0.835938	
0.010000	23.369453	0.882812	
0.010000	23.543451	0.820312	
0.010000	23.438917	0.867188	
0.010000	23.306082	0.898438	
0.010000	23.307526	0.929688	
0.010000	23.331133	0.898438	
0.010000	23.522581	0.851562	
0.010000	23.423758	0.859375	
0.010000	23.367500	0.906250	
0.010000	23.632065	0.812500	
0.010000	23.475500	0.859375	
0.010000	23.309082	0.898438	
0.010000	23.392712	0.898438	
0.010000	23.463531	0.851562	
0.010000	23.277637	0.914062	
0.010000	23.389202	0.867188	
0.010000	23.303087	0.906250	
0.010000	23.401529	0.859375	
0.010000	23.434471	0.851562	
0.010000	23.181242	0.937500	
0.010000	23.336220	0.914062	
0.010000	23.134020	0.945312	
0.010000	23.079222	0.968750	
0.010000	23.355988	0.882812	
0.010000	23.336205	0.898438	
0.010000	23.219408	0.937500	
0.010000	23.481398	0.835938	
0.010000	23.488752	0.867188	
0.010000	23.145199	0.953125	
0.010000	23.063133	0.984375	
0.010000	23.221735	0.960938	
0.010000	23.466434	0.835938	
0.010000	23.415880	0.882812	
0.010000	23.213699	0.921875	
0.010000	23.132624	0.929688	
0.010000	23.237415	0.906250	
0.010000	23.209244	0.960938	
