Learning Rate	Test Loss	Test Acc.	
0.010000	2.963949	0.968750	
0.010000	2.913099	0.960938	
0.010000	3.045506	0.945312	
0.010000	2.982244	0.953125	
0.010000	3.015872	0.929688	
0.010000	2.983216	0.953125	
0.010000	2.923310	0.945312	
0.010000	2.934155	0.929688	
0.010000	3.053188	0.914062	
0.010000	3.107466	0.906250	
0.010000	2.945654	0.921875	
0.010000	2.833239	0.945312	
0.010000	2.862847	0.945312	
0.010000	2.883713	0.929688	
0.010000	2.826612	0.945312	
0.010000	2.824417	0.953125	
0.010000	2.938606	0.898438	
0.010000	2.825641	0.945312	
0.010000	2.791074	0.945312	
0.010000	2.740773	0.976562	
0.010000	2.736663	0.945312	
0.010000	2.817976	0.929688	
0.010000	2.862630	0.929688	
0.010000	2.775813	0.921875	
0.010000	2.771194	0.960938	
0.010000	2.765553	0.929688	
0.010000	2.676083	0.968750	
0.010000	2.744117	0.953125	
0.010000	2.734319	0.929688	
0.010000	2.931866	0.890625	
0.010000	2.673958	0.968750	
0.010000	2.727940	0.945312	
0.010000	2.669636	0.945312	
0.010000	2.711325	0.929688	
0.010000	2.639925	0.937500	
0.010000	2.614153	0.960938	
0.010000	2.596318	0.968750	
0.010000	2.654715	0.960938	
0.010000	2.566112	0.960938	
0.010000	2.544651	0.976562	
0.010000	2.539048	0.953125	
0.010000	2.461910	0.992188	
0.010000	2.478058	0.992188	
0.010000	2.468768	0.976562	
0.010000	2.477693	0.976562	
0.010000	2.449467	0.984375	
0.010000	2.597161	0.945312	
0.010000	2.527444	0.960938	
0.010000	2.430480	0.984375	
0.010000	2.426228	0.992188	
0.010000	2.558360	0.945312	
0.010000	2.821306	0.890625	
0.010000	2.435256	0.960938	
0.010000	2.398161	0.984375	
0.010000	2.377674	0.984375	
0.010000	2.353651	0.992188	
0.010000	2.349842	1.000000	
0.010000	2.332478	1.000000	
0.010000	2.427434	0.976562	
0.010000	2.338094	0.992188	
0.010000	2.355727	0.984375	
0.010000	2.562059	0.921875	
0.010000	2.324512	0.992188	
0.010000	2.448245	0.960938	
0.010000	2.442102	0.945312	
0.010000	2.441310	0.945312	
0.010000	2.495645	0.968750	
0.010000	2.257521	1.000000	
0.010000	2.297888	0.984375	
0.010000	2.251950	1.000000	
0.010000	2.397466	0.960938	
0.010000	2.299283	0.976562	
0.010000	2.242799	0.984375	
0.010000	2.443023	0.937500	
0.010000	2.352147	0.953125	
0.010000	2.484691	0.929688	
0.010000	2.449102	0.937500	
0.010000	2.401371	0.914062	
0.010000	2.183853	1.000000	
0.010000	1.006538	0.976562	
0.010000	0.996319	0.976562	
0.010000	1.079359	0.953125	
0.010000	1.104306	0.937500	
0.010000	1.011348	0.968750	
0.010000	1.087327	0.960938	
0.010000	1.072703	0.953125	
0.010000	1.177881	0.929688	
0.010000	1.131887	0.921875	
0.010000	1.129420	0.945312	
0.010000	1.027102	0.960938	
0.010000	1.020969	0.968750	
0.010000	1.051569	0.960938	
0.010000	1.072319	0.945312	
0.010000	1.092783	0.921875	
0.010000	1.001984	0.984375	
0.010000	1.111287	0.929688	
0.010000	1.128742	0.937500	
0.010000	1.088703	0.921875	
0.010000	0.992205	0.992188	
0.010000	1.102187	0.953125	
0.010000	1.009830	0.976562	
0.010000	1.066392	0.960938	
0.010000	0.992645	0.976562	
0.010000	0.955460	0.992188	
0.010000	1.087999	0.960938	
0.010000	1.025818	0.953125	
0.010000	1.104288	0.960938	
0.010000	0.966110	0.976562	
0.010000	1.094025	0.937500	
0.010000	1.026464	0.976562	
0.010000	1.098656	0.953125	
0.010000	1.009953	0.968750	
0.010000	1.078833	0.937500	
0.010000	1.001073	0.976562	
0.010000	0.982237	0.976562	
0.010000	1.022466	0.945312	
0.010000	1.055963	0.945312	
0.010000	0.963427	0.968750	
0.010000	0.964786	0.976562	
0.010000	0.950571	0.984375	
0.010000	0.939313	0.992188	
0.010000	0.914721	0.992188	
0.010000	0.942121	0.984375	
0.010000	0.990134	0.968750	
0.010000	0.961441	0.968750	
0.010000	1.030682	0.953125	
0.010000	0.939346	0.976562	
0.010000	0.939245	0.984375	
0.010000	0.892555	1.000000	
0.010000	0.913210	0.984375	
0.010000	1.227318	0.914062	
0.010000	0.905950	1.000000	
0.010000	0.962351	0.992188	
0.010000	0.913896	0.992188	
0.010000	0.977452	0.984375	
0.010000	0.903106	0.992188	
0.010000	0.901127	0.992188	
0.010000	0.930848	0.976562	
0.010000	0.904409	0.984375	
0.010000	0.947089	0.976562	
0.010000	1.217016	0.914062	
0.010000	0.918719	0.984375	
0.010000	1.038197	0.953125	
0.010000	0.937257	0.992188	
0.010000	0.977986	0.976562	
0.010000	0.911461	0.992188	
0.010000	0.872304	1.000000	
0.010000	0.879300	1.000000	
0.010000	0.871958	1.000000	
0.010000	0.910529	0.984375	
0.010000	0.877297	0.992188	
0.010000	0.920358	0.984375	
0.010000	0.904130	0.984375	
0.010000	0.954211	0.968750	
0.010000	1.165515	0.914062	
