Learning Rate	Test Loss	Test Acc.	
0.010000	3.435406	0.945312	
0.010000	3.535211	0.914062	
0.010000	3.532162	0.906250	
0.010000	3.521135	0.906250	
0.010000	3.487972	0.921875	
0.010000	3.424717	0.929688	
0.010000	3.449644	0.945312	
0.010000	3.424176	0.929688	
0.010000	3.579041	0.890625	
0.010000	3.568019	0.898438	
0.010000	3.482688	0.937500	
0.010000	3.429870	0.914062	
0.010000	3.351964	0.937500	
0.010000	3.603206	0.867188	
0.010000	3.399045	0.937500	
0.010000	3.355908	0.929688	
0.010000	3.425756	0.914062	
0.010000	3.405277	0.921875	
0.010000	3.294728	0.937500	
0.010000	3.280507	0.937500	
0.010000	3.383714	0.937500	
0.010000	3.355237	0.890625	
0.010000	3.281059	0.906250	
0.010000	3.334515	0.914062	
0.010000	3.161062	0.953125	
0.010000	3.240711	0.945312	
0.010000	3.204008	0.953125	
0.010000	3.258667	0.914062	
0.010000	3.156996	0.960938	
0.010000	3.244044	0.914062	
0.010000	3.317091	0.898438	
0.010000	3.107226	0.945312	
0.010000	3.165272	0.945312	
0.010000	3.179618	0.929688	
0.010000	3.091923	0.937500	
0.010000	3.155187	0.921875	
0.010000	3.058998	0.953125	
0.010000	3.168597	0.921875	
0.010000	3.101737	0.937500	
0.010000	2.957183	0.976562	
0.010000	3.007534	0.960938	
0.010000	2.920400	0.992188	
0.010000	2.941799	0.976562	
0.010000	2.931685	0.968750	
0.010000	2.982397	0.968750	
0.010000	2.946419	0.968750	
0.010000	3.175827	0.906250	
0.010000	2.956056	0.937500	
0.010000	2.998719	0.953125	
0.010000	2.842298	0.984375	
0.010000	2.904614	0.945312	
0.010000	3.547519	0.812500	
0.010000	2.960410	0.929688	
0.010000	2.869239	0.945312	
0.010000	2.824317	0.992188	
0.010000	2.860704	0.968750	
0.010000	2.803695	0.984375	
0.010000	2.819422	0.992188	
0.010000	2.805041	0.968750	
0.010000	2.781375	0.976562	
0.010000	2.770962	0.984375	
0.010000	3.307111	0.828125	
0.010000	2.733938	0.992188	
0.010000	2.814079	0.968750	
0.010000	2.776229	0.968750	
0.010000	3.017230	0.929688	
0.010000	2.728897	0.976562	
0.010000	2.694542	0.992188	
0.010000	2.699338	0.984375	
0.010000	2.694209	0.968750	
0.010000	2.974400	0.921875	
0.010000	2.681160	0.984375	
0.010000	2.701893	0.976562	
0.010000	2.660955	0.984375	
0.010000	2.709527	0.968750	
0.010000	3.070814	0.875000	
0.010000	2.908875	0.914062	
0.010000	2.941231	0.890625	
0.010000	2.586149	1.000000	
0.010000	1.109589	0.968750	
0.010000	1.063457	0.984375	
0.010000	1.205440	0.929688	
0.010000	1.201713	0.960938	
0.010000	1.140058	0.937500	
0.010000	1.251163	0.929688	
0.010000	1.117860	0.968750	
0.010000	1.163530	0.929688	
0.010000	1.184265	0.929688	
0.010000	1.233625	0.929688	
0.010000	1.157025	0.945312	
0.010000	1.141360	0.953125	
0.010000	1.064499	0.976562	
0.010000	1.167628	0.937500	
0.010000	1.151379	0.976562	
0.010000	1.170313	0.921875	
0.010000	1.225413	0.937500	
0.010000	1.122171	0.960938	
0.010000	1.109272	0.960938	
0.010000	1.131057	0.960938	
0.010000	1.124129	0.937500	
0.010000	1.158384	0.937500	
0.010000	1.033093	0.968750	
0.010000	1.068442	0.968750	
0.010000	1.072815	0.968750	
0.010000	1.001307	0.984375	
0.010000	1.042550	0.968750	
0.010000	1.133421	0.929688	
0.010000	1.024301	0.968750	
0.010000	1.153226	0.968750	
0.010000	1.076745	0.960938	
0.010000	1.028083	0.968750	
0.010000	1.016152	0.968750	
0.010000	1.190838	0.929688	
0.010000	1.108382	0.953125	
0.010000	1.182612	0.914062	
0.010000	1.048071	0.960938	
0.010000	1.072962	0.968750	
0.010000	1.026970	0.968750	
0.010000	0.987025	0.984375	
0.010000	0.988573	0.992188	
0.010000	1.001564	0.984375	
0.010000	0.986951	0.984375	
0.010000	1.084265	0.953125	
0.010000	1.051003	0.968750	
0.010000	0.999236	0.976562	
0.010000	1.263491	0.906250	
0.010000	1.011627	0.984375	
0.010000	0.981740	0.984375	
0.010000	0.935446	1.000000	
0.010000	0.985277	0.984375	
0.010000	1.532360	0.867188	
0.010000	1.113490	0.960938	
0.010000	1.051613	0.960938	
0.010000	1.006717	0.984375	
0.010000	0.997461	0.984375	
0.010000	0.962020	0.984375	
0.010000	0.929315	1.000000	
0.010000	1.015531	0.968750	
0.010000	1.045781	0.968750	
0.010000	0.978000	0.984375	
0.010000	1.430554	0.867188	
0.010000	0.930322	1.000000	
0.010000	0.994998	0.976562	
0.010000	0.963729	0.984375	
0.010000	1.068102	0.953125	
0.010000	0.940903	0.984375	
0.010000	1.013311	0.976562	
0.010000	0.914089	1.000000	
0.010000	0.931740	0.984375	
0.010000	0.992900	0.984375	
0.010000	0.930349	0.992188	
0.010000	0.915241	1.000000	
0.010000	1.113561	0.937500	
0.010000	1.247700	0.906250	
0.010000	1.387200	0.898438	
0.010000	1.127053	0.906250	
0.010000	1.047471	0.953125	
0.010000	0.912010	1.000000	
0.010000	0.627006	0.992188	
0.010000	0.705768	0.953125	
0.010000	0.703996	0.945312	
0.010000	0.816679	0.906250	
0.010000	0.670189	0.953125	
0.010000	0.729880	0.937500	
0.010000	0.655317	0.960938	
0.010000	0.723439	0.945312	
0.010000	0.821865	0.921875	
0.010000	0.762455	0.937500	
0.010000	0.658927	0.960938	
0.010000	0.717746	0.960938	
0.010000	0.667485	0.968750	
0.010000	0.746893	0.945312	
0.010000	0.726645	0.953125	
0.010000	0.685975	0.960938	
0.010000	0.819058	0.937500	
0.010000	0.750533	0.968750	
0.010000	0.698509	0.953125	
0.010000	0.669536	0.968750	
0.010000	0.761545	0.953125	
0.010000	0.653117	0.968750	
0.010000	0.694140	0.953125	
0.010000	0.688004	0.953125	
0.010000	0.619410	0.984375	
0.010000	0.666689	0.984375	
0.010000	0.685612	0.960938	
0.010000	0.679184	0.976562	
0.010000	0.623291	0.968750	
0.010000	0.709780	0.929688	
0.010000	0.703252	0.953125	
0.010000	0.764650	0.937500	
0.010000	0.691543	0.960938	
0.010000	0.710158	0.945312	
0.010000	0.644235	0.976562	
0.010000	0.741088	0.937500	
0.010000	0.660712	0.976562	
