Learning Rate	Test Loss	Test Acc.	
0.010000	23.667912	0.796875	
0.010000	23.581596	0.781250	
0.010000	23.655199	0.773438	
0.010000	23.742840	0.718750	
0.010000	23.853249	0.718750	
0.010000	23.689520	0.750000	
0.010000	23.715387	0.734375	
0.010000	23.625538	0.828125	
0.010000	23.735855	0.765625	
0.010000	23.887552	0.703125	
0.010000	23.560732	0.820312	
0.010000	23.772568	0.742188	
0.010000	23.592653	0.828125	
0.010000	23.744978	0.828125	
0.010000	23.655977	0.789062	
0.010000	23.698193	0.796875	
0.010000	23.609352	0.773438	
0.010000	23.858311	0.765625	
0.010000	23.820366	0.703125	
0.010000	23.844036	0.750000	
0.010000	23.639900	0.781250	
0.010000	23.702427	0.789062	
0.010000	23.684696	0.742188	
0.010000	23.526365	0.820312	
0.010000	23.723101	0.765625	
0.010000	23.552990	0.804688	
0.010000	23.437090	0.859375	
0.010000	23.786915	0.710938	
0.010000	23.602261	0.843750	
0.010000	24.002592	0.695312	
0.010000	23.758301	0.750000	
0.010000	23.628681	0.820312	
0.010000	23.655975	0.781250	
0.010000	23.736883	0.757812	
0.010000	23.640547	0.804688	
0.010000	23.625761	0.789062	
0.010000	23.677046	0.773438	
0.010000	23.632013	0.789062	
0.010000	23.823626	0.757812	
0.010000	23.512621	0.828125	
0.010000	23.493874	0.804688	
0.010000	23.286243	0.921875	
0.010000	23.318510	0.914062	
0.010000	23.586494	0.804688	
0.010000	23.525949	0.843750	
0.010000	23.648878	0.781250	
0.010000	23.783785	0.781250	
0.010000	23.473736	0.867188	
0.010000	23.570662	0.812500	
0.010000	23.270521	0.898438	
0.010000	23.447001	0.851562	
0.010000	23.727604	0.773438	
0.010000	23.625404	0.765625	
0.010000	23.514999	0.867188	
0.010000	23.233433	0.914062	
0.010000	23.327147	0.906250	
0.010000	23.536606	0.820312	
0.010000	23.378040	0.875000	
0.010000	23.750875	0.773438	
0.010000	23.583443	0.851562	
0.010000	23.311440	0.875000	
0.010000	23.817598	0.742188	
0.010000	23.371078	0.914062	
0.010000	23.484798	0.828125	
0.010000	23.611906	0.804688	
0.010000	23.465628	0.843750	
0.010000	23.401285	0.828125	
0.010000	23.267817	0.906250	
0.010000	23.214186	0.945312	
0.010000	23.250156	0.906250	
0.010000	23.615791	0.843750	
0.010000	23.395664	0.835938	
0.010000	23.336340	0.867188	
0.010000	23.311611	0.875000	
0.010000	23.307114	0.898438	
0.010000	23.708801	0.773438	
0.010000	23.690992	0.750000	
0.010000	23.828527	0.750000	
0.010000	23.199713	0.875000	
0.010000	23.302488	0.906250	
0.010000	23.287626	0.890625	
0.010000	23.368063	0.882812	
0.010000	23.513592	0.828125	
0.010000	23.434483	0.851562	
0.010000	23.371298	0.867188	
0.010000	23.244041	0.914062	
0.010000	23.536087	0.843750	
0.010000	23.377995	0.867188	
0.010000	23.541775	0.859375	
0.010000	23.383106	0.812500	
0.010000	23.350431	0.890625	
0.010000	23.555763	0.828125	
0.010000	23.483391	0.882812	
0.010000	23.290464	0.890625	
0.010000	23.412806	0.867188	
0.010000	23.573622	0.820312	
0.010000	23.576324	0.820312	
0.010000	23.606247	0.789062	
0.010000	23.369484	0.890625	
0.010000	23.427906	0.859375	
0.010000	23.303492	0.898438	
0.010000	23.293268	0.882812	
0.010000	23.387201	0.867188	
0.010000	23.377720	0.867188	
0.010000	23.319672	0.914062	
0.010000	23.351612	0.882812	
0.010000	23.407534	0.875000	
0.010000	23.295654	0.906250	
0.010000	23.635769	0.812500	
0.010000	23.617085	0.804688	
0.010000	23.428551	0.875000	
0.010000	23.426571	0.867188	
0.010000	23.374790	0.867188	
0.010000	23.324480	0.890625	
0.010000	23.408171	0.867188	
0.010000	23.314356	0.898438	
0.010000	23.533642	0.804688	
0.010000	23.588240	0.820312	
0.010000	23.266386	0.929688	
0.010000	23.447559	0.859375	
0.010000	23.136152	0.960938	
0.010000	23.059483	0.984375	
0.010000	23.335369	0.867188	
0.010000	23.302841	0.906250	
0.010000	23.330568	0.898438	
0.010000	23.381618	0.867188	
0.010000	23.268827	0.937500	
0.010000	23.245655	0.960938	
0.010000	23.105310	0.945312	
0.010000	23.173540	0.953125	
0.010000	23.537209	0.812500	
0.010000	23.238615	0.929688	
0.010000	23.210257	0.945312	
0.010000	23.153770	0.937500	
0.010000	23.210587	0.929688	
0.010000	23.343576	0.882812	
0.010000	23.235744	0.906250	
0.010000	23.423790	0.859375	
0.010000	23.153934	0.953125	
0.010000	23.208136	0.929688	
0.010000	23.492598	0.812500	
0.010000	23.125904	0.953125	
0.010000	23.311432	0.890625	
0.010000	23.410423	0.851562	
0.010000	23.229761	0.929688	
0.010000	23.180382	0.953125	
0.010000	23.059742	0.984375	
0.010000	23.082520	0.960938	
0.010000	23.066265	0.976562	
0.010000	23.320704	0.937500	
0.010000	23.163580	0.929688	
0.010000	23.120373	0.953125	
0.010000	23.143471	0.953125	
0.010000	23.163181	0.953125	
0.010000	23.667868	0.835938	
0.010000	23.374142	0.898438	
0.010000	23.479982	0.851562	
0.010000	23.189232	0.875000	
0.010000	23.195999	0.937500	
0.010000	23.247742	0.914062	
0.010000	23.311264	0.867188	
0.010000	23.357908	0.867188	
0.010000	23.308195	0.867188	
0.010000	23.244190	0.914062	
0.010000	23.257282	0.906250	
0.010000	23.484751	0.859375	
0.010000	23.241547	0.921875	
0.010000	23.432081	0.875000	
0.010000	23.384617	0.906250	
0.010000	23.330818	0.890625	
0.010000	23.358109	0.898438	
0.010000	23.429962	0.882812	
0.010000	23.355904	0.898438	
0.010000	23.391642	0.882812	
0.010000	23.446775	0.835938	
0.010000	23.443760	0.875000	
0.010000	23.360886	0.890625	
0.010000	23.209827	0.953125	
0.010000	23.362062	0.921875	
0.010000	23.249327	0.921875	
0.010000	23.236105	0.921875	
0.010000	23.297981	0.882812	
0.010000	23.324398	0.898438	
0.010000	23.225647	0.937500	
0.010000	23.236570	0.921875	
0.010000	23.491053	0.882812	
0.010000	23.243111	0.929688	
0.010000	23.412331	0.867188	
0.010000	23.411150	0.890625	
0.010000	23.301428	0.898438	
0.010000	23.308981	0.882812	
0.010000	23.158653	0.937500	
0.010000	23.313934	0.851562	
0.010000	23.324739	0.890625	
0.010000	23.409435	0.898438	
0.010000	23.387800	0.898438	
0.010000	23.308212	0.921875	
0.010000	23.113255	0.968750	
0.010000	23.203068	0.937500	
0.010000	23.097841	0.976562	
0.010000	23.061192	0.984375	
0.010000	23.180607	0.921875	
0.010000	23.263250	0.906250	
0.010000	23.186369	0.953125	
0.010000	23.392883	0.882812	
0.010000	23.235807	0.921875	
0.010000	23.219919	0.960938	
0.010000	23.091307	0.968750	
0.010000	23.083422	0.968750	
