Learning Rate	Train Loss	Train Acc.	
0.010000	29.210684	0.125000	
0.010000	38.435276	0.093750	
0.010000	26.678448	0.101562	
0.010000	25.546024	0.132812	
0.010000	25.293587	0.117188	
0.010000	25.312092	0.070312	
0.010000	25.191019	0.078125	
0.010000	25.096163	0.164062	
0.010000	25.062693	0.117188	
0.010000	24.949966	0.109375	
0.010000	24.936178	0.093750	
0.010000	24.869291	0.132812	
0.010000	24.819695	0.101562	
0.010000	24.744316	0.085938	
0.010000	24.721762	0.101562	
0.010000	24.668373	0.093750	
0.010000	24.612997	0.117188	
0.010000	24.566608	0.078125	
0.010000	24.519035	0.093750	
0.010000	24.443106	0.164062	
0.010000	24.400087	0.148438	
0.010000	24.354280	0.070312	
0.010000	24.284370	0.125000	
0.010000	24.239656	0.101562	
0.010000	24.184383	0.085938	
0.010000	24.114748	0.148438	
0.010000	24.064323	0.125000	
0.010000	24.002666	0.109375	
0.010000	23.950800	0.085938	
0.010000	23.867393	0.179688	
0.010000	23.811005	0.156250	
0.010000	23.780689	0.132812	
0.010000	23.721718	0.078125	
0.010000	23.638556	0.148438	
0.010000	23.588131	0.070312	
0.010000	23.525040	0.117188	
0.010000	23.484514	0.117188	
0.010000	23.391230	0.148438	
0.010000	23.326841	0.148438	
0.010000	23.273376	0.132812	
0.010000	23.207499	0.171875	
0.010000	23.155012	0.203125	
0.010000	23.107872	0.156250	
0.010000	23.009470	0.210938	
0.010000	22.970938	0.203125	
0.010000	22.870108	0.203125	
0.010000	22.798050	0.179688	
0.010000	22.760027	0.195312	
0.010000	22.656355	0.226562	
0.010000	22.674063	0.179688	
0.010000	22.606016	0.164062	
0.010000	22.423109	0.273438	
0.010000	22.380831	0.148438	
0.010000	22.369370	0.148438	
0.010000	22.301914	0.171875	
0.010000	22.172890	0.179688	
0.010000	22.088600	0.242188	
0.010000	22.099380	0.164062	
0.010000	21.938251	0.226562	
0.010000	21.819275	0.312500	
0.010000	21.839355	0.265625	
0.010000	21.806461	0.210938	
0.010000	21.646070	0.203125	
0.010000	21.421782	0.289062	
0.010000	21.494120	0.218750	
0.010000	21.163769	0.460938	
0.010000	21.148756	0.335938	
0.010000	21.080669	0.312500	
0.010000	21.118849	0.343750	
0.010000	21.091793	0.289062	
0.010000	20.698820	0.398438	
0.010000	20.745090	0.398438	
0.010000	20.568144	0.429688	
0.010000	20.621044	0.437500	
0.010000	20.328878	0.484375	
0.010000	20.227112	0.476562	
0.010000	20.331371	0.437500	
0.010000	19.924040	0.570312	
0.010000	19.916740	0.539062	
0.010000	19.950665	0.515625	
0.010000	20.121576	0.484375	
0.010000	19.712637	0.562500	
0.010000	19.582983	0.546875	
0.010000	19.543993	0.585938	
0.010000	19.346336	0.585938	
0.010000	19.218353	0.648438	
0.010000	19.089630	0.648438	
0.010000	19.279478	0.601562	
0.010000	19.039083	0.671875	
0.010000	18.784075	0.710938	
0.010000	18.982483	0.656250	
0.010000	18.996120	0.679688	
0.010000	18.570045	0.671875	
0.010000	18.549564	0.664062	
0.010000	18.333633	0.781250	
0.010000	18.402180	0.718750	
0.010000	18.385685	0.703125	
0.010000	18.366915	0.648438	
0.010000	18.246925	0.718750	
0.010000	18.054876	0.726562	
0.010000	17.937895	0.773438	
0.010000	18.310961	0.648438	
0.010000	18.091661	0.671875	
0.010000	17.800896	0.726562	
0.010000	17.774010	0.757812	
0.010000	17.605869	0.796875	
0.010000	17.773865	0.757812	
0.010000	17.599258	0.781250	
0.010000	17.527182	0.765625	
0.010000	17.554771	0.750000	
0.010000	17.569260	0.718750	
0.010000	17.295790	0.734375	
0.010000	17.386707	0.710938	
0.010000	17.059826	0.750000	
0.010000	17.288473	0.679688	
0.010000	17.143614	0.742188	
0.010000	16.932800	0.789062	
0.010000	16.809464	0.835938	
0.010000	16.797680	0.828125	
0.010000	16.894825	0.750000	
0.010000	16.732080	0.812500	
0.010000	16.584129	0.804688	
0.010000	16.515211	0.757812	
0.010000	16.503124	0.765625	
