Learning Rate	Test Loss	Test Acc.	
0.010000	23.716103	0.789062	
0.010000	23.820707	0.726562	
0.010000	23.892298	0.718750	
0.010000	23.853035	0.687500	
0.010000	23.777159	0.734375	
0.010000	24.048189	0.640625	
0.010000	23.702475	0.757812	
0.010000	23.838898	0.695312	
0.010000	23.873278	0.687500	
0.010000	24.162550	0.617188	
0.010000	23.986435	0.687500	
0.010000	23.716835	0.726562	
0.010000	23.800110	0.695312	
0.010000	23.892748	0.687500	
0.010000	23.734507	0.742188	
0.010000	23.911697	0.757812	
0.010000	23.825319	0.726562	
0.010000	24.009916	0.710938	
0.010000	23.995554	0.617188	
0.010000	23.700634	0.773438	
0.010000	23.774359	0.796875	
0.010000	23.895180	0.718750	
0.010000	23.761166	0.742188	
0.010000	23.784580	0.726562	
0.010000	24.002514	0.718750	
0.010000	23.700539	0.742188	
0.010000	23.906145	0.726562	
0.010000	23.998949	0.656250	
0.010000	23.828503	0.757812	
0.010000	24.012146	0.664062	
0.010000	23.846447	0.718750	
0.010000	23.824295	0.710938	
0.010000	23.904837	0.765625	
0.010000	23.746132	0.718750	
0.010000	23.727530	0.757812	
0.010000	23.929701	0.687500	
0.010000	23.572786	0.781250	
0.010000	23.946270	0.734375	
0.010000	23.707809	0.750000	
0.010000	23.582031	0.757812	
0.010000	23.564411	0.828125	
0.010000	23.404758	0.812500	
0.010000	23.365295	0.882812	
0.010000	23.744267	0.750000	
0.010000	23.691769	0.734375	
0.010000	23.495625	0.851562	
0.010000	24.042561	0.656250	
0.010000	23.549767	0.804688	
0.010000	23.354584	0.875000	
0.010000	23.465286	0.851562	
0.010000	23.551476	0.804688	
0.010000	23.941412	0.687500	
0.010000	23.789080	0.734375	
0.010000	23.614771	0.773438	
0.010000	23.461611	0.851562	
0.010000	23.486944	0.828125	
0.010000	23.628283	0.773438	
0.010000	23.513390	0.781250	
0.010000	23.867598	0.734375	
0.010000	23.581846	0.812500	
0.010000	23.526030	0.812500	
0.010000	23.948719	0.695312	
0.010000	23.381281	0.875000	
0.010000	23.732285	0.742188	
0.010000	23.565886	0.804688	
0.010000	23.467838	0.796875	
0.010000	23.456570	0.843750	
0.010000	23.397371	0.843750	
0.010000	23.242617	0.921875	
0.010000	23.369946	0.859375	
0.010000	23.699804	0.796875	
0.010000	23.539339	0.820312	
0.010000	23.379519	0.867188	
0.010000	23.397846	0.882812	
0.010000	23.653917	0.804688	
0.010000	24.068933	0.687500	
0.010000	23.994635	0.671875	
0.010000	23.788042	0.750000	
0.010000	23.472977	0.812500	
0.010000	23.326317	0.921875	
0.010000	23.374189	0.859375	
0.010000	23.442453	0.859375	
0.010000	23.411509	0.859375	
0.010000	23.544863	0.781250	
0.010000	23.504789	0.851562	
0.010000	23.254833	0.906250	
0.010000	23.375906	0.890625	
0.010000	23.338984	0.867188	
0.010000	23.658882	0.796875	
0.010000	23.439529	0.890625	
0.010000	23.525969	0.820312	
0.010000	23.359467	0.898438	
0.010000	23.579395	0.812500	
0.010000	23.444290	0.851562	
0.010000	23.349127	0.882812	
0.010000	23.485899	0.882812	
0.010000	23.519794	0.812500	
0.010000	23.548002	0.835938	
0.010000	23.370380	0.875000	
0.010000	23.513136	0.828125	
0.010000	23.428286	0.843750	
0.010000	23.451883	0.843750	
0.010000	23.355629	0.882812	
0.010000	23.386087	0.867188	
0.010000	23.341429	0.843750	
0.010000	23.447569	0.867188	
0.010000	23.480549	0.867188	
0.010000	23.403543	0.882812	
0.010000	23.762918	0.820312	
0.010000	23.585455	0.851562	
0.010000	23.426836	0.875000	
0.010000	23.302237	0.914062	
0.010000	23.494249	0.867188	
0.010000	23.421820	0.867188	
0.010000	23.495274	0.843750	
0.010000	23.344103	0.882812	
0.010000	23.366323	0.882812	
0.010000	23.423113	0.882812	
0.010000	23.290779	0.914062	
0.010000	23.286394	0.906250	
0.010000	23.167931	0.929688	
0.010000	23.133417	0.953125	
0.010000	23.315628	0.898438	
0.010000	23.225891	0.898438	
0.010000	23.298597	0.890625	
0.010000	23.588875	0.835938	
0.010000	23.460827	0.859375	
0.010000	23.322420	0.906250	
0.010000	23.085379	0.976562	
0.010000	23.166559	0.953125	
0.010000	23.557821	0.835938	
0.010000	23.392939	0.921875	
0.010000	23.244265	0.914062	
0.010000	23.121496	0.953125	
0.010000	23.199324	0.945312	
0.010000	23.260700	0.953125	
0.010000	23.115513	0.953125	
0.010000	23.390297	0.851562	
0.010000	23.239368	0.929688	
0.010000	23.226021	0.921875	
0.010000	23.538744	0.804688	
0.010000	23.195930	0.921875	
0.010000	23.281761	0.914062	
0.010000	23.259966	0.914062	
0.010000	23.145464	0.960938	
0.010000	23.203186	0.921875	
0.010000	23.142498	0.945312	
0.010000	23.048109	0.984375	
0.010000	23.103746	0.953125	
0.010000	23.305521	0.898438	
0.010000	23.198229	0.921875	
0.010000	23.113857	0.960938	
0.010000	23.068661	0.984375	
0.010000	23.235971	0.929688	
0.010000	23.507723	0.843750	
0.010000	23.672482	0.804688	
0.010000	23.392765	0.851562	
0.010000	23.787273	0.937500	
0.010000	23.180927	0.945312	
0.010000	23.234959	0.921875	
0.010000	23.281752	0.914062	
0.010000	23.434937	0.882812	
0.010000	23.245745	0.906250	
0.010000	23.325153	0.906250	
0.010000	23.177114	0.914062	
0.010000	23.363335	0.867188	
0.010000	23.338886	0.875000	
0.010000	23.489031	0.859375	
0.010000	23.339077	0.906250	
0.010000	23.365612	0.867188	
0.010000	23.354000	0.867188	
0.010000	23.480577	0.890625	
0.010000	23.426571	0.843750	
0.010000	23.321648	0.882812	
0.010000	23.415478	0.843750	
0.010000	23.580046	0.820312	
0.010000	23.350277	0.882812	
0.010000	23.315979	0.867188	
0.010000	23.350914	0.875000	
0.010000	23.459890	0.828125	
0.010000	23.269299	0.890625	
0.010000	23.277515	0.906250	
0.010000	23.282810	0.921875	
0.010000	23.287960	0.921875	
0.010000	23.377438	0.867188	
0.010000	23.337723	0.914062	
0.010000	23.301640	0.898438	
0.010000	23.454811	0.867188	
0.010000	23.449409	0.851562	
0.010000	23.300823	0.890625	
0.010000	23.321140	0.875000	
0.010000	23.387129	0.898438	
0.010000	23.346478	0.882812	
0.010000	23.371662	0.882812	
0.010000	23.145124	0.968750	
0.010000	23.399826	0.859375	
0.010000	23.436646	0.851562	
0.010000	23.173338	0.937500	
0.010000	23.126461	0.968750	
0.010000	23.123537	0.945312	
0.010000	23.095110	0.968750	
0.010000	23.228285	0.914062	
0.010000	23.200312	0.937500	
0.010000	23.220287	0.921875	
0.010000	23.457796	0.890625	
0.010000	23.226967	0.921875	
0.010000	23.185335	0.953125	
0.010000	23.045519	0.992188	
0.010000	23.147345	0.976562	
0.010000	23.422997	0.859375	
0.010000	23.248562	0.921875	
0.010000	23.174324	0.945312	
0.010000	23.069674	0.960938	
0.010000	23.138887	0.953125	
0.010000	23.169535	0.976562	
0.010000	23.074667	0.968750	
0.010000	23.196911	0.953125	
0.010000	23.047445	0.992188	
0.010000	23.120481	0.945312	
0.010000	23.364162	0.859375	
0.010000	23.173405	0.937500	
0.010000	23.237942	0.937500	
0.010000	23.134602	0.937500	
0.010000	23.132603	0.953125	
0.010000	23.125172	0.953125	
0.010000	23.052217	0.976562	
0.010000	23.004311	1.000000	
0.010000	23.031912	0.992188	
0.010000	23.301754	0.914062	
0.010000	23.124226	0.953125	
0.010000	23.123774	0.960938	
0.010000	23.064999	0.976562	
0.010000	23.123112	0.937500	
0.010000	23.414986	0.859375	
0.010000	23.414671	0.875000	
0.010000	23.458504	0.851562	
0.010000	23.188648	0.937500	
0.010000	23.111143	0.960938	
0.010000	23.174749	0.937500	
0.010000	23.290785	0.906250	
0.010000	23.274099	0.929688	
0.010000	23.271000	0.898438	
0.010000	23.288799	0.914062	
0.010000	23.144615	0.937500	
0.010000	23.256052	0.945312	
0.010000	23.407846	0.875000	
0.010000	23.468990	0.851562	
0.010000	23.330854	0.921875	
0.010000	23.219074	0.929688	
0.010000	23.255350	0.921875	
0.010000	23.521040	0.843750	
0.010000	23.242653	0.921875	
0.010000	23.279505	0.921875	
0.010000	23.305326	0.898438	
0.010000	23.293356	0.929688	
0.010000	23.498577	0.812500	
0.010000	23.192482	0.953125	
0.010000	23.320372	0.898438	
0.010000	23.193094	0.929688	
0.010000	23.199240	0.914062	
0.010000	23.329840	0.859375	
0.010000	23.248703	0.929688	
0.010000	23.288097	0.898438	
0.010000	23.208988	0.921875	
0.010000	23.318018	0.914062	
0.010000	23.308268	0.921875	
0.010000	23.469946	0.859375	
0.010000	23.475897	0.859375	
0.010000	23.225649	0.921875	
0.010000	23.276819	0.890625	
0.010000	23.290855	0.882812	
0.010000	23.271587	0.921875	
0.010000	23.383259	0.882812	
0.010000	23.205566	0.945312	
0.010000	23.330563	0.890625	
0.010000	23.226759	0.921875	
0.010000	23.113329	0.960938	
0.010000	23.064318	0.976562	
0.010000	23.156986	0.937500	
0.010000	23.099110	0.976562	
0.010000	23.100010	0.953125	
0.010000	23.145077	0.921875	
0.010000	23.197212	0.953125	
0.010000	23.481260	0.875000	
0.010000	23.332775	0.898438	
0.010000	23.130825	0.960938	
0.010000	23.056404	0.976562	
0.010000	23.106173	0.976562	
0.010000	23.403593	0.890625	
0.010000	23.186411	0.929688	
0.010000	23.098204	0.968750	
0.010000	23.074997	0.953125	
0.010000	23.078793	0.984375	
0.010000	23.178513	0.937500	
0.010000	23.061886	0.976562	
0.010000	23.154150	0.906250	
0.010000	23.119766	0.953125	
0.010000	23.080738	0.968750	
0.010000	23.403177	0.890625	
0.010000	23.086943	0.960938	
0.010000	23.102549	0.953125	
0.010000	23.168997	0.929688	
0.010000	23.072159	0.984375	
0.010000	23.062632	0.968750	
0.010000	23.034307	0.984375	
0.010000	23.011263	0.992188	
0.010000	23.012377	0.992188	
0.010000	23.187923	0.953125	
0.010000	23.076456	0.976562	
0.010000	23.080452	0.968750	
0.010000	23.072018	0.968750	
0.010000	23.112726	0.960938	
0.010000	23.385080	0.890625	
0.010000	23.428688	0.875000	
0.010000	23.423267	0.867188	
0.010000	23.009745	1.000000	
0.010000	23.191711	0.914062	
0.010000	23.135553	0.960938	
0.010000	23.159626	0.937500	
0.010000	23.259760	0.882812	
0.010000	23.189358	0.921875	
