Learning Rate	Train Loss	Train Acc.	
0.010000	30.313164	0.140625	
0.010000	27.545437	0.070312	
0.010000	26.657211	0.085938	
0.010000	26.194450	0.078125	
0.010000	26.120705	0.132812	
0.010000	26.479053	0.085938	
0.010000	26.038984	0.109375	
0.010000	25.894175	0.125000	
0.010000	25.779762	0.132812	
0.010000	25.796614	0.062500	
0.010000	25.862196	0.085938	
0.010000	25.797026	0.085938	
0.010000	25.786345	0.109375	
0.010000	25.415026	0.125000	
0.010000	25.839172	0.078125	
0.010000	25.741856	0.101562	
0.010000	25.498535	0.093750	
0.010000	25.511730	0.109375	
0.010000	25.547615	0.085938	
0.010000	25.467310	0.070312	
0.010000	25.585196	0.101562	
0.010000	25.603289	0.093750	
0.010000	25.363501	0.156250	
0.010000	25.738081	0.078125	
0.010000	25.430248	0.171875	
0.010000	25.585764	0.093750	
0.010000	25.452732	0.117188	
0.010000	25.391905	0.109375	
0.010000	25.352785	0.125000	
0.010000	25.382483	0.132812	
0.010000	25.463749	0.125000	
0.010000	25.487631	0.085938	
0.010000	25.437931	0.140625	
0.010000	25.471989	0.093750	
0.010000	25.423687	0.140625	
0.010000	25.287529	0.164062	
0.010000	25.390463	0.164062	
0.010000	25.527048	0.070312	
0.010000	25.505501	0.109375	
0.010000	25.401449	0.101562	
0.010000	25.338120	0.140625	
0.010000	25.359663	0.148438	
0.010000	25.418890	0.117188	
0.010000	25.388765	0.085938	
0.010000	25.445992	0.148438	
0.010000	25.280874	0.132812	
0.010000	25.406897	0.125000	
0.010000	25.397243	0.164062	
0.010000	25.344906	0.148438	
0.010000	25.419003	0.109375	
0.010000	25.349131	0.171875	
0.010000	25.264198	0.171875	
0.010000	25.392141	0.156250	
0.010000	25.343420	0.093750	
0.010000	25.392939	0.125000	
0.010000	25.310606	0.109375	
0.010000	25.318577	0.187500	
0.010000	25.336952	0.109375	
0.010000	25.341578	0.117188	
0.010000	25.450911	0.085938	
0.010000	25.264334	0.164062	
0.010000	25.427694	0.109375	
0.010000	25.291275	0.140625	
0.010000	25.307297	0.164062	
0.010000	25.412100	0.148438	
0.010000	25.276583	0.171875	
0.010000	25.422995	0.085938	
0.010000	25.371847	0.093750	
0.010000	25.423960	0.093750	
0.010000	25.323156	0.132812	
0.010000	25.325598	0.164062	
0.010000	25.315790	0.109375	
0.010000	25.368145	0.078125	
0.010000	25.307093	0.109375	
0.010000	25.319153	0.109375	
0.010000	25.283869	0.132812	
0.010000	25.328211	0.132812	
0.010000	25.312700	0.148438	
0.010000	25.250727	0.125000	
0.010000	25.256216	0.164062	
0.010000	25.352930	0.117188	
0.010000	25.313393	0.171875	
0.010000	25.323210	0.156250	
0.010000	25.289858	0.179688	
0.010000	25.266575	0.164062	
0.010000	25.218931	0.156250	
0.010000	25.335840	0.148438	
0.010000	25.325819	0.156250	
0.010000	25.254690	0.195312	
0.010000	25.331301	0.132812	
0.010000	25.257235	0.140625	
0.010000	25.301771	0.125000	
0.010000	25.233492	0.171875	
0.010000	25.280300	0.148438	
0.010000	25.263102	0.140625	
0.010000	25.268341	0.156250	
0.010000	25.231005	0.203125	
0.010000	25.224386	0.195312	
0.010000	25.260298	0.187500	
0.010000	25.330637	0.132812	
0.010000	25.304724	0.171875	
0.010000	25.270792	0.210938	
0.010000	25.261181	0.156250	
0.010000	25.298599	0.093750	
0.010000	25.281347	0.148438	
0.010000	25.348379	0.117188	
0.010000	25.405733	0.156250	
0.010000	25.277723	0.156250	
0.010000	25.390234	0.078125	
0.010000	25.346008	0.109375	
0.010000	25.271910	0.179688	
0.010000	25.231775	0.210938	
0.010000	25.233404	0.140625	
0.010000	25.255138	0.210938	
0.010000	25.274502	0.164062	
0.010000	25.305273	0.117188	
0.010000	25.216875	0.179688	
0.010000	25.215002	0.156250	
0.010000	25.285229	0.171875	
0.010000	25.256090	0.171875	
0.010000	25.209488	0.210938	
0.010000	25.180401	0.195312	
0.010000	25.250113	0.203125	
0.010000	25.204447	0.210938	
0.010000	25.213055	0.226562	
0.010000	25.288446	0.210938	
0.010000	25.219934	0.187500	
0.010000	25.252464	0.195312	
0.010000	25.226271	0.203125	
0.010000	25.163073	0.234375	
0.010000	25.256527	0.195312	
0.010000	25.307123	0.148438	
0.010000	25.293875	0.195312	
0.010000	25.257492	0.156250	
0.010000	25.171106	0.203125	
0.010000	25.166243	0.156250	
0.010000	25.274191	0.187500	
0.010000	25.319298	0.179688	
0.010000	25.193029	0.156250	
0.010000	25.266813	0.156250	
0.010000	25.137161	0.179688	
0.010000	25.065104	0.257812	
0.010000	25.127459	0.289062	
0.010000	25.283670	0.148438	
0.010000	25.236574	0.195312	
0.010000	25.206869	0.218750	
0.010000	25.263830	0.187500	
0.010000	25.131147	0.273438	
0.010000	25.287127	0.210938	
0.010000	25.282175	0.187500	
0.010000	25.155775	0.132812	
0.010000	25.123034	0.242188	
0.010000	25.053276	0.289062	
0.010000	25.133204	0.273438	
0.010000	25.071041	0.273438	
0.010000	25.255810	0.226562	
0.010000	25.297909	0.117188	
0.010000	25.225918	0.265625	
0.010000	25.179747	0.210938	
0.010000	25.124081	0.250000	
0.010000	25.145117	0.226562	
0.010000	25.068939	0.265625	
0.010000	25.094219	0.234375	
0.010000	25.132164	0.250000	
0.010000	25.100922	0.226562	
0.010000	25.141401	0.250000	
0.010000	25.164143	0.210938	
0.010000	25.025116	0.343750	
0.010000	25.054470	0.257812	
0.010000	25.072165	0.265625	
0.010000	25.140469	0.273438	
0.010000	25.095221	0.257812	
0.010000	25.126297	0.203125	
0.010000	25.098640	0.210938	
0.010000	25.006004	0.296875	
0.010000	25.030415	0.265625	
0.010000	25.074430	0.289062	
0.010000	25.007851	0.273438	
0.010000	24.976652	0.304688	
0.010000	24.997299	0.320312	
0.010000	25.038103	0.296875	
0.010000	24.967781	0.289062	
0.010000	24.965450	0.304688	
0.010000	25.053917	0.296875	
0.010000	25.091335	0.265625	
0.010000	25.015713	0.281250	
0.010000	24.957026	0.359375	
0.010000	24.959011	0.343750	
0.010000	24.790634	0.406250	
0.010000	25.078650	0.281250	
0.010000	24.867249	0.335938	
0.010000	24.989832	0.289062	
0.010000	24.923292	0.351562	
0.010000	24.910362	0.328125	
0.010000	24.979568	0.312500	
0.010000	24.792004	0.382812	
0.010000	24.953928	0.265625	
0.010000	24.929468	0.375000	
0.010000	25.040445	0.281250	
0.010000	25.026445	0.367188	
0.010000	24.852160	0.304688	
0.010000	24.865763	0.320312	
0.010000	24.883780	0.343750	
0.010000	24.806143	0.406250	
0.010000	24.726068	0.398438	
0.010000	24.803911	0.382812	
0.010000	24.970642	0.320312	
0.010000	24.852472	0.390625	
0.010000	24.822573	0.367188	
0.010000	24.968355	0.289062	
0.010000	24.745173	0.390625	
0.010000	24.852272	0.375000	
0.010000	24.863775	0.343750	
0.010000	24.803947	0.390625	
0.010000	24.846346	0.335938	
0.010000	24.755705	0.375000	
0.010000	24.912935	0.335938	
0.010000	24.655518	0.437500	
0.010000	24.809998	0.359375	
0.010000	24.615520	0.453125	
0.010000	24.805380	0.398438	
0.010000	24.659428	0.437500	
0.010000	24.731773	0.367188	
0.010000	24.749434	0.421875	
0.010000	24.758471	0.367188	
0.010000	24.683949	0.437500	
0.010000	24.695797	0.421875	
0.010000	24.793228	0.406250	
0.010000	24.616714	0.398438	
0.010000	24.656857	0.382812	
0.010000	24.691338	0.398438	
0.010000	24.570606	0.492188	
0.010000	24.862421	0.343750	
0.010000	24.753916	0.351562	
0.010000	24.628246	0.484375	
0.010000	24.914997	0.351562	
0.010000	24.620831	0.414062	
0.010000	24.792891	0.375000	
0.010000	24.815542	0.375000	
0.010000	24.711685	0.375000	
0.010000	24.731667	0.382812	
0.010000	24.633001	0.476562	
0.010000	24.528664	0.515625	
0.010000	24.520800	0.445312	
0.010000	24.767059	0.421875	
0.010000	24.563190	0.515625	
0.010000	24.586252	0.437500	
0.010000	24.673567	0.429688	
0.010000	24.454769	0.515625	
0.010000	24.602238	0.406250	
0.010000	24.599108	0.437500	
0.010000	24.723577	0.406250	
0.010000	24.799349	0.382812	
0.010000	24.876614	0.406250	
0.010000	24.552526	0.507812	
0.010000	24.668699	0.359375	
0.010000	24.553467	0.500000	
0.010000	24.511900	0.484375	
0.010000	24.737207	0.445312	
0.010000	24.534235	0.476562	
0.010000	24.706490	0.398438	
0.010000	24.417234	0.476562	
0.010000	24.364113	0.562500	
0.010000	24.502531	0.468750	
0.010000	24.355566	0.562500	
0.010000	24.553885	0.515625	
0.010000	24.631737	0.414062	
0.010000	24.447546	0.523438	
0.010000	24.487623	0.484375	
0.010000	24.478661	0.500000	
0.010000	24.503729	0.453125	
0.010000	24.623693	0.468750	
0.010000	24.778217	0.429688	
0.010000	24.427267	0.484375	
0.010000	24.755432	0.375000	
0.010000	24.423996	0.523438	
0.010000	24.370592	0.546875	
0.010000	24.398787	0.515625	
0.010000	24.523149	0.437500	
0.010000	24.170441	0.593750	
0.010000	24.370073	0.546875	
0.010000	24.405811	0.507812	
0.010000	24.400827	0.539062	
0.010000	24.235750	0.539062	
0.010000	24.236496	0.585938	
0.010000	24.227962	0.625000	
0.010000	24.479351	0.523438	
0.010000	24.305607	0.492188	
0.010000	24.347658	0.507812	
0.010000	24.294220	0.539062	
0.010000	24.347338	0.554688	
0.010000	24.559492	0.476562	
0.010000	24.252716	0.554688	
0.010000	24.648371	0.445312	
0.010000	24.300018	0.570312	
0.010000	24.500793	0.476562	
0.010000	24.370951	0.484375	
0.010000	24.306574	0.507812	
0.010000	24.308071	0.609375	
0.010000	24.434793	0.507812	
0.010000	24.185148	0.593750	
