Learning Rate	Train Loss	Train Acc.	
0.010000	34.240223	0.070312	
0.010000	27.758963	0.085938	
0.010000	27.034872	0.093750	
0.010000	26.191328	0.054688	
0.010000	26.135015	0.078125	
0.010000	26.114796	0.109375	
0.010000	26.022570	0.101562	
0.010000	25.655514	0.125000	
0.010000	25.934864	0.070312	
0.010000	25.822050	0.085938	
0.010000	25.691528	0.117188	
0.010000	25.741722	0.085938	
0.010000	25.730801	0.101562	
0.010000	25.756882	0.101562	
0.010000	25.648888	0.070312	
0.010000	25.671209	0.093750	
0.010000	25.470291	0.140625	
0.010000	25.574219	0.078125	
0.010000	25.667513	0.125000	
0.010000	25.423330	0.164062	
0.010000	25.501406	0.132812	
0.010000	25.383545	0.148438	
0.010000	25.569454	0.093750	
0.010000	25.442286	0.101562	
0.010000	25.432673	0.101562	
0.010000	25.356976	0.156250	
0.010000	25.446747	0.101562	
0.010000	25.479486	0.085938	
0.010000	25.480362	0.148438	
0.010000	25.491619	0.078125	
0.010000	25.367306	0.164062	
0.010000	25.653307	0.070312	
0.010000	25.494537	0.132812	
0.010000	25.481127	0.101562	
0.010000	25.440487	0.171875	
0.010000	25.438683	0.109375	
0.010000	25.448004	0.132812	
0.010000	25.433840	0.109375	
0.010000	25.395874	0.140625	
0.010000	25.307344	0.171875	
0.010000	25.392735	0.140625	
0.010000	25.288895	0.164062	
0.010000	25.345974	0.140625	
0.010000	25.340118	0.164062	
0.010000	25.374340	0.179688	
0.010000	25.295692	0.125000	
0.010000	25.444340	0.125000	
0.010000	25.448915	0.156250	
0.010000	25.333633	0.132812	
0.010000	25.166561	0.265625	
0.010000	25.338552	0.164062	
0.010000	25.316654	0.195312	
0.010000	25.268749	0.117188	
0.010000	25.246683	0.125000	
0.010000	25.262928	0.179688	
0.010000	25.183542	0.195312	
0.010000	25.400187	0.140625	
0.010000	25.318699	0.156250	
0.010000	25.402033	0.109375	
0.010000	25.341188	0.125000	
0.010000	25.437384	0.171875	
0.010000	25.259151	0.195312	
0.010000	25.243357	0.179688	
0.010000	25.246799	0.195312	
0.010000	25.385071	0.101562	
0.010000	25.247469	0.148438	
0.010000	25.264027	0.179688	
0.010000	25.226398	0.179688	
0.010000	25.302231	0.179688	
0.010000	25.204882	0.171875	
0.010000	25.171944	0.179688	
0.010000	25.213354	0.156250	
0.010000	25.236990	0.148438	
0.010000	25.234161	0.203125	
0.010000	25.229683	0.187500	
0.010000	25.214588	0.195312	
0.010000	25.145643	0.226562	
0.010000	25.268372	0.156250	
0.010000	25.354507	0.203125	
0.010000	25.308809	0.156250	
0.010000	25.237488	0.164062	
0.010000	25.253937	0.140625	
0.010000	25.136398	0.226562	
0.010000	25.154072	0.250000	
0.010000	25.168756	0.203125	
0.010000	25.184326	0.226562	
0.010000	25.146290	0.242188	
0.010000	25.197424	0.218750	
0.010000	25.141258	0.195312	
0.010000	25.175716	0.234375	
0.010000	25.144674	0.234375	
0.010000	25.162680	0.187500	
0.010000	25.109987	0.226562	
0.010000	25.175825	0.210938	
0.010000	25.091217	0.234375	
0.010000	25.117985	0.210938	
0.010000	25.077896	0.210938	
0.010000	25.210930	0.234375	
0.010000	25.120844	0.234375	
0.010000	25.115360	0.296875	
0.010000	25.067959	0.250000	
0.010000	25.119322	0.242188	
0.010000	25.158712	0.273438	
0.010000	25.070082	0.289062	
0.010000	25.136953	0.195312	
0.010000	25.115410	0.257812	
0.010000	25.077560	0.289062	
0.010000	25.147499	0.226562	
0.010000	25.013113	0.312500	
0.010000	25.167028	0.265625	
0.010000	25.083857	0.203125	
0.010000	25.141947	0.226562	
0.010000	25.035646	0.242188	
0.010000	25.079479	0.257812	
0.010000	25.102461	0.234375	
0.010000	24.997862	0.304688	
0.010000	24.962749	0.382812	
0.010000	25.117750	0.250000	
0.010000	25.063721	0.289062	
0.010000	24.912489	0.390625	
0.010000	25.025158	0.343750	
0.010000	24.890028	0.312500	
0.010000	24.921410	0.328125	
0.010000	24.954834	0.351562	
0.010000	24.980516	0.296875	
0.010000	25.081209	0.242188	
0.010000	24.976612	0.343750	
0.010000	24.896307	0.351562	
0.010000	24.839945	0.343750	
0.010000	24.840721	0.359375	
0.010000	24.963417	0.320312	
0.010000	25.014692	0.242188	
0.010000	25.029600	0.289062	
0.010000	24.916971	0.343750	
0.010000	24.999752	0.273438	
0.010000	24.899435	0.289062	
0.010000	24.814688	0.335938	
0.010000	25.060724	0.304688	
0.010000	24.987686	0.304688	
0.010000	24.910112	0.328125	
0.010000	24.717379	0.414062	
0.010000	24.835377	0.390625	
0.010000	24.867435	0.304688	
0.010000	24.942144	0.296875	
0.010000	24.839991	0.406250	
0.010000	24.859179	0.390625	
0.010000	24.817104	0.398438	
0.010000	24.674297	0.390625	
0.010000	24.853392	0.351562	
0.010000	24.917767	0.312500	
0.010000	24.712912	0.421875	
0.010000	24.742121	0.375000	
0.010000	24.783131	0.375000	
0.010000	24.744146	0.398438	
0.010000	24.775490	0.359375	
0.010000	24.732460	0.406250	
0.010000	24.989338	0.312500	
0.010000	24.910408	0.375000	
0.010000	24.618080	0.445312	
0.010000	24.520853	0.460938	
0.010000	24.659901	0.421875	
0.010000	24.601124	0.460938	
0.010000	24.702080	0.406250	
0.010000	24.698732	0.421875	
0.010000	24.635046	0.460938	
0.010000	24.642925	0.460938	
0.010000	24.710800	0.382812	
0.010000	24.826839	0.382812	
0.010000	24.723976	0.460938	
0.010000	24.581680	0.429688	
0.010000	24.572487	0.453125	
0.010000	24.564217	0.429688	
0.010000	24.728888	0.429688	
0.010000	24.578352	0.460938	
0.010000	24.487698	0.476562	
0.010000	24.776436	0.359375	
0.010000	24.772486	0.390625	
0.010000	24.496220	0.445312	
0.010000	24.514715	0.492188	
0.010000	24.434441	0.515625	
0.010000	24.719271	0.421875	
0.010000	24.435562	0.523438	
0.010000	24.507156	0.460938	
0.010000	24.449266	0.507812	
0.010000	24.495707	0.515625	
0.010000	24.647169	0.453125	
0.010000	24.622452	0.476562	
0.010000	24.520636	0.414062	
0.010000	24.506615	0.460938	
0.010000	24.586277	0.468750	
0.010000	24.517500	0.484375	
0.010000	24.472225	0.546875	
0.010000	24.442667	0.484375	
0.010000	24.466335	0.460938	
0.010000	24.455666	0.468750	
0.010000	24.278385	0.578125	
0.010000	24.328665	0.546875	
0.010000	24.370327	0.570312	
0.010000	24.222420	0.578125	
0.010000	24.293016	0.585938	
0.010000	24.205925	0.578125	
0.010000	24.284037	0.531250	
0.010000	24.303040	0.585938	
0.010000	24.443010	0.515625	
0.010000	24.357946	0.484375	
0.010000	24.337099	0.539062	
0.010000	24.479378	0.507812	
0.010000	24.373301	0.531250	
0.010000	24.515989	0.500000	
0.010000	24.508371	0.476562	
0.010000	24.214533	0.601562	
0.010000	24.331692	0.500000	
0.010000	24.812433	0.398438	
0.010000	24.391544	0.492188	
0.010000	24.223242	0.585938	
0.010000	24.305666	0.539062	
0.010000	24.360889	0.570312	
0.010000	24.247757	0.539062	
0.010000	24.231314	0.585938	
0.010000	24.268572	0.585938	
0.010000	24.356607	0.515625	
0.010000	24.273277	0.625000	
0.010000	24.298759	0.554688	
0.010000	24.296658	0.578125	
0.010000	24.322153	0.562500	
0.010000	24.180933	0.625000	
0.010000	24.326746	0.531250	
0.010000	24.286575	0.500000	
0.010000	24.288284	0.546875	
0.010000	24.209883	0.593750	
0.010000	24.105083	0.648438	
0.010000	24.356476	0.593750	
0.010000	24.455746	0.460938	
0.010000	24.426781	0.562500	
0.010000	24.258524	0.570312	
0.010000	24.264940	0.601562	
0.010000	24.118114	0.640625	
0.010000	24.028580	0.625000	
0.010000	24.132389	0.593750	
0.010000	24.224998	0.500000	
0.010000	24.252436	0.578125	
0.010000	24.351208	0.554688	
0.010000	24.230438	0.531250	
0.010000	24.049622	0.593750	
0.010000	24.333662	0.515625	
0.010000	24.339426	0.554688	
0.010000	24.195221	0.625000	
0.010000	24.325214	0.500000	
0.010000	24.061834	0.671875	
0.010000	24.040602	0.640625	
0.010000	24.387415	0.539062	
0.010000	24.330130	0.546875	
0.010000	24.281359	0.617188	
0.010000	24.680576	0.414062	
0.010000	24.197599	0.617188	
0.010000	24.244232	0.625000	
0.010000	24.120104	0.671875	
0.010000	23.998901	0.718750	
0.010000	24.010752	0.656250	
0.010000	24.105804	0.656250	
0.010000	24.333431	0.578125	
0.010000	23.982172	0.640625	
0.010000	24.191807	0.617188	
0.010000	24.143902	0.585938	
0.010000	24.051723	0.617188	
0.010000	23.872887	0.671875	
0.010000	23.945988	0.648438	
0.010000	23.812170	0.750000	
0.010000	24.176102	0.585938	
0.010000	24.087643	0.664062	
0.010000	24.000534	0.679688	
0.010000	24.118912	0.578125	
0.010000	24.221689	0.585938	
0.010000	24.048973	0.625000	
0.010000	24.032684	0.609375	
0.010000	23.922253	0.703125	
0.010000	23.927046	0.664062	
0.010000	24.147699	0.617188	
0.010000	23.956160	0.625000	
0.010000	23.865734	0.671875	
0.010000	24.042377	0.640625	
0.010000	24.180014	0.523438	
0.010000	24.107899	0.648438	
0.010000	23.731068	0.742188	
0.010000	24.041954	0.656250	
0.010000	23.894394	0.710938	
0.010000	23.932646	0.656250	
0.010000	23.952908	0.648438	
0.010000	23.907545	0.648438	
0.010000	24.141527	0.632812	
0.010000	24.145205	0.648438	
0.010000	23.920496	0.695312	
0.010000	24.174782	0.632812	
0.010000	24.128551	0.601562	
0.010000	23.905523	0.687500	
0.010000	24.107630	0.625000	
0.010000	23.875877	0.734375	
0.010000	23.861235	0.726562	
0.010000	24.010853	0.648438	
0.010000	24.021132	0.640625	
0.010000	24.050467	0.656250	
0.010000	24.040735	0.640625	
0.010000	23.974611	0.687500	
0.010000	23.824064	0.750000	
0.010000	23.851610	0.726562	
0.010000	23.806986	0.773438	
0.010000	23.926437	0.695312	
0.010000	24.361698	0.539062	
0.010000	24.094643	0.632812	
0.010000	23.982695	0.648438	
0.010000	23.980705	0.656250	
0.010000	24.094826	0.648438	
0.010000	23.939482	0.671875	
0.010000	23.972797	0.648438	
0.010000	23.840250	0.718750	
0.010000	23.717133	0.742188	
0.010000	24.022705	0.632812	
0.010000	23.878521	0.718750	
0.010000	23.725000	0.757812	
0.010000	23.692837	0.726562	
0.010000	23.942728	0.640625	
0.010000	23.800442	0.757812	
0.010000	24.167622	0.609375	
0.010000	24.031645	0.687500	
0.010000	24.013281	0.640625	
0.010000	23.962994	0.656250	
0.010000	23.890429	0.695312	
0.010000	24.053814	0.640625	
0.010000	23.972729	0.687500	
0.010000	24.067789	0.632812	
0.010000	24.082180	0.601562	
0.010000	23.974833	0.710938	
0.010000	23.890274	0.718750	
0.010000	24.081072	0.632812	
0.010000	23.772680	0.765625	
0.010000	24.013945	0.671875	
0.010000	24.039938	0.632812	
0.010000	24.009516	0.671875	
0.010000	23.759310	0.726562	
0.010000	23.608871	0.789062	
0.010000	23.740023	0.773438	
0.010000	23.803566	0.695312	
0.010000	23.847687	0.687500	
0.010000	23.870192	0.671875	
0.010000	23.819788	0.695312	
0.010000	23.744833	0.789062	
0.010000	23.827967	0.703125	
0.010000	23.785238	0.765625	
0.010000	23.847429	0.687500	
0.010000	23.768305	0.710938	
0.010000	23.940166	0.656250	
0.010000	23.847229	0.703125	
0.010000	23.830021	0.695312	
0.010000	23.708096	0.734375	
0.010000	23.743881	0.750000	
0.010000	24.010473	0.625000	
0.010000	23.836998	0.687500	
0.010000	23.753170	0.695312	
0.010000	23.946808	0.664062	
0.010000	23.822027	0.718750	
0.010000	23.845242	0.703125	
0.010000	23.953983	0.664062	
0.010000	23.964300	0.664062	
0.010000	23.863777	0.734375	
0.010000	23.670862	0.757812	
0.010000	23.784740	0.742188	
0.010000	23.774914	0.750000	
0.010000	23.711700	0.726562	
0.010000	23.837399	0.765625	
0.010000	23.915041	0.687500	
0.010000	23.786186	0.781250	
0.010000	23.867300	0.718750	
0.010000	23.878162	0.718750	
0.010000	23.491220	0.812500	
0.010000	23.928143	0.757812	
0.010000	23.690725	0.757812	
0.010000	23.544697	0.812500	
0.010000	23.835741	0.703125	
0.010000	23.600641	0.804688	
0.010000	23.656992	0.796875	
0.010000	23.800791	0.710938	
0.010000	23.656809	0.742188	
0.010000	24.152035	0.593750	
0.010000	23.807858	0.726562	
0.010000	23.817244	0.718750	
0.010000	23.532846	0.835938	
0.010000	24.093359	0.632812	
0.010000	24.046762	0.656250	
0.010000	23.842051	0.718750	
0.010000	23.719585	0.765625	
0.010000	23.836020	0.695312	
0.010000	23.764952	0.734375	
0.010000	23.930565	0.750000	
0.010000	24.036034	0.671875	
0.010000	23.920198	0.664062	
0.010000	23.933409	0.687500	
0.010000	23.816708	0.695312	
0.010000	23.915169	0.703125	
