Learning Rate	Test Loss	Test Acc.	
0.001000	21.069103	0.984375	
0.001000	21.082508	0.984375	
0.001000	21.229160	0.945312	
0.001000	21.190258	0.937500	
0.001000	21.116209	0.953125	
0.001000	21.177488	0.953125	
0.001000	21.091717	0.960938	
0.001000	21.215235	0.929688	
0.001000	21.275101	0.906250	
0.001000	21.318544	0.906250	
0.001000	21.165619	0.953125	
0.001000	21.111069	0.945312	
0.001000	21.196669	0.953125	
0.001000	21.253902	0.929688	
0.001000	21.225380	0.929688	
0.001000	21.187574	0.921875	
0.001000	21.177650	0.906250	
0.001000	21.214853	0.945312	
0.001000	21.123529	0.953125	
0.001000	21.039877	0.968750	
0.001000	21.229052	0.937500	
0.001000	21.073009	0.945312	
0.001000	21.219488	0.929688	
0.001000	21.053890	0.968750	
0.001000	21.049496	0.960938	
0.001000	21.004837	0.968750	
0.001000	21.004734	0.984375	
0.001000	21.157820	0.914062	
0.001000	20.997906	0.968750	
0.001000	21.148069	0.921875	
0.001000	21.212530	0.937500	
0.001000	21.064695	0.937500	
0.001000	21.034143	0.945312	
0.001000	21.088211	0.929688	
0.001000	20.984505	0.976562	
0.001000	21.007889	0.953125	
0.001000	20.950699	0.968750	
0.001000	21.010979	0.945312	
0.001000	21.080269	0.929688	
0.001000	20.971548	0.968750	
0.001000	20.993317	0.937500	
0.001000	20.886997	0.984375	
0.001000	20.846039	0.992188	
0.001000	20.899343	0.984375	
0.001000	21.010334	0.921875	
0.001000	20.907021	0.968750	
0.001000	20.939478	0.945312	
0.001000	20.973831	0.937500	
0.001000	20.847010	0.992188	
0.001000	20.799372	1.000000	
0.001000	20.827085	0.984375	
0.001000	21.151358	0.882812	
0.001000	20.917276	0.953125	
0.001000	20.888926	0.945312	
0.001000	20.836136	0.976562	
0.001000	20.872013	0.960938	
0.001000	20.850744	0.960938	
0.001000	20.794809	0.976562	
0.001000	20.847269	0.968750	
0.001000	20.807789	0.984375	
0.001000	20.836847	0.968750	
0.001000	21.156731	0.882812	
0.001000	20.775946	0.992188	
0.001000	20.842100	0.968750	
0.001000	20.821489	0.953125	
0.001000	20.867624	0.960938	
0.001000	20.830666	0.960938	
0.001000	20.720758	1.000000	
0.001000	20.720201	0.992188	
0.001000	20.728186	0.992188	
0.001000	20.938482	0.945312	
0.001000	20.729483	0.984375	
0.001000	20.736500	0.992188	
0.001000	20.751867	0.968750	
0.001000	20.707634	0.992188	
0.001000	20.993013	0.906250	
0.001000	21.035547	0.929688	
0.001000	20.935526	0.921875	
0.001000	20.661577	1.000000	
0.001000	18.372332	1.000000	
0.001000	18.468494	0.976562	
0.001000	18.428545	0.968750	
0.001000	18.521311	0.937500	
0.001000	18.470106	0.945312	
0.001000	18.448301	0.960938	
0.001000	18.381390	0.976562	
0.001000	18.421238	0.960938	
0.001000	18.442257	0.960938	
0.001000	18.501793	0.968750	
0.001000	18.476713	0.960938	
0.001000	18.393553	0.976562	
0.001000	18.429205	0.968750	
0.001000	18.403042	0.968750	
0.001000	18.396248	0.976562	
0.001000	18.390545	0.968750	
0.001000	18.425400	0.953125	
0.001000	18.450275	0.929688	
0.001000	18.355413	0.968750	
0.001000	18.353634	0.953125	
0.001000	18.412151	0.968750	
0.001000	18.310097	0.984375	
0.001000	18.380859	0.945312	
0.001000	18.396154	0.937500	
0.001000	18.343653	0.968750	
0.001000	18.297766	0.976562	
0.001000	18.363262	0.945312	
0.001000	18.476133	0.937500	
0.001000	18.320732	0.984375	
0.001000	18.508093	0.914062	
0.001000	18.361580	0.945312	
0.001000	18.279100	0.968750	
0.001000	18.345695	0.953125	
0.001000	18.325281	0.960938	
0.001000	18.249416	0.976562	
0.001000	18.341364	0.960938	
0.001000	18.280256	0.968750	
0.001000	18.258709	0.953125	
0.001000	18.259371	0.976562	
0.001000	18.211981	0.984375	
0.001000	18.238924	0.976562	
0.001000	18.187445	0.984375	
0.001000	18.153435	1.000000	
0.001000	18.217710	0.976562	
0.001000	18.182100	0.992188	
0.001000	18.177534	0.992188	
0.001000	18.343805	0.929688	
0.001000	18.271549	0.953125	
0.001000	18.188276	0.984375	
0.001000	18.117260	1.000000	
0.001000	18.210480	0.992188	
0.001000	18.296658	0.929688	
0.001000	18.141422	0.984375	
0.001000	18.117878	0.992188	
0.001000	18.099802	1.000000	
0.001000	18.124249	0.984375	
0.001000	18.125299	0.976562	
0.001000	18.103750	0.992188	
0.001000	18.102718	0.984375	
0.001000	18.078550	1.000000	
0.001000	18.122728	0.976562	
0.001000	18.217609	0.953125	
0.001000	18.099886	0.976562	
0.001000	18.139790	0.976562	
0.001000	18.094135	0.968750	
0.001000	18.135536	0.968750	
0.001000	18.064829	0.976562	
0.001000	18.051306	0.984375	
0.001000	18.027927	1.000000	
0.001000	18.024588	1.000000	
0.001000	18.151987	0.968750	
0.001000	18.010551	1.000000	
0.001000	18.006319	1.000000	
0.001000	18.078207	0.984375	
0.001000	18.010592	1.000000	
0.001000	18.180225	0.953125	
0.001000	18.183084	0.953125	
0.001000	18.054520	0.984375	
0.001000	17.974449	1.000000	
0.001000	15.691315	0.992188	
0.001000	15.746596	0.984375	
0.001000	15.748868	0.984375	
0.001000	15.708496	0.984375	
0.001000	15.717250	0.976562	
0.001000	15.686352	0.992188	
0.001000	15.743711	0.960938	
0.001000	15.732988	0.968750	
0.001000	15.841825	0.929688	
0.001000	15.799424	0.945312	
0.001000	15.795506	0.960938	
0.001000	15.682722	0.976562	
0.001000	15.717894	0.976562	
0.001000	15.693703	0.968750	
0.001000	15.713654	0.976562	
0.001000	15.681199	0.976562	
0.001000	15.785829	0.953125	
0.001000	15.754889	0.968750	
0.001000	15.667541	0.984375	
0.001000	15.622025	0.992188	
0.001000	15.664181	0.976562	
0.001000	15.663215	0.976562	
0.001000	15.626985	0.976562	
0.001000	15.653474	0.968750	
0.001000	15.591933	0.992188	
0.001000	15.599646	0.984375	
0.001000	15.603356	0.992188	
0.001000	15.667382	0.968750	
0.001000	15.613214	0.960938	
0.001000	15.646779	0.960938	
0.001000	15.638615	0.968750	
0.001000	15.607002	0.968750	
0.001000	15.560472	1.000000	
0.001000	15.633499	0.968750	
0.001000	15.557197	0.992188	
0.001000	15.677874	0.953125	
0.001000	15.578976	0.976562	
0.001000	15.602190	0.960938	
0.001000	15.592010	0.960938	
0.001000	15.497149	1.000000	
0.001000	15.563497	0.984375	
0.001000	15.528392	0.992188	
0.001000	15.493710	0.992188	
0.001000	15.547486	0.984375	
0.001000	15.536979	0.968750	
0.001000	15.499664	0.992188	
0.001000	15.573256	0.960938	
0.001000	15.518110	0.976562	
0.001000	15.452456	1.000000	
0.001000	15.447707	1.000000	
0.001000	15.497128	0.984375	
0.001000	15.668633	0.937500	
0.001000	15.519403	0.976562	
0.001000	15.445042	0.984375	
0.001000	15.425297	1.000000	
0.001000	15.425123	1.000000	
0.001000	15.487995	0.968750	
0.001000	15.412477	1.000000	
0.001000	15.444735	0.992188	
0.001000	15.414712	0.992188	
0.001000	15.429069	0.984375	
0.001000	15.543243	0.929688	
0.001000	15.400187	1.000000	
0.001000	15.429545	0.992188	
0.001000	15.428735	0.984375	
0.001000	15.468710	0.976562	
0.001000	15.372626	1.000000	
0.001000	15.363233	1.000000	
0.001000	15.361011	1.000000	
0.001000	15.377037	0.992188	
0.001000	15.351601	1.000000	
0.001000	15.353403	0.992188	
0.001000	15.341765	1.000000	
0.001000	15.359068	0.992188	
0.001000	15.340607	0.992188	
0.001000	15.458807	0.953125	
0.001000	15.410106	0.976562	
0.001000	15.434160	0.945312	
0.001000	15.308109	1.000000	
0.001000	13.191288	0.992188	
0.001000	13.218331	0.992188	
0.001000	13.252647	0.968750	
0.001000	13.257530	0.945312	
0.001000	13.205111	0.968750	
0.001000	13.262357	0.968750	
0.001000	13.175074	0.984375	
0.001000	13.245783	0.960938	
0.001000	13.192944	0.976562	
0.001000	13.264955	0.976562	
0.001000	13.247342	0.984375	
0.001000	13.191007	0.984375	
0.001000	13.182055	0.968750	
0.001000	13.217360	0.968750	
0.001000	13.167675	0.992188	
0.001000	13.157104	0.984375	
0.001000	13.215331	0.960938	
0.001000	13.145069	0.992188	
0.001000	13.155398	0.984375	
0.001000	13.158792	0.984375	
0.001000	13.179216	0.984375	
0.001000	13.131543	0.984375	
0.001000	13.149282	0.984375	
0.001000	13.141191	0.984375	
0.001000	13.096224	0.992188	
0.001000	13.069517	1.000000	
0.001000	13.114666	0.984375	
0.001000	13.264169	0.945312	
0.001000	13.081241	0.992188	
0.001000	13.171563	0.968750	
0.001000	13.072390	0.992188	
0.001000	13.076305	0.992188	
0.001000	13.057136	0.984375	
0.001000	13.100672	0.968750	
0.001000	13.127522	0.976562	
0.001000	13.134504	0.945312	
0.001000	13.071790	0.984375	
0.001000	13.080454	0.976562	
0.001000	13.067219	0.968750	
0.001000	13.031380	0.992188	
0.001000	13.051016	0.984375	
0.001000	13.021689	0.992188	
0.001000	12.989913	1.000000	
0.001000	13.005801	0.984375	
0.001000	13.036783	0.984375	
0.001000	13.022061	0.984375	
0.001000	13.092646	0.968750	
0.001000	13.028684	0.992188	
0.001000	12.966468	1.000000	
0.001000	12.959092	1.000000	
0.001000	13.030280	0.960938	
0.001000	13.193213	0.921875	
0.001000	12.983823	0.992188	
0.001000	12.952954	0.992188	
0.001000	12.939490	1.000000	
0.001000	12.936605	1.000000	
0.001000	12.932357	1.000000	
0.001000	12.930056	1.000000	
0.001000	12.938539	0.984375	
0.001000	12.947883	0.992188	
0.001000	12.918722	1.000000	
0.001000	13.018713	0.968750	
0.001000	12.973223	0.984375	
0.001000	12.929201	0.992188	
0.001000	12.917829	0.992188	
0.001000	12.906120	0.992188	
0.001000	12.942775	0.992188	
0.001000	12.881584	1.000000	
0.001000	12.887255	0.992188	
0.001000	12.873813	1.000000	
0.001000	12.946954	0.984375	
0.001000	12.864187	1.000000	
0.001000	12.867334	1.000000	
0.001000	12.856776	1.000000	
0.001000	12.885778	0.976562	
0.001000	13.091866	0.953125	
0.001000	12.984349	0.960938	
0.001000	12.886100	0.992188	
0.001000	12.834023	1.000000	
0.001000	10.985291	0.992188	
0.001000	10.978303	1.000000	
0.001000	11.016358	0.984375	
0.001000	10.993188	0.992188	
0.001000	11.008648	0.992188	
0.001000	11.010104	0.976562	
0.001000	11.002594	0.984375	
0.001000	11.077795	0.968750	
0.001000	11.031054	0.968750	
0.001000	11.038088	0.960938	
0.001000	11.081075	0.984375	
0.001000	10.967376	0.976562	
0.001000	10.984737	0.976562	
0.001000	11.009351	0.968750	
0.001000	11.003772	0.968750	
0.001000	10.990351	0.976562	
0.001000	11.088563	0.953125	
0.001000	10.952999	0.976562	
0.001000	10.953677	0.984375	
0.001000	10.958839	0.984375	
0.001000	10.938719	0.976562	
0.001000	10.945309	0.976562	
0.001000	10.966108	0.960938	
0.001000	10.939594	0.984375	
0.001000	10.918064	0.992188	
0.001000	10.895517	0.992188	
0.001000	10.928705	0.968750	
0.001000	10.997918	0.953125	
0.001000	10.892058	0.984375	
0.001000	11.014541	0.953125	
0.001000	10.897367	0.984375	
0.001000	10.893860	0.992188	
0.001000	10.938150	0.968750	
0.001000	10.889551	0.976562	
0.001000	10.862840	0.992188	
