Learning Rate	Test Loss	Test Acc.	
0.010000	2.909333	0.976562	
0.010000	2.929957	0.953125	
0.010000	3.012226	0.929688	
0.010000	3.126755	0.906250	
0.010000	3.004870	0.937500	
0.010000	2.947135	0.937500	
0.010000	2.976383	0.929688	
0.010000	3.060170	0.921875	
0.010000	3.061630	0.906250	
0.010000	3.023250	0.898438	
0.010000	3.029623	0.921875	
0.010000	2.941359	0.945312	
0.010000	2.934542	0.953125	
0.010000	3.107730	0.890625	
0.010000	2.918365	0.937500	
0.010000	2.888242	0.921875	
0.010000	2.966562	0.914062	
0.010000	2.957195	0.921875	
0.010000	2.749237	0.968750	
0.010000	2.805668	0.945312	
0.010000	2.766989	0.953125	
0.010000	2.807050	0.929688	
0.010000	2.728748	0.968750	
0.010000	2.851796	0.929688	
0.010000	2.719791	0.984375	
0.010000	2.744109	0.953125	
0.010000	2.712286	0.960938	
0.010000	2.839567	0.929688	
0.010000	2.692698	0.945312	
0.010000	2.810118	0.929688	
0.010000	2.811245	0.937500	
0.010000	2.749649	0.921875	
0.010000	2.680616	0.953125	
0.010000	2.672195	0.945312	
0.010000	2.739479	0.890625	
0.010000	2.625356	0.960938	
0.010000	2.590146	0.976562	
0.010000	2.684493	0.937500	
0.010000	2.614647	0.976562	
0.010000	2.562387	0.968750	
0.010000	2.500571	0.992188	
0.010000	2.463314	1.000000	
0.010000	2.453691	0.992188	
0.010000	2.576104	0.968750	
0.010000	2.583993	0.953125	
0.010000	2.575501	0.953125	
0.010000	2.736676	0.914062	
0.010000	2.603532	0.945312	
0.010000	2.400519	1.000000	
0.010000	2.388234	0.992188	
0.010000	2.478698	0.953125	
0.010000	2.986068	0.835938	
0.010000	2.491864	0.968750	
0.010000	2.440887	0.968750	
0.010000	2.379637	0.992188	
0.010000	2.381960	0.992188	
0.010000	2.430007	0.984375	
0.010000	2.465902	0.953125	
0.010000	2.576317	0.921875	
0.010000	2.373288	0.976562	
0.010000	2.585541	0.929688	
0.010000	2.901020	0.859375	
0.010000	2.388628	0.960938	
0.010000	2.338629	0.976562	
0.010000	2.490087	0.921875	
0.010000	2.430144	0.937500	
0.010000	2.428515	0.945312	
0.010000	2.323107	0.984375	
0.010000	2.460367	0.976562	
0.010000	2.457374	0.968750	
0.010000	2.457551	0.953125	
0.010000	2.309619	0.976562	
0.010000	2.248933	0.984375	
0.010000	2.257696	0.976562	
0.010000	2.371966	0.945312	
0.010000	2.642747	0.859375	
0.010000	2.358699	0.921875	
0.010000	2.498448	0.890625	
0.010000	2.191811	1.000000	
0.010000	0.950437	0.984375	
0.010000	0.949431	0.976562	
0.010000	1.072696	0.929688	
0.010000	1.118642	0.945312	
0.010000	1.047102	0.960938	
0.010000	0.990559	0.960938	
0.010000	0.981587	0.976562	
0.010000	1.157384	0.937500	
0.010000	1.057624	0.937500	
0.010000	1.127912	0.921875	
0.010000	0.994790	0.953125	
0.010000	1.079099	0.953125	
0.010000	1.032204	0.953125	
0.010000	1.235784	0.929688	
0.010000	1.043661	0.953125	
0.010000	1.096782	0.914062	
0.010000	1.076176	0.937500	
0.010000	1.052403	0.953125	
0.010000	0.970157	0.976562	
0.010000	0.995044	0.960938	
0.010000	0.934116	0.984375	
0.010000	0.998885	0.953125	
0.010000	1.138447	0.968750	
0.010000	1.042422	0.945312	
0.010000	0.939773	0.976562	
0.010000	0.935541	0.984375	
0.010000	0.985530	0.968750	
0.010000	0.950958	0.976562	
0.010000	0.970988	0.960938	
0.010000	1.035083	0.960938	
0.010000	1.038025	0.960938	
0.010000	0.979611	0.976562	
0.010000	0.940082	0.976562	
0.010000	1.016878	0.945312	
0.010000	0.994178	0.953125	
0.010000	0.951074	0.968750	
0.010000	1.016459	0.945312	
0.010000	1.092182	0.921875	
0.010000	1.058642	0.945312	
0.010000	0.899817	0.992188	
0.010000	0.889796	0.976562	
0.010000	0.892775	0.984375	
0.010000	0.868585	0.992188	
0.010000	0.943028	0.976562	
0.010000	0.897812	0.984375	
0.010000	0.962972	0.960938	
0.010000	1.123060	0.921875	
0.010000	1.010856	0.968750	
0.010000	0.965806	0.968750	
0.010000	0.893307	0.992188	
0.010000	0.916497	0.976562	
0.010000	1.469513	0.828125	
0.010000	0.897021	0.992188	
0.010000	0.878603	0.992188	
0.010000	0.894400	0.984375	
0.010000	0.897399	0.984375	
0.010000	0.901626	0.984375	
0.010000	0.925851	0.960938	
0.010000	0.975589	0.937500	
0.010000	0.883630	0.984375	
0.010000	0.873072	0.984375	
0.010000	1.370390	0.851562	
0.010000	0.872369	0.984375	
0.010000	0.920178	0.984375	
0.010000	1.035036	0.953125	
0.010000	1.014825	0.945312	
0.010000	0.883132	0.976562	
0.010000	0.874632	0.992188	
0.010000	0.960821	0.984375	
0.010000	0.875206	0.976562	
0.010000	1.114408	0.937500	
0.010000	0.887541	0.976562	
0.010000	0.875710	0.976562	
0.010000	0.878748	0.984375	
0.010000	0.891604	0.976562	
0.010000	1.245369	0.914062	
0.010000	1.121795	0.906250	
0.010000	1.013778	0.937500	
0.010000	0.821171	1.000000	
0.010000	0.612529	0.984375	
0.010000	0.652694	0.968750	
0.010000	0.698913	0.945312	
0.010000	0.824408	0.906250	
0.010000	0.722229	0.960938	
0.010000	0.661268	0.960938	
0.010000	0.667407	0.968750	
0.010000	0.708124	0.945312	
0.010000	0.757171	0.929688	
0.010000	0.842220	0.914062	
0.010000	0.754737	0.945312	
0.010000	0.775681	0.953125	
0.010000	0.680057	0.968750	
0.010000	0.798315	0.937500	
0.010000	0.755717	0.953125	
0.010000	0.669354	0.960938	
0.010000	0.725932	0.945312	
0.010000	0.791691	0.953125	
0.010000	0.684527	0.945312	
0.010000	0.776232	0.929688	
0.010000	0.720532	0.960938	
0.010000	0.678403	0.945312	
0.010000	0.702605	0.960938	
0.010000	0.894687	0.921875	
0.010000	0.672017	0.953125	
0.010000	0.740640	0.945312	
0.010000	0.742452	0.945312	
0.010000	0.824870	0.953125	
0.010000	0.582015	0.984375	
0.010000	0.924433	0.906250	
0.010000	0.652412	0.960938	
0.010000	0.696862	0.953125	
0.010000	0.744902	0.960938	
0.010000	0.766149	0.921875	
0.010000	1.072643	0.890625	
0.010000	0.623152	0.953125	
0.010000	0.733710	0.960938	
0.010000	0.755098	0.937500	
0.010000	0.651721	0.960938	
0.010000	0.569894	0.992188	
0.010000	0.735243	0.953125	
0.010000	0.595977	0.976562	
0.010000	0.631254	0.976562	
0.010000	0.585837	0.992188	
0.010000	0.644953	0.968750	
0.010000	0.588689	0.976562	
0.010000	0.849157	0.929688	
0.010000	0.797409	0.929688	
0.010000	0.582786	0.992188	
0.010000	0.577979	0.976562	
0.010000	0.745065	0.937500	
0.010000	1.168247	0.765625	
0.010000	0.641580	0.953125	
0.010000	0.647518	0.976562	
0.010000	0.623429	0.976562	
0.010000	0.633860	0.976562	
0.010000	0.641172	0.953125	
0.010000	0.652207	0.960938	
0.010000	0.802084	0.929688	
0.010000	0.590069	0.976562	
0.010000	0.702204	0.929688	
0.010000	1.378073	0.781250	
0.010000	0.709312	0.968750	
0.010000	0.608152	0.968750	
0.010000	0.805136	0.921875	
0.010000	1.088375	0.890625	
0.010000	0.943795	0.898438	
0.010000	0.671862	0.937500	
0.010000	0.808624	0.937500	
0.010000	0.827788	0.937500	
0.010000	0.635843	0.953125	
0.010000	0.658243	0.937500	
0.010000	0.610390	0.976562	
0.010000	0.730886	0.960938	
0.010000	0.851325	0.875000	
0.010000	1.085141	0.859375	
0.010000	1.053581	0.851562	
0.010000	1.092611	0.835938	
0.010000	0.588689	0.937500	
0.010000	0.446640	0.992188	
0.010000	0.490919	0.976562	
0.010000	0.473742	0.992188	
0.010000	0.625035	0.914062	
0.010000	0.569010	0.968750	
0.010000	0.544560	0.953125	
