Learning Rate	Test Loss	Test Acc.	
0.010000	23.467333	0.828125	
0.010000	23.690239	0.773438	
0.010000	23.622536	0.820312	
0.010000	23.934946	0.710938	
0.010000	23.800112	0.718750	
0.010000	23.649441	0.804688	
0.010000	23.509661	0.820312	
0.010000	23.829683	0.710938	
0.010000	23.725718	0.796875	
0.010000	23.930044	0.726562	
0.010000	23.776814	0.773438	
0.010000	23.746256	0.742188	
0.010000	23.862112	0.734375	
0.010000	24.001459	0.750000	
0.010000	23.707117	0.765625	
0.010000	23.773535	0.789062	
0.010000	23.695089	0.750000	
0.010000	23.630339	0.828125	
0.010000	23.760155	0.804688	
0.010000	23.702322	0.773438	
0.010000	23.584354	0.804688	
0.010000	23.678020	0.789062	
0.010000	23.502237	0.812500	
0.010000	23.470730	0.835938	
0.010000	23.565804	0.812500	
0.010000	23.567739	0.851562	
0.010000	23.621016	0.812500	
0.010000	23.753950	0.765625	
0.010000	23.563101	0.828125	
0.010000	23.976219	0.703125	
0.010000	23.676817	0.828125	
0.010000	23.608620	0.812500	
0.010000	23.624735	0.820312	
0.010000	23.798544	0.765625	
0.010000	23.839853	0.734375	
0.010000	23.637245	0.835938	
0.010000	23.615622	0.804688	
0.010000	23.727547	0.773438	
0.010000	23.711088	0.789062	
0.010000	23.475731	0.812500	
0.010000	23.452755	0.867188	
0.010000	23.391823	0.859375	
0.010000	23.238123	0.937500	
0.010000	23.580517	0.843750	
0.010000	23.556017	0.781250	
0.010000	23.586584	0.828125	
0.010000	23.500092	0.820312	
0.010000	23.616213	0.851562	
0.010000	23.361889	0.898438	
0.010000	23.327583	0.875000	
0.010000	23.436510	0.859375	
0.010000	23.826754	0.765625	
0.010000	23.585297	0.835938	
0.010000	23.464542	0.859375	
0.010000	23.280952	0.906250	
0.010000	23.418644	0.875000	
0.010000	23.531282	0.828125	
0.010000	23.438843	0.835938	
0.010000	23.690655	0.765625	
0.010000	23.447138	0.859375	
0.010000	23.327349	0.882812	
0.010000	23.727377	0.812500	
0.010000	23.372658	0.890625	
0.010000	23.465618	0.828125	
0.010000	23.439867	0.812500	
0.010000	23.397594	0.843750	
0.010000	23.353779	0.882812	
0.010000	23.237112	0.945312	
0.010000	23.214394	0.937500	
0.010000	23.228922	0.929688	
0.010000	23.703068	0.820312	
0.010000	23.438103	0.820312	
0.010000	23.352978	0.906250	
0.010000	23.406544	0.867188	
0.010000	23.406788	0.851562	
0.010000	23.584867	0.765625	
0.010000	23.794136	0.703125	
0.010000	23.808128	0.742188	
0.010000	24.132557	0.687500	
0.010000	23.359430	0.843750	
0.010000	23.338680	0.890625	
0.010000	23.515112	0.835938	
0.010000	23.479954	0.851562	
0.010000	23.520344	0.835938	
0.010000	23.525549	0.851562	
0.010000	23.319185	0.875000	
0.010000	23.506250	0.859375	
0.010000	23.362007	0.875000	
0.010000	23.613440	0.796875	
0.010000	23.423082	0.875000	
0.010000	23.409046	0.875000	
0.010000	23.386003	0.875000	
0.010000	23.612360	0.828125	
0.010000	23.407610	0.890625	
0.010000	23.506695	0.875000	
0.010000	23.467831	0.851562	
0.010000	23.595251	0.867188	
0.010000	23.460424	0.875000	
0.010000	23.400492	0.882812	
0.010000	23.417341	0.875000	
0.010000	23.597021	0.804688	
0.010000	23.359909	0.898438	
0.010000	23.286026	0.890625	
0.010000	23.451281	0.890625	
0.010000	23.343801	0.851562	
0.010000	23.349398	0.898438	
0.010000	23.497484	0.843750	
0.010000	23.338827	0.906250	
0.010000	23.688402	0.820312	
0.010000	23.604658	0.843750	
0.010000	23.542099	0.898438	
0.010000	23.476442	0.859375	
0.010000	23.521318	0.796875	
0.010000	23.481411	0.804688	
0.010000	23.446905	0.875000	
0.010000	23.396048	0.875000	
0.010000	23.583193	0.796875	
0.010000	23.357521	0.875000	
0.010000	23.200373	0.937500	
0.010000	23.383844	0.914062	
0.010000	23.194429	0.960938	
0.010000	23.099768	0.984375	
0.010000	23.265327	0.906250	
0.010000	23.319931	0.882812	
0.010000	23.289028	0.875000	
0.010000	23.498152	0.851562	
0.010000	23.474195	0.843750	
0.010000	23.218697	0.960938	
0.010000	23.121725	0.945312	
0.010000	23.400312	0.898438	
0.010000	23.501299	0.851562	
0.010000	23.429001	0.882812	
0.010000	23.210958	0.914062	
0.010000	23.130451	0.945312	
0.010000	23.223101	0.921875	
0.010000	23.300213	0.875000	
0.010000	23.152012	0.937500	
0.010000	23.476547	0.867188	
0.010000	23.184942	0.937500	
0.010000	23.222847	0.921875	
0.010000	23.472351	0.859375	
0.010000	23.157566	0.921875	
0.010000	23.304289	0.914062	
0.010000	23.269524	0.882812	
0.010000	23.187948	0.953125	
0.010000	23.254786	0.898438	
