Learning Rate	Train Loss	Train Acc.	
0.010000	30.034370	0.101562	
0.010000	41.003040	0.140625	
0.010000	29.096064	0.093750	
0.010000	26.198933	0.101562	
0.010000	25.555197	0.109375	
0.010000	25.284258	0.109375	
0.010000	25.226513	0.070312	
0.010000	25.183058	0.093750	
0.010000	25.102982	0.085938	
0.010000	25.005785	0.117188	
0.010000	24.959610	0.140625	
0.010000	24.930759	0.085938	
0.010000	24.862423	0.117188	
0.010000	24.819153	0.109375	
0.010000	24.779459	0.109375	
0.010000	24.729609	0.101562	
0.010000	24.696413	0.054688	
0.010000	24.645018	0.070312	
0.010000	24.592575	0.070312	
0.010000	24.539181	0.101562	
0.010000	24.485514	0.093750	
0.010000	24.412798	0.125000	
0.010000	24.376055	0.085938	
0.010000	24.362482	0.101562	
0.010000	24.309364	0.101562	
0.010000	24.230207	0.117188	
0.010000	24.161156	0.125000	
0.010000	24.093365	0.125000	
0.010000	24.059040	0.085938	
0.010000	23.979925	0.125000	
0.010000	23.921881	0.093750	
0.010000	23.869452	0.101562	
0.010000	23.829153	0.117188	
0.010000	23.724636	0.179688	
0.010000	23.644268	0.226562	
0.010000	23.528677	0.351562	
0.010000	23.481575	0.187500	
0.010000	23.383532	0.218750	
0.010000	23.491974	0.234375	
0.010000	23.163145	0.312500	
0.010000	23.010717	0.359375	
0.010000	23.002306	0.351562	
0.010000	22.874929	0.335938	
0.010000	22.661249	0.359375	
0.010000	22.747017	0.367188	
0.010000	22.810965	0.328125	
0.010000	22.569828	0.367188	
0.010000	22.367956	0.453125	
0.010000	22.361042	0.390625	
0.010000	22.410959	0.328125	
0.010000	22.262024	0.390625	
0.010000	22.020193	0.531250	
0.010000	21.895893	0.515625	
0.010000	22.144890	0.375000	
0.010000	21.772854	0.468750	
0.010000	21.732552	0.492188	
0.010000	21.917618	0.398438	
0.010000	21.669304	0.492188	
0.010000	21.583918	0.453125	
0.010000	21.590618	0.468750	
0.010000	21.683126	0.421875	
0.010000	21.281811	0.523438	
0.010000	21.314814	0.507812	
0.010000	20.931288	0.609375	
0.010000	21.113573	0.531250	
0.010000	21.043739	0.515625	
0.010000	20.944429	0.523438	
0.010000	20.869707	0.539062	
0.010000	20.942255	0.539062	
0.010000	20.775175	0.554688	
0.010000	20.185783	0.750000	
0.010000	20.354658	0.640625	
0.010000	20.453245	0.593750	
0.010000	20.545536	0.570312	
0.010000	20.189800	0.656250	
0.010000	19.961851	0.687500	
0.010000	20.048876	0.625000	
0.010000	20.116732	0.609375	
0.010000	19.948202	0.703125	
0.010000	20.018799	0.640625	
0.010000	19.548080	0.773438	
0.010000	19.655308	0.640625	
0.010000	19.495016	0.757812	
0.010000	19.737526	0.648438	
