Learning Rate	Train Loss	Train Acc.	
0.010000	30.682238	0.125000	
0.010000	29.245760	0.085938	
0.010000	26.163624	0.125000	
0.010000	26.108408	0.093750	
0.010000	26.112049	0.093750	
0.010000	25.763861	0.125000	
0.010000	25.864714	0.085938	
0.010000	25.763359	0.085938	
0.010000	25.500950	0.101562	
0.010000	25.797285	0.117188	
0.010000	25.811506	0.109375	
0.010000	25.615490	0.054688	
0.010000	25.489351	0.171875	
0.010000	25.489336	0.156250	
0.010000	25.583193	0.140625	
0.010000	25.442253	0.156250	
0.010000	25.548920	0.187500	
0.010000	25.522591	0.101562	
0.010000	25.492666	0.125000	
0.010000	25.503086	0.148438	
0.010000	25.478081	0.093750	
0.010000	25.414806	0.125000	
0.010000	25.503304	0.140625	
0.010000	25.431002	0.101562	
0.010000	25.431658	0.109375	
0.010000	25.382166	0.109375	
0.010000	25.395657	0.125000	
0.010000	25.419125	0.132812	
0.010000	25.448442	0.132812	
0.010000	25.347769	0.132812	
0.010000	25.382353	0.093750	
0.010000	25.303843	0.101562	
0.010000	25.321302	0.164062	
0.010000	25.393892	0.148438	
0.010000	25.251287	0.171875	
0.010000	25.366003	0.164062	
0.010000	25.430250	0.171875	
0.010000	25.407907	0.117188	
0.010000	25.338318	0.132812	
0.010000	25.330841	0.156250	
0.010000	25.257656	0.132812	
0.010000	25.356730	0.132812	
0.010000	25.446245	0.125000	
0.010000	25.292490	0.132812	
0.010000	25.232473	0.195312	
0.010000	25.261770	0.171875	
0.010000	25.312181	0.132812	
0.010000	25.341921	0.148438	
0.010000	25.375660	0.148438	
0.010000	25.297743	0.109375	
0.010000	25.294004	0.195312	
0.010000	25.278639	0.156250	
0.010000	25.285650	0.132812	
0.010000	25.262827	0.195312	
0.010000	25.259455	0.117188	
0.010000	25.283937	0.132812	
0.010000	25.358156	0.148438	
0.010000	25.241280	0.210938	
0.010000	25.330587	0.164062	
0.010000	25.286879	0.179688	
0.010000	25.398033	0.125000	
0.010000	25.224245	0.164062	
0.010000	25.257172	0.218750	
0.010000	25.272408	0.187500	
0.010000	25.273046	0.195312	
0.010000	25.256088	0.179688	
