Learning Rate	Train Loss	Train Acc.	
0.001000	27.177614	0.140625	
0.001000	27.156099	0.117188	
0.001000	27.407862	0.117188	
0.001000	26.842350	0.101562	
0.001000	27.516684	0.101562	
0.001000	27.244719	0.093750	
0.001000	26.842880	0.125000	
0.001000	26.874971	0.085938	
0.001000	26.472212	0.109375	
0.001000	26.715557	0.125000	
0.001000	26.562342	0.093750	
0.001000	26.489298	0.101562	
0.001000	26.445953	0.070312	
0.001000	26.379038	0.125000	
0.001000	26.273188	0.125000	
0.001000	26.628792	0.117188	
0.001000	26.256571	0.093750	
0.001000	26.482805	0.093750	
0.001000	26.590269	0.101562	
0.001000	26.403048	0.156250	
0.001000	26.042973	0.195312	
0.001000	26.436954	0.078125	
0.001000	26.277611	0.093750	
0.001000	26.009901	0.109375	
0.001000	26.262365	0.093750	
0.001000	26.166754	0.109375	
0.001000	26.174952	0.117188	
0.001000	26.196447	0.093750	
0.001000	26.193243	0.125000	
0.001000	25.768837	0.156250	
0.001000	26.110998	0.093750	
0.001000	25.931711	0.109375	
0.001000	25.978863	0.093750	
0.001000	25.890085	0.156250	
0.001000	25.970087	0.101562	
0.001000	25.949028	0.093750	
0.001000	25.985714	0.093750	
0.001000	25.956955	0.078125	
0.001000	25.756573	0.109375	
0.001000	25.975245	0.156250	
0.001000	25.902903	0.101562	
0.001000	25.924841	0.093750	
0.001000	25.839430	0.140625	
0.001000	25.659142	0.164062	
0.001000	25.881756	0.117188	
0.001000	25.841230	0.148438	
0.001000	25.789246	0.164062	
0.001000	25.692423	0.148438	
0.001000	25.752430	0.148438	
0.001000	25.638100	0.156250	
0.001000	25.945604	0.062500	
0.001000	25.722231	0.125000	
0.001000	25.544291	0.148438	
0.001000	25.711069	0.109375	
0.001000	25.861664	0.062500	
0.001000	25.752390	0.148438	
0.001000	25.699316	0.109375	
0.001000	25.740372	0.093750	
0.001000	25.892942	0.117188	
0.001000	25.679523	0.164062	
0.001000	25.944883	0.085938	
0.001000	25.653307	0.156250	
0.001000	25.429663	0.179688	
0.001000	25.893053	0.101562	
0.001000	25.794504	0.125000	
0.001000	25.760969	0.132812	
0.001000	26.039427	0.109375	
0.001000	25.768030	0.101562	
0.001000	25.680979	0.132812	
0.001000	25.657051	0.148438	
0.001000	25.923805	0.101562	
0.001000	25.660856	0.101562	
0.001000	25.799494	0.062500	
0.001000	25.693514	0.156250	
0.001000	25.476933	0.156250	
0.001000	25.522150	0.140625	
0.001000	25.746668	0.125000	
0.001000	25.454744	0.140625	
0.001000	25.636129	0.125000	
0.001000	25.457193	0.234375	
0.001000	25.585564	0.156250	
0.001000	25.708780	0.101562	
0.001000	25.473944	0.148438	
0.001000	25.734459	0.148438	
0.001000	25.573387	0.164062	
0.001000	25.561476	0.117188	
0.001000	25.554628	0.132812	
0.001000	25.366087	0.187500	
0.001000	25.572630	0.132812	
0.001000	25.731211	0.125000	
0.001000	25.657803	0.132812	
0.001000	25.629429	0.109375	
0.001000	25.568018	0.093750	
0.001000	25.573652	0.125000	
0.001000	25.552994	0.140625	
0.001000	25.715387	0.109375	
0.001000	25.480371	0.179688	
0.001000	25.677040	0.078125	
0.001000	25.561619	0.132812	
0.001000	25.563438	0.132812	
0.001000	25.503405	0.156250	
0.001000	25.693436	0.109375	
0.001000	25.653101	0.109375	
0.001000	25.609278	0.109375	
0.001000	25.570452	0.140625	
0.001000	25.642391	0.140625	
0.001000	25.529383	0.187500	
0.001000	25.581106	0.148438	
0.001000	25.689438	0.125000	
0.001000	25.664284	0.093750	
0.001000	25.555254	0.140625	
0.001000	25.558327	0.132812	
0.001000	25.518976	0.148438	
0.001000	25.475836	0.140625	
0.001000	25.589365	0.101562	
0.001000	25.606562	0.140625	
0.001000	25.456556	0.125000	
0.001000	25.527237	0.156250	
0.001000	25.601360	0.078125	
0.001000	25.506815	0.117188	
0.001000	25.459959	0.132812	
0.001000	25.626520	0.125000	
0.001000	25.525587	0.164062	
0.001000	25.457193	0.117188	
0.001000	25.533892	0.132812	
0.001000	25.335794	0.195312	
0.001000	25.527788	0.132812	
0.001000	25.529566	0.093750	
0.001000	25.568033	0.085938	
0.001000	25.579592	0.132812	
0.001000	25.376131	0.164062	
0.001000	25.610966	0.085938	
0.001000	25.557192	0.093750	
0.001000	25.501099	0.179688	
0.001000	25.435984	0.148438	
0.001000	25.464174	0.148438	
0.001000	25.446978	0.156250	
0.001000	25.493721	0.125000	
0.001000	25.436144	0.125000	
0.001000	25.429970	0.109375	
0.001000	25.540764	0.132812	
0.001000	25.379805	0.101562	
0.001000	25.419794	0.148438	
0.001000	25.453548	0.164062	
0.001000	25.571703	0.093750	
0.001000	25.470270	0.125000	
