Learning Rate	Test Loss	Test Acc.	
0.001000	21.039431	0.992188	
0.001000	21.106098	0.937500	
0.001000	21.165901	0.906250	
0.001000	21.305696	0.906250	
0.001000	21.103441	0.929688	
0.001000	21.276251	0.906250	
0.001000	21.032135	0.960938	
0.001000	21.094967	0.937500	
0.001000	21.187071	0.882812	
0.001000	21.141445	0.929688	
0.001000	21.106743	0.945312	
0.001000	21.115240	0.929688	
0.001000	21.112265	0.929688	
0.001000	21.186007	0.906250	
0.001000	21.072996	0.953125	
0.001000	21.125856	0.929688	
0.001000	21.115101	0.906250	
0.001000	21.091970	0.945312	
0.001000	21.065769	0.945312	
0.001000	21.019049	0.960938	
0.001000	21.023220	0.960938	
0.001000	21.042158	0.937500	
0.001000	21.029947	0.953125	
0.001000	21.055002	0.906250	
0.001000	21.041870	0.945312	
0.001000	21.017433	0.929688	
0.001000	21.097269	0.906250	
0.001000	21.079323	0.921875	
0.001000	21.002802	0.953125	
0.001000	21.180616	0.914062	
0.001000	20.951904	0.960938	
0.001000	20.931305	0.976562	
0.001000	20.936335	0.968750	
0.001000	21.120872	0.898438	
0.001000	20.936777	0.953125	
0.001000	20.968424	0.953125	
0.001000	20.984360	0.945312	
0.001000	21.033268	0.929688	
0.001000	20.951324	0.953125	
0.001000	20.865625	0.960938	
0.001000	20.873137	0.976562	
0.001000	20.896032	0.968750	
0.001000	20.799255	0.976562	
0.001000	20.854635	0.960938	
0.001000	20.829300	0.968750	
0.001000	20.820604	0.968750	
0.001000	20.943293	0.906250	
0.001000	20.852154	0.953125	
0.001000	20.797079	0.984375	
0.001000	20.736502	0.992188	
0.001000	20.787983	0.976562	
0.001000	20.952032	0.906250	
0.001000	20.941887	0.937500	
0.001000	20.813242	0.968750	
0.001000	20.742605	0.976562	
0.001000	20.735718	0.992188	
0.001000	20.789389	0.960938	
0.001000	20.772848	0.960938	
0.001000	20.819399	0.945312	
0.001000	20.711941	0.984375	
0.001000	20.724421	0.992188	
0.001000	20.775599	0.968750	
0.001000	20.706751	0.992188	
0.001000	20.761879	0.976562	
0.001000	20.731779	0.984375	
0.001000	20.727739	0.968750	
0.001000	20.695967	0.976562	
0.001000	20.686153	0.992188	
0.001000	20.660810	0.992188	
0.001000	20.627726	1.000000	
0.001000	20.759470	0.953125	
0.001000	20.659056	0.984375	
0.001000	20.643242	0.984375	
0.001000	20.646126	0.984375	
0.001000	20.650137	0.984375	
0.001000	20.879116	0.929688	
0.001000	20.892685	0.914062	
0.001000	20.779013	0.929688	
0.001000	20.589540	1.000000	
0.001000	18.344570	0.968750	
0.001000	18.366180	0.976562	
0.001000	18.374142	0.968750	
0.001000	18.343433	0.953125	
0.001000	18.424324	0.968750	
0.001000	18.382772	0.960938	
0.001000	18.361996	0.945312	
0.001000	18.427692	0.937500	
0.001000	18.423264	0.937500	
0.001000	18.497536	0.906250	
0.001000	18.412661	0.960938	
0.001000	18.334524	0.968750	
0.001000	18.366449	0.929688	
0.001000	18.366734	0.953125	
0.001000	18.334856	0.953125	
0.001000	18.437635	0.937500	
0.001000	18.362986	0.945312	
0.001000	18.376787	0.937500	
0.001000	18.257477	0.976562	
0.001000	18.261749	0.953125	
0.001000	18.356239	0.968750	
0.001000	18.313059	0.945312	
0.001000	18.216631	0.984375	
0.001000	18.284683	0.945312	
0.001000	18.215940	0.984375	
0.001000	18.276163	0.968750	
0.001000	18.268677	0.968750	
0.001000	18.278807	0.960938	
0.001000	18.227573	0.960938	
0.001000	18.317356	0.921875	
0.001000	18.213631	0.968750	
0.001000	18.281384	0.953125	
0.001000	18.204250	0.960938	
0.001000	18.323946	0.929688	
0.001000	18.174778	0.968750	
0.001000	18.212809	0.945312	
0.001000	18.233559	0.960938	
0.001000	18.191124	0.960938	
0.001000	18.164612	0.984375	
0.001000	18.111105	0.984375	
0.001000	18.139801	0.984375	
0.001000	18.102772	0.976562	
0.001000	18.074121	0.992188	
0.001000	18.174305	0.976562	
0.001000	18.135204	0.953125	
0.001000	18.084503	0.992188	
0.001000	18.337265	0.937500	
0.001000	18.189552	0.945312	
0.001000	18.104969	0.968750	
0.001000	18.028097	1.000000	
0.001000	18.079708	0.984375	
0.001000	18.199766	0.945312	
0.001000	18.120001	0.984375	
0.001000	18.034121	0.984375	
0.001000	18.009260	1.000000	
0.001000	18.016510	0.992188	
0.001000	18.046736	0.992188	
0.001000	18.012373	0.992188	
0.001000	18.059069	0.968750	
0.001000	17.983305	1.000000	
0.001000	18.041142	0.968750	
0.001000	18.098299	0.968750	
0.001000	18.001015	0.984375	
0.001000	18.024559	0.984375	
0.001000	18.022060	0.984375	
0.001000	18.021431	0.968750	
0.001000	18.006783	0.976562	
0.001000	17.939911	1.000000	
0.001000	17.962790	0.984375	
0.001000	17.931652	1.000000	
0.001000	17.987244	0.976562	
0.001000	17.929577	1.000000	
0.001000	17.946871	0.984375	
0.001000	17.928743	0.992188	
0.001000	17.937731	0.976562	
0.001000	18.057102	0.929688	
0.001000	18.101126	0.953125	
0.001000	18.038864	0.960938	
0.001000	17.883301	1.000000	
