Learning Rate	Test Loss	Test Acc.	
0.010000	23.720932	0.734375	
0.010000	23.502069	0.820312	
0.010000	23.727400	0.765625	
0.010000	23.643858	0.812500	
0.010000	23.743269	0.734375	
0.010000	23.515753	0.835938	
0.010000	23.552721	0.828125	
0.010000	23.832891	0.726562	
0.010000	23.700302	0.742188	
0.010000	23.933609	0.718750	
0.010000	23.639343	0.804688	
0.010000	23.618505	0.765625	
0.010000	23.496691	0.828125	
0.010000	23.830658	0.773438	
0.010000	23.789522	0.750000	
0.010000	23.709877	0.757812	
0.010000	23.755056	0.781250	
0.010000	23.917473	0.679688	
0.010000	23.765146	0.726562	
0.010000	23.720324	0.726562	
0.010000	23.549408	0.796875	
0.010000	23.628326	0.804688	
0.010000	23.702377	0.757812	
0.010000	23.659012	0.796875	
0.010000	23.669548	0.789062	
0.010000	23.611912	0.773438	
0.010000	23.736765	0.750000	
0.010000	23.710819	0.734375	
0.010000	23.620209	0.789062	
0.010000	23.920912	0.734375	
0.010000	23.832417	0.773438	
0.010000	23.468592	0.804688	
0.010000	23.616852	0.773438	
0.010000	23.688972	0.765625	
0.010000	23.584215	0.796875	
0.010000	23.589401	0.796875	
0.010000	23.545378	0.843750	
0.010000	23.697409	0.757812	
0.010000	23.646915	0.757812	
0.010000	23.385403	0.890625	
0.010000	23.381821	0.875000	
0.010000	23.413136	0.843750	
0.010000	23.191931	0.921875	
0.010000	23.450560	0.851562	
0.010000	23.399935	0.851562	
0.010000	23.456522	0.890625	
0.010000	23.898678	0.734375	
0.010000	23.698999	0.796875	
0.010000	23.394009	0.867188	
0.010000	23.229336	0.937500	
0.010000	23.510765	0.843750	
0.010000	23.713978	0.734375	
0.010000	23.676662	0.773438	
0.010000	23.459591	0.851562	
0.010000	23.291693	0.867188	
0.010000	23.379232	0.867188	
0.010000	23.475361	0.859375	
0.010000	23.323658	0.882812	
0.010000	23.744877	0.734375	
0.010000	23.361368	0.875000	
0.010000	23.339537	0.914062	
0.010000	23.769251	0.765625	
0.010000	23.271866	0.898438	
0.010000	23.431744	0.851562	
0.010000	23.520998	0.820312	
0.010000	23.349863	0.890625	
0.010000	23.466312	0.828125	
0.010000	23.263311	0.898438	
0.010000	23.243519	0.906250	
0.010000	23.237411	0.898438	
0.010000	23.632753	0.781250	
0.010000	23.285734	0.859375	
0.010000	23.306854	0.867188	
0.010000	23.286863	0.906250	
0.010000	23.482178	0.773438	
