Learning Rate	Train Loss	Train Acc.	
0.001000	28.665077	0.101562	
0.001000	26.673271	0.070312	
0.001000	26.557013	0.132812	
0.001000	25.983429	0.164062	
0.001000	25.537678	0.164062	
0.001000	25.609631	0.218750	
0.001000	25.510164	0.164062	
0.001000	25.453728	0.140625	
0.001000	25.225468	0.195312	
0.001000	25.263777	0.140625	
0.001000	25.167858	0.187500	
0.001000	25.221012	0.226562	
0.001000	25.049292	0.242188	
0.001000	24.979282	0.296875	
0.001000	25.007080	0.296875	
0.001000	25.076004	0.218750	
0.001000	25.058365	0.234375	
0.001000	24.938265	0.273438	
0.001000	25.032856	0.242188	
0.001000	24.917833	0.351562	
0.001000	24.960764	0.265625	
0.001000	24.861147	0.265625	
0.001000	24.861977	0.304688	
0.001000	24.951237	0.304688	
0.001000	24.830397	0.351562	
0.001000	24.656775	0.445312	
0.001000	24.670578	0.453125	
0.001000	24.797159	0.312500	
0.001000	24.601263	0.460938	
0.001000	24.548143	0.453125	
0.001000	24.657049	0.414062	
0.001000	24.565205	0.453125	
0.001000	24.481754	0.460938	
0.001000	24.442636	0.492188	
0.001000	24.194468	0.593750	
0.001000	24.270555	0.539062	
0.001000	24.215929	0.523438	
0.001000	24.238091	0.531250	
0.001000	24.170681	0.601562	
0.001000	24.132351	0.554688	
0.001000	24.145819	0.570312	
0.001000	24.002617	0.640625	
0.001000	24.110905	0.531250	
0.001000	23.994835	0.609375	
0.001000	24.115396	0.593750	
0.001000	23.907774	0.648438	
0.001000	24.010275	0.593750	
0.001000	23.819952	0.687500	
0.001000	24.148830	0.570312	
0.001000	23.978640	0.570312	
0.001000	24.015934	0.632812	
0.001000	23.593985	0.765625	
0.001000	23.788754	0.695312	
0.001000	23.919884	0.601562	
0.001000	23.939041	0.648438	
0.001000	23.783413	0.687500	
0.001000	24.121716	0.554688	
0.001000	23.948248	0.648438	
0.001000	23.829956	0.648438	
0.001000	23.772802	0.632812	
0.001000	23.684731	0.679688	
0.001000	23.775299	0.664062	
0.001000	23.729704	0.687500	
0.001000	23.713671	0.703125	
0.001000	23.754337	0.632812	
0.001000	23.604464	0.750000	
0.001000	23.491989	0.765625	
0.001000	23.507160	0.757812	
0.001000	23.771709	0.656250	
0.001000	23.674452	0.703125	
0.001000	23.326056	0.812500	
0.001000	23.550652	0.734375	
0.001000	23.514116	0.734375	
0.001000	23.610844	0.750000	
0.001000	23.297281	0.812500	
0.001000	23.439865	0.773438	
0.001000	23.334536	0.812500	
0.001000	23.249825	0.820312	
0.001000	23.331432	0.812500	
0.001000	23.393019	0.789062	
0.001000	23.546085	0.726562	
0.001000	23.166485	0.773438	
0.001000	23.064871	0.898438	
0.001000	23.293699	0.843750	
0.001000	23.255695	0.796875	
0.001000	23.304546	0.757812	
0.001000	23.129580	0.843750	
0.001000	23.299101	0.773438	
0.001000	23.210651	0.812500	
0.001000	23.059761	0.835938	
0.001000	23.680838	0.703125	
0.001000	23.462240	0.773438	
0.001000	23.212370	0.804688	
0.001000	23.321295	0.757812	
0.001000	23.046469	0.859375	
0.001000	23.220114	0.796875	
0.001000	23.285868	0.796875	
0.001000	23.335602	0.750000	
0.001000	23.348377	0.765625	
0.001000	23.281073	0.820312	
0.001000	23.231178	0.812500	
0.001000	23.409084	0.726562	
0.001000	23.503811	0.718750	
0.001000	23.118467	0.843750	
0.001000	23.123209	0.812500	
0.001000	22.988358	0.882812	
0.001000	23.044264	0.843750	
0.001000	23.321430	0.773438	
0.001000	23.234087	0.773438	
0.001000	23.318764	0.742188	
0.001000	23.249342	0.757812	
0.001000	23.100279	0.835938	
0.001000	23.232195	0.812500	
0.001000	23.131020	0.804688	
0.001000	23.217514	0.695312	
0.001000	23.228119	0.796875	
0.001000	22.984943	0.828125	
0.001000	22.928827	0.851562	
0.001000	22.976889	0.843750	
0.001000	23.078545	0.867188	
0.001000	23.066528	0.820312	
0.001000	22.999252	0.875000	
0.001000	23.147903	0.789062	
0.001000	23.099180	0.796875	
0.001000	23.150152	0.773438	
0.001000	23.128269	0.820312	
0.001000	22.838516	0.875000	
0.001000	22.925896	0.812500	
0.001000	22.846119	0.882812	
0.001000	22.929855	0.875000	
0.001000	22.894918	0.859375	
0.001000	23.222290	0.765625	
0.001000	23.125549	0.695312	
0.001000	22.876814	0.851562	
0.001000	23.025143	0.835938	
0.001000	22.840700	0.828125	
0.001000	22.894300	0.843750	
0.001000	23.165541	0.804688	
0.001000	22.979486	0.804688	
0.001000	22.899025	0.835938	
0.001000	22.791933	0.890625	
0.001000	22.792767	0.875000	
0.001000	22.690063	0.906250	
0.001000	22.769455	0.835938	
0.001000	22.752028	0.867188	
0.001000	22.734383	0.875000	
0.001000	22.652054	0.898438	
0.001000	22.612299	0.921875	
0.001000	22.775875	0.859375	
0.001000	22.834883	0.804688	
0.001000	22.657394	0.914062	
0.001000	22.705017	0.898438	
0.001000	22.711884	0.859375	
0.001000	22.538549	0.914062	
0.001000	22.884907	0.843750	
0.001000	22.642675	0.906250	
0.001000	22.736652	0.859375	
0.001000	22.778435	0.835938	
0.001000	22.828503	0.843750	
0.001000	22.572876	0.898438	
0.001000	22.602934	0.906250	
0.001000	22.736361	0.875000	
0.001000	22.917685	0.828125	
0.001000	22.896843	0.835938	
0.001000	22.631565	0.898438	
0.001000	22.546280	0.914062	
0.001000	22.573761	0.898438	
0.001000	22.535198	0.945312	
0.001000	22.650951	0.867188	
0.001000	22.548727	0.906250	
0.001000	22.391254	0.929688	
0.001000	22.508915	0.906250	
0.001000	22.610023	0.843750	
0.001000	22.748947	0.820312	
0.001000	22.518593	0.906250	
0.001000	22.688433	0.835938	
0.001000	22.798565	0.812500	
0.001000	22.785172	0.835938	
0.001000	22.589882	0.898438	
0.001000	22.547812	0.882812	
0.001000	22.814819	0.804688	
0.001000	22.468987	0.890625	
0.001000	22.521515	0.914062	
0.001000	22.617079	0.859375	
0.001000	22.562311	0.898438	
0.001000	22.509598	0.906250	
0.001000	22.543272	0.882812	
0.001000	22.522032	0.906250	
0.001000	22.407391	0.945312	
0.001000	22.620787	0.835938	
0.001000	22.426105	0.921875	
0.001000	22.456556	0.906250	
0.001000	22.467123	0.914062	
0.001000	22.656635	0.820312	
0.001000	22.482193	0.898438	
0.001000	22.407063	0.906250	
0.001000	22.381741	0.914062	
0.001000	22.460304	0.875000	
0.001000	22.316708	0.898438	
0.001000	22.386051	0.914062	
0.001000	22.507412	0.859375	
0.001000	22.490278	0.882812	
0.001000	22.394682	0.906250	
0.001000	22.281809	0.953125	
0.001000	22.354624	0.914062	
0.001000	22.453859	0.906250	
0.001000	22.659637	0.835938	
0.001000	22.551672	0.843750	
0.001000	22.576832	0.875000	
0.001000	22.387878	0.914062	
0.001000	22.359091	0.882812	
0.001000	22.360620	0.898438	
0.001000	22.401937	0.867188	
0.001000	22.299698	0.906250	
0.001000	22.386826	0.898438	
0.001000	22.331417	0.914062	
0.001000	22.329033	0.890625	
0.001000	22.326010	0.906250	
0.001000	22.271051	0.945312	
0.001000	22.246792	0.929688	
0.001000	22.456020	0.859375	
0.001000	22.369982	0.898438	
0.001000	22.322201	0.914062	
0.001000	22.329681	0.906250	
0.001000	22.281210	0.921875	
0.001000	22.169575	0.945312	
0.001000	22.282133	0.906250	
0.001000	22.459053	0.851562	
0.001000	22.377407	0.843750	
0.001000	22.267162	0.929688	
0.001000	22.192530	0.921875	
0.001000	22.198742	0.906250	
0.001000	22.242405	0.906250	
0.001000	22.375378	0.882812	
0.001000	22.241371	0.898438	
0.001000	22.287373	0.914062	
0.001000	22.154051	0.945312	
0.001000	22.250769	0.914062	
0.001000	22.211170	0.906250	
0.001000	22.329372	0.890625	
0.001000	22.363913	0.843750	
0.001000	22.250000	0.914062	
0.001000	22.128574	0.914062	
0.001000	22.276897	0.914062	
0.001000	22.387323	0.867188	
0.001000	22.196102	0.882812	
0.001000	22.147726	0.914062	
0.001000	22.244926	0.921875	
0.001000	22.073891	0.921875	
0.001000	22.086788	0.929688	
0.001000	22.118448	0.914062	
0.001000	22.048290	0.921875	
0.001000	22.181437	0.890625	
0.001000	22.296345	0.859375	
0.001000	22.162403	0.937500	
0.001000	22.096542	0.945312	
0.001000	22.164196	0.921875	
0.001000	21.933565	0.968750	
0.001000	22.011564	0.921875	
0.001000	22.102879	0.945312	
0.001000	22.062477	0.914062	
0.001000	22.043552	0.953125	
0.001000	21.960913	0.945312	
0.001000	22.150227	0.898438	
0.001000	21.966427	0.921875	
0.001000	21.957045	0.937500	
0.001000	21.993555	0.906250	
0.001000	21.956568	0.929688	
0.001000	22.048777	0.929688	
0.001000	22.001665	0.921875	
0.001000	22.139948	0.882812	
0.001000	22.065435	0.898438	
0.001000	22.122795	0.875000	
0.001000	21.917343	0.945312	
0.001000	21.965872	0.937500	
0.001000	21.977148	0.953125	
0.001000	21.927208	0.945312	
0.001000	22.012199	0.898438	
