Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.939181	2.270859	17.288334	2.270808	16.840000	115.642453	
0.100000	1.712146	2.196507	37.416668	2.194714	37.570000	229.592356	
0.100000	1.536536	2.106809	61.393333	2.103033	62.169998	343.567724	
0.100000	1.422222	2.003819	74.153336	1.997931	75.080002	455.707754	
0.100000	1.334493	1.893651	79.968330	1.885736	81.110001	567.756935	
0.100000	1.242801	1.776311	83.273331	1.766303	84.300003	679.679616	
0.100000	1.202878	1.657027	85.056664	1.644951	86.269997	790.936030	
0.100000	1.149297	1.536699	86.416664	1.522732	87.089996	910.648474	
0.100000	1.092166	1.414733	87.426666	1.399059	88.129997	1031.592654	
0.100000	1.042951	1.300491	88.241669	1.283115	89.040001	1147.310077	
