Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.184539	2.250093	18.638334	2.247936	19.700001	80.653631	
0.100000	0.980932	2.171110	47.416668	2.168292	47.340000	161.337803	
0.100000	0.874982	2.070168	66.919998	2.066026	67.730003	251.778626	
0.100000	0.781213	1.922290	77.808334	1.916139	78.970001	333.415077	
0.100000	0.722749	1.745344	85.121666	1.736951	85.750000	419.614597	
0.100000	0.683828	1.549049	88.639999	1.538368	89.199997	505.661296	
0.100000	0.651323	1.351543	90.809998	1.338312	91.070000	590.384666	
0.100000	0.602216	1.133976	92.536667	1.118175	92.709999	673.720966	
0.100000	0.590709	0.945814	93.605003	0.927867	93.980003	761.302133	
0.100000	0.559644	0.782211	94.236664	0.762907	94.529999	844.402796	
