Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.936765	1.307637	78.504997	1.294534	79.410004	186.095093	
0.100000	1.141663	0.551679	88.956665	0.534138	89.430000	403.181803	
0.100000	0.784889	0.308502	92.550003	0.293081	92.849998	598.134408	
0.100000	0.621461	0.222925	94.076668	0.210090	94.250000	806.401258	
0.100000	0.541344	0.190482	94.788330	0.178897	94.849998	994.517556	
0.100000	0.489047	0.163044	95.375000	0.154056	95.320000	1169.152530	
0.100000	0.447790	0.144660	95.746666	0.136461	95.779999	1350.183185	
0.100000	0.407071	0.134111	96.063332	0.127391	96.089996	1567.154797	
0.100000	0.392639	0.124097	96.371666	0.117640	96.339996	1793.183764	
0.100000	0.384795	0.116197	96.584999	0.111117	96.519997	1966.611174	
