Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.166368	2.249584	18.253334	2.247742	19.280001	81.557070	
0.100000	0.954453	2.168969	50.896667	2.166317	51.889999	164.295470	
0.100000	0.837484	2.054559	73.305000	2.049549	75.019997	245.170476	
0.100000	0.769114	1.907199	82.279999	1.899338	83.449997	328.854157	
0.100000	0.723221	1.740316	87.121666	1.729890	88.339996	404.986096	
0.100000	0.682892	1.555901	90.111664	1.543379	91.139999	473.575148	
0.100000	0.649682	1.361269	91.955002	1.345855	92.809998	542.641424	
0.100000	0.634633	1.188451	93.128334	1.170540	93.900002	612.152182	
0.100000	0.622209	1.027645	93.775002	1.007953	94.449997	683.094280	
0.100000	0.583345	0.868501	94.226669	0.847545	94.709999	754.786285	
