Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.056736	2.263858	23.370001	2.263430	23.889999	80.388948	
0.100000	0.895451	2.225168	36.543335	2.223834	37.509998	160.459986	
0.100000	0.792264	2.159516	45.268333	2.157290	46.560001	240.885449	
0.100000	0.724778	2.085187	58.320000	2.081370	60.020000	321.335968	
0.100000	0.682732	1.979386	70.355003	1.973015	72.680000	400.917479	
0.100000	0.655298	1.846655	77.839996	1.837908	79.860001	480.622932	
0.100000	0.626314	1.701626	83.873337	1.690153	85.379997	560.854284	
0.100000	0.606770	1.550677	87.555000	1.535549	88.820000	641.159350	
0.100000	0.589865	1.411541	89.108330	1.393559	90.230003	721.640639	
0.100000	0.569213	1.248394	91.048332	1.228060	91.970001	801.463880	
