Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.148050	2.236992	14.520000	2.235975	14.750000	90.850125	
0.100000	0.942446	2.158332	20.506666	2.156385	20.379999	196.040085	
0.100000	0.836771	2.052965	47.026669	2.049764	47.619999	287.698505	
0.100000	0.783818	1.907384	71.616669	1.902080	72.320000	392.193187	
0.100000	0.719500	1.733158	83.044998	1.725375	84.070000	486.853611	
0.100000	0.676035	1.532548	88.506668	1.521549	89.430000	585.327451	
0.100000	0.646107	1.307559	91.551666	1.293493	92.120003	679.341456	
0.100000	0.620120	1.114976	92.883331	1.098018	93.230003	770.235891	
0.100000	0.596391	0.945730	93.608330	0.926910	94.040001	861.530348	
0.100000	0.587623	0.791751	94.206665	0.771983	94.720001	952.962712	
