Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	2.195145	2.297001	10.788333	2.296617	10.700000	6721.884360	
0.100000	2.129724	2.268228	17.898333	2.267041	18.340000	13458.411507	
0.100000	2.023144	2.227644	31.143333	2.225332	31.660000	20297.057690	
0.100000	1.900735	2.174660	43.115002	2.171047	43.849998	27172.174041	
0.100000	1.786060	2.112969	52.313332	2.108206	53.639999	33896.996135	
0.100000	1.677954	2.046513	59.191666	2.040679	60.880001	40691.008471	
0.100000	1.588944	1.975450	64.916664	1.968471	66.290001	47592.365868	
0.100000	1.514797	1.900013	69.470001	1.891677	70.680000	54236.841770	
0.100000	1.449769	1.819802	73.165001	1.810024	74.910004	61151.138359	
0.100000	1.396403	1.738165	75.746666	1.726941	77.220001	67726.601521	
