Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	2.144479	2.274233	11.855000	2.273998	12.050000	3781.684832	
0.100000	2.051164	2.233443	17.361666	2.232955	18.180000	7327.376383	
0.100000	1.931114	2.179360	26.206667	2.178147	26.870001	11153.821077	
0.100000	1.790130	2.113638	37.564999	2.111443	38.160000	14899.909692	
0.100000	1.687244	2.041687	48.213333	2.038355	48.619999	18636.502275	
0.100000	1.596365	1.961663	56.241665	1.956782	56.799999	22289.461471	
0.100000	1.516274	1.875959	62.185001	1.869419	62.860001	25985.875665	
0.100000	1.439675	1.785914	67.160004	1.777701	68.239998	29800.096026	
0.100000	1.382853	1.692578	71.393333	1.682597	72.309998	33354.403515	
0.100000	1.325417	1.598589	74.841667	1.586864	75.690002	36834.528335	
