Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.580288	2.258514	17.038334	2.257925	17.660000	412.698656	
0.100000	1.341282	2.190557	40.044998	2.189233	40.840000	822.066291	
0.100000	1.176805	2.101329	70.998337	2.098971	71.059998	1164.700757	
0.100000	1.094501	1.996124	82.418335	1.992146	82.529999	1511.223524	
0.100000	1.014817	1.875814	86.610001	1.869915	87.000000	1856.601053	
0.100000	0.958624	1.743760	88.930000	1.735249	89.260002	2194.751910	
0.100000	0.905906	1.601535	90.330002	1.590054	90.879997	2543.644862	
0.100000	0.863517	1.447167	91.196663	1.432884	91.959999	2961.703260	
0.100000	0.825810	1.295719	91.771667	1.278898	92.540001	3360.192160	
0.100000	0.796546	1.154340	92.275002	1.135267	93.000000	3768.972014	
