Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.550505	2.274013	17.955000	2.273756	17.590000	133.794420	
0.100000	1.398732	2.238778	27.785000	2.237668	28.110001	265.881041	
0.100000	1.297075	2.198165	41.431667	2.196097	41.660000	400.604311	
0.100000	1.238023	2.151148	56.208332	2.147806	56.189999	529.991698	
0.100000	1.186119	2.098358	65.971664	2.093673	66.379997	657.050016	
0.100000	1.137005	2.033851	73.258331	2.027550	74.089996	782.285324	
0.100000	1.098405	1.970707	78.175003	1.962620	79.070000	910.647643	
0.100000	1.070471	1.901196	82.033333	1.891265	82.820000	1064.249443	
0.100000	1.045226	1.826764	84.951668	1.815230	86.010002	1196.878923	
0.100000	1.022072	1.754314	87.019997	1.741091	88.120003	1331.029437	
