Learning Rate	Loss	Acc. at 1	Acc. at 5	Time	
0.0001	1.923240	39.575918	89.460841	78.343530
0.0001	1.435605	48.914295	93.163909	173.718820
0.0001	1.442185	52.166661	95.047369	271.184499
0.0001	1.179552	60.217971	96.200326	368.012313
0.0001	1.035547	62.893269	96.140090	465.128346
0.0001	0.806810	67.179435	97.643669	561.937254
0.0001	0.917851	70.919574	98.349774	658.916788
0.0001	0.751947	72.118490	97.629860	756.187669
0.0001	0.883049	74.895307	98.465545	852.554241
0.0001	0.439659	78.707260	98.758398	949.582300
0.0001	0.342575	79.691297	98.953513	1046.337812
0.0001	0.536245	79.879892	99.108557	1143.419602
0.0001	0.622159	81.774962	99.292494	1239.933104
0.0001	0.307220	81.874353	99.429294	1336.515854
0.0001	0.500999	82.733601	99.561110	1432.828330
0.0001	0.486893	83.017472	99.504843	1529.522670
0.0001	0.339131	83.067896	99.397002	1625.842148
0.0001	0.453263	83.812545	99.149925	1722.388713
0.0001	0.494181	84.859142	99.637501	1818.449432
0.0001	0.188488	85.169218	99.424249	1915.150859
0.0001	0.433386	86.238098	99.510743	2012.335728
0.0001	0.272744	87.293355	99.830569	2108.490352
0.0001	0.314485	87.084834	99.373734	2204.982402
0.0001	0.266283	87.187263	99.837039	2301.804467
0.0001	0.306524	87.235863	99.567791	2398.365744
0.0001	0.268938	87.402854	99.879043	2494.987029
0.0001	0.235888	88.422774	99.767525	2591.418660
0.0001	0.111896	88.029790	99.595615	2687.916638
0.0001	0.290198	88.565786	99.668227	2783.929565
0.0001	0.335652	88.437206	99.846842	2880.601920
0.0001	0.160995	90.508940	99.929985	2976.767736
0.0001	0.260081	90.888938	99.949989	3072.774066
0.0001	0.119564	90.888938	99.939987	3167.872789
0.0001	0.041782	90.908934	99.939987	3263.885312
0.0001	0.061409	90.908934	99.979988	3359.430927
0.0001	0.050968	91.048941	99.979988	3455.766312
0.0001	0.055173	91.148940	99.989990	3554.095046
0.0001	0.122131	91.148940	99.979988	3650.593741
0.0001	0.139970	91.148940	99.949989	3746.892480
0.0001	0.033168	91.148940	99.999984	3842.649374
0.0001	0.178199	91.238936	99.979988	3938.279816
0.0001	0.112497	91.238936	100.009986	4032.933173
0.0001	0.129964	91.238936	99.989990	4128.234162
0.0001	0.048805	91.278937	99.969985	4223.968367
0.0001	0.111321	91.278937	99.979988	4320.178258
0.0001	0.146761	91.278937	99.979988	4416.377549
0.0001	0.039534	91.278937	99.979988	4511.506452
0.0001	0.050478	91.288939	99.959991	4608.558079
0.0001	0.025789	91.288939	99.999984	4702.945226
0.0001	0.109820	91.288939	99.989990	4797.945304
0.0001	0.054161	91.432215	99.963329	4988.363049
0.0001	0.045729	91.432215	99.983325	5084.349019
0.0001	0.047475	91.432215	99.973331	5179.575786
0.0001	0.014178	91.432215	99.983325	5275.010497
0.0001	0.028956	91.432215	99.973331	5369.673181
0.0001	0.029806	91.432215	99.983325	5464.366722
0.0001	0.045333	91.432215	99.993328	5559.313423
0.0001	0.059507	91.432215	99.963329	5654.143165
0.0001	0.130082	91.432215	99.923328	5749.246729
0.0001	0.081572	91.482218	99.963329	5843.891787
0.0001	0.042817	91.482218	99.953327	5938.384327
0.0001	0.058646	91.482218	99.963329	6033.391493
0.0001	0.053565	91.482218	99.993328	6128.120054
0.0001	0.056491	91.482218	99.963329	6222.692579
0.0001	0.140334	91.552218	99.993328	6317.427078
0.0001	0.107163	91.552218	99.003330	6412.092324
0.0001	0.121756	91.552218	99.993328	6506.129945
0.0001	0.124742	91.552218	99.993328	6637.933512
0.0001	0.076356	91.552218	99.953327	6770.526510
0.0001	0.120529	91.552218	99.983325	6949.035077
0.0001	0.158232	91.552218	99.973331	7045.082559
0.0001	0.114993	91.552218	99.973331	7151.883621
0.0001	0.076277	91.552218	99.973331	7294.080333
0.0001	0.068633	91.552218	99.983325	7435.868238
0.0001	0.079836	91.552218	99.973331	7528.033561
0.0001	0.068220	91.552218	99.963329	7670.335589
0.0001	0.107848	91.552218	99.993328	7876.605792
0.0001	0.167156	91.552218	99.003330	7968.861370
0.0001	0.137324	91.552218	99.983325	8110.809064
0.0001	0.108391	91.522598	99.583254	8303.133165
0.0001	0.108802	91.559998	99.009995	8495.026731
0.0001	0.101336	91.559998	99.019998	8686.327665
0.0001	0.027194	91.559998	99.989999	8827.347633
0.0001	0.088753	91.559998	99.989999	8969.429460
0.0001	0.121361	91.570000	99.989999	9110.645209
0.0001	0.107776	91.570000	99.989999	9301.113172
0.0001	0.029229	91.570000	99.989999	9443.401628
0.0001	0.078751	91.570000	99.019998	9634.351201
0.0001	0.041646	91.570000	99.000001	9775.820344
0.0001	0.086921	91.570000	99.979997	9967.331311
0.0001	0.103361	91.570000	99.009995	10108.982133
0.0001	0.041416	91.570000	99.000001	10249.934395
0.0001	0.089814	91.570000	99.989999	10441.638727
0.0001	0.127975	91.570000	99.989999	10584.079361
0.0001	0.033989	91.570000	99.979997	10775.087355
0.0001	0.089611	91.570000	99.949998	10866.451706
0.0001	0.120017	91.570000	99.000001	11007.279566
0.0001	0.011930	91.570000	99.000001	11148.892961
0.0001	0.021478	91.570000	99.969995	11219.879216
0.0001	0.011478	91.570000	99.969995	11312.398792
