Learning Rate	Loss	Acc. at 1	Acc. at 5	Time	
0.100000	4.038219	11.780000	31.099998	278.281164	
0.100000	4.626362	19.340000	44.500000	560.249875	
0.100000	3.893996	23.240000	49.180000	839.191226	
0.100000	2.267005	30.580000	57.939999	1115.939181	
0.100000	3.214844	33.059998	60.980000	1400.534494	
0.100000	2.670573	37.700001	66.040001	1676.532702	
0.100000	4.027020	39.840000	68.180000	1949.061259	
0.100000	3.347665	43.980000	70.820000	2224.042480	
0.100000	2.974743	46.539997	72.239998	2498.369949	
0.100000	2.983253	48.099998	75.139999	2771.012887	
0.100000	2.547257	51.119999	77.220001	3044.157451	
0.100000	2.440796	52.660000	78.739998	3320.284097	
0.100000	3.770729	54.559998	80.099998	3594.225911	
0.100000	2.928499	54.559998	80.099998	3878.622291	
0.100000	1.906611	56.559998	81.639999	4156.148076	
0.100000	2.731136	59.059998	83.779999	4434.837345	
0.100000	2.658032	59.639999	83.479996	4711.405726	
0.100000	3.045589	61.299999	84.720001	4987.964002	
0.100000	2.717693	63.480000	85.199997	5263.227525	
0.100000	2.473929	64.119995	86.379997	5537.795684	
0.100000	1.995680	64.639999	86.320000	5812.993396	
0.100000	3.044076	65.500000	87.559998	6094.127769	
0.100000	2.891067	66.299995	87.900002	6368.215765	
0.100000	2.350819	67.220001	88.720001	6651.731125	
0.100000	2.276879	68.659996	88.579994	6925.451382	
0.100000	2.371954	69.040001	89.259995	7202.398510	
0.100000	1.625073	69.459999	90.059998	7473.558713	
0.100000	2.188488	71.139999	90.419998	7761.945675	
0.100000	2.092456	72.400002	91.239998	8044.285518	
0.100000	1.227311	72.559998	91.379997	8317.353422	
0.100000	2.107723	80.040001	94.180000	8587.869850	
0.100000	1.170207	81.299995	94.399994	8869.747434	
0.100000	2.478091	82.119995	94.759995	9142.370790	
0.100000	1.518223	82.779999	95.239998	9420.411256	
0.100000	1.569050	83.900002	95.699997	9693.179236	
0.100000	0.666063	84.079994	95.459999	9965.949561	
0.100000	1.304291	84.479996	96.000000	10238.610456	
0.100000	2.092412	84.639999	95.699997	10510.488068	
0.100000	0.913240	85.419998	96.279999	10780.604594	
0.100000	1.279929	85.379997	96.159996	11051.646383	
0.100000	1.439808	86.000000	96.540001	11323.747555	
0.100000	1.619623	86.159996	96.419998	11598.877131	
0.100000	1.731645	86.559998	96.540001	11867.372922	
0.100000	1.201843	87.299995	96.979996	12141.627123	
0.100000	2.100040	87.139999	96.739998	12413.238420	
0.100000	1.213925	87.579994	97.159996	12684.305465	
0.100000	1.289377	88.000000	97.299995	12955.808210	
0.100000	0.776828	88.639999	97.199997	13229.094922	
0.100000	1.616765	89.099998	97.680000	13499.961713	
0.100000	2.017620	89.159996	97.820000	13773.455957	
0.100000	1.435493	89.159996	97.879997	14055.873592	
0.100000	2.337874	89.619995	97.399994	14325.859395	
0.100000	3.144784	90.099998	98.000000	14596.988441	
0.100000	1.453843	90.279999	97.939995	14868.351393	
0.100000	1.815996	90.519997	98.180000	15140.309219	
0.100000	0.782091	90.680000	98.199997	15412.283113	
0.100000	1.084295	90.860001	98.279999	15689.532502	
0.100000	1.206582	90.839996	98.040001	15961.296741	
0.100000	2.184900	90.860001	97.979996	16234.377003	
0.100000	1.733818	91.320000	98.360001	16506.581531	
0.100000	1.321215	91.799995	98.320000	16778.393355	
0.100000	1.949229	92.079994	98.360001	17055.424615	
0.100000	1.274261	92.279999	98.559998	17337.528697	
0.100000	0.844707	92.239998	98.399994	17608.539487	
0.100000	2.573533	92.299995	98.379997	17881.083207	
0.100000	1.689840	92.279999	98.699997	18152.201121	
0.100000	0.769857	92.479996	98.699997	18423.631386	
0.100000	1.127780	92.540001	98.459999	18694.336930	
0.100000	1.276756	92.479996	98.639999	18967.116629	
0.100000	1.786891	92.540001	98.419998	19239.983324	
0.100000	1.469560	92.479996	98.599998	19513.426598	
0.100000	0.770730	92.599998	98.459999	19786.495001	
0.100000	0.794140	92.479996	98.799995	20065.091205	
0.100000	1.929756	92.839996	98.599998	20337.260602	
0.100000	1.582499	92.899994	98.779999	20614.606082	
0.100000	1.642389	92.839996	98.439995	20887.606679	
0.100000	0.881289	92.899994	98.699997	21163.574870	
0.100000	1.241003	93.239998	98.820000	21434.277041	
0.100000	2.032775	93.239998	98.739998	21708.289762	
0.100000	1.847186	93.239998	98.839996	21983.484394	
0.100000	0.899359	93.119995	98.519997	22257.918894	
0.100000	1.981876	93.119995	98.599998	22531.552354	
0.100000	1.162133	93.119995	98.559998	22803.249616	
0.100000	1.012437	93.119995	98.559998	23077.870953	
0.100000	1.675037	93.279999	98.799995	23348.612787	
0.100000	1.395447	93.139999	98.639999	23625.119615	
0.100000	1.498350	93.139999	98.519997	23904.111031	
0.100000	0.861398	93.320000	98.820000	24178.896078	
0.100000	2.176385	93.139999	98.659996	24455.513421	
0.100000	1.339409	93.459999	98.779999	24736.868590	
0.100000	1.618701	93.199997	98.599998	25010.780212	
0.100000	1.575775	93.199997	98.619995	25289.162392	
0.100000	1.978426	93.199997	98.619995	25560.654242	
0.100000	1.570850	93.199997	98.579994	25834.825751	
0.100000	1.693007	93.459999	98.899994	26110.131743	
0.100000	1.865450	93.500000	98.860001	26384.252515	
0.100000	1.122293	93.500000	98.860001	26658.053095	
0.100000	1.044598	93.500000	98.820000	26931.229507	
0.100000	1.194937	93.439995	98.619995	27203.475679	
0.100000	1.477058	93.500000	98.759995	27475.336936	
