Learning Rate	Loss	Acc. at 1	Acc. at 5	Time	
0.000050	3.698045	7.200000	22.219999	415.221123	
0.000050	4.377935	13.299999	33.860001	826.063975	
0.000050	3.307448	18.439999	42.959999	1232.698476	
0.000050	3.977900	24.139999	49.919998	1637.858215	
0.000050	3.948322	25.599998	53.160000	2043.977370	
0.000050	3.414929	29.639999	57.039997	2451.486229	
0.000050	3.321096	33.899998	61.919998	2858.911589	
0.000050	2.665718	35.959999	63.739998	3265.642164	
0.000050	3.560603	38.619999	66.199997	3670.614330	
0.000050	3.316518	40.419998	68.279999	4077.378659	
0.000050	3.131233	41.799999	70.019997	4486.215840	
0.000050	2.476916	43.239998	71.000000	4892.389719	
0.000050	2.868340	46.160000	73.459999	5298.063158	
0.000050	2.691302	47.340000	74.299995	5702.712808	
0.000050	2.505820	48.820000	76.139999	6109.504430	
0.000050	2.943280	48.820000	76.040001	6516.304829	
0.000050	2.230648	52.439999	77.680000	6921.821255	
0.000050	2.344297	53.879997	79.040001	7326.446214	
0.000050	4.005906	54.719997	79.360001	7733.051925	
0.000050	3.455023	55.699997	80.099998	8138.259022	
0.000050	2.322510	57.039997	81.139999	8544.463833	
0.000050	2.108055	57.359997	81.299995	8949.360729	
0.000050	1.359519	59.180000	82.199997	9356.087207	
0.000050	2.090110	60.320000	84.360001	9761.217516	
0.000050	3.283845	60.899998	83.779999	10168.121328	
0.000050	2.937408	61.660000	85.099998	10573.616650	
0.000050	2.772243	62.259998	86.339996	10978.682542	
0.000050	2.494723	63.059998	86.419998	11384.159606	
0.000050	1.457261	63.879997	86.839996	11791.597295	
0.000050	2.474733	65.500000	87.099998	12196.475565	
0.000050	1.926082	70.759995	89.720001	12601.773682	
0.000050	2.585538	71.599998	90.939995	13009.120274	
0.000050	2.652913	71.900002	91.360001	13415.794592	
0.000050	1.247145	72.180000	90.400002	13822.354496	
0.000050	1.879966	72.339996	90.680000	14229.283166	
0.000050	1.744882	72.820000	91.779999	14635.868871	
0.000050	1.909033	73.139999	91.639999	15047.593894	
0.000050	1.889125	73.379997	91.919998	15453.762890	
0.000050	1.805659	73.779999	91.919998	15860.205513	
0.000050	2.107721	74.099998	92.019997	16266.713518	
0.000050	1.736419	74.119995	91.399994	16672.951396	
0.000050	1.305099	74.299995	91.339996	17083.932930	
0.000050	0.854921	74.699997	91.779999	17490.998023	
0.000050	1.704915	74.900002	92.459999	17896.287555	
0.000050	1.715911	74.919998	92.639999	18303.015287	
0.000050	0.764135	75.459999	91.879997	18709.905840	
0.000050	3.003662	75.580002	92.180000	19117.180342	
0.000050	1.935222	75.580002	92.339996	19529.260977	
0.000050	1.806739	75.919998	92.299995	19953.630448	
0.000050	2.211096	76.580002	92.079994	20392.873166	
0.000050	2.337461	76.599998	92.479996	20840.983356	
0.000050	2.277661	76.599998	92.199997	21278.004067	
0.000050	2.535139	77.040001	93.320000	21715.608679	
0.000050	1.727157	77.040001	93.360001	22141.289026	
0.000050	1.418001	77.040001	93.259995	22566.447326	
0.000050	2.692548	77.459999	92.899994	23006.956632	
0.000050	2.172949	77.720001	93.399994	23445.572142	
0.000050	1.042675	77.639999	92.919998	23879.569345	
0.000050	1.251365	77.720001	93.699997	24302.365014	
0.000050	1.862784	77.919998	93.299995	24726.203250	
0.000050	1.771151	78.699997	93.680000	25152.945356	
0.000050	1.215838	78.739998	93.820000	25593.921365	
0.000050	2.909683	78.839996	93.379997	26039.128978	
0.000050	1.447845	78.839996	93.360001	26472.400953	
0.000050	1.989126	78.839996	93.619995	26898.635207	
0.000050	1.372261	78.799995	93.860001	27323.993829	
0.000050	2.255235	78.799995	93.820000	27736.682195	
0.000050	2.512313	78.799995	93.879997	28146.983166	
0.000050	2.118330	79.000000	94.079994	28564.538582	
0.000050	1.343778	78.839996	93.559998	29010.825918	
0.000050	1.650668	79.000000	93.879997	29455.846685	
0.000050	1.986339	79.239998	93.799995	29900.189669	
0.000050	1.859992	79.239998	94.059998	30347.411575	
0.000050	2.273134	79.239998	93.959999	30788.519239	
0.000050	1.122274	78.879997	93.599998	31221.751635	
0.000050	1.364698	78.879997	93.779999	31658.878993	
0.000050	1.029170	79.239998	94.079994	32092.229308	
0.000050	2.501063	79.239998	94.000000	32534.295650	
0.000050	2.206352	78.979996	93.639999	32966.102661	
0.000050	2.053366	78.979996	93.379997	33394.771443	
0.000050	1.689692	79.239998	93.860001	33825.823261	
0.000050	2.278175	79.239998	94.099998	34266.350557	
0.000050	2.916787	79.239998	93.959999	34713.056621	
0.000050	1.470301	79.199997	93.759995	35156.188440	
0.000050	2.152464	79.199997	93.779999	35600.224952	
0.000050	2.796561	79.439995	94.139999	36041.205364	
0.000050	1.485459	79.239998	93.439995	36484.576219	
0.000050	1.861313	79.239998	93.639999	36925.116152	
0.000050	1.359757	79.439995	94.180000	37364.212723	
0.000050	2.017202	79.639999	93.659996	37803.468817	
0.000050	2.742244	79.439995	94.019997	38233.101565	
0.000050	2.190954	79.639999	93.799995	38671.030778	
0.000050	1.708755	79.680000	94.239998	39108.784537	
0.000050	1.851922	79.680000	94.239998	39552.678978	
0.000050	1.105422	79.639999	93.720001	39991.381781	
0.000050	2.604672	79.680000	94.180000	40427.159101	
0.000050	2.445810	79.680000	94.159996	40869.645497	
0.000050	1.259696	79.639999	93.680000	41305.960250	
0.000050	1.455777	79.680000	94.399994	41742.419104	
0.000050	1.447508	79.639999	93.799995	42172.386605	
