Learning Rate	Loss	Acc. at 1	Acc. at 5	Time	
0.010000	3.985259	7.680000	22.619999	287.096358	
0.010000	4.732244	14.839999	36.219997	576.336715	
0.010000	3.848576	16.939999	39.680000	860.325519	
0.010000	4.175179	19.559999	43.700001	1155.951922	
0.010000	3.928018	23.400000	48.639999	1434.873320	
0.010000	3.738817	26.660000	53.359997	1716.443576	
0.010000	3.519554	29.599998	56.500000	1996.147628	
0.010000	3.650509	30.859999	58.980000	2275.802477	
0.010000	3.788336	32.919998	60.619999	2554.612385	
0.010000	3.733393	34.340000	61.519997	2831.893912	
0.010000	3.082579	34.439999	62.719997	3111.746683	
0.010000	3.469867	38.200001	65.860001	3391.876896	
0.010000	3.211156	39.439999	66.739998	3672.979563	
0.010000	2.763304	40.619999	67.799995	3950.543421	
0.010000	3.324538	42.079998	69.599998	4229.795297	
0.010000	3.224485	43.619999	70.339996	4507.771246	
0.010000	3.173870	44.299999	71.139999	4786.544143	
0.010000	2.773244	45.160000	72.320000	5068.131955	
0.010000	2.952544	46.279999	73.320000	5348.455110	
0.010000	2.211030	47.360001	74.779999	5637.793815	
0.010000	2.789476	48.059998	75.199997	5916.157583	
0.010000	2.447156	49.360001	75.860001	6193.541521	
0.010000	2.406181	50.399998	75.939995	6474.453994	
0.010000	1.336382	51.379997	77.159996	6752.185782	
0.010000	2.296534	50.840000	76.220001	7031.748118	
0.010000	2.997998	52.500000	77.860001	7353.255354	
0.010000	2.987557	54.099998	79.320000	7737.924080	
0.010000	2.290523	54.259998	78.820000	8158.034860	
0.010000	2.561958	54.739998	79.680000	8479.639550	
0.010000	1.963841	55.639999	80.400002	8806.727713	
0.010000	1.939860	60.299999	83.799995	9091.354022	
0.010000	2.630255	60.899998	84.119995	9371.750893	
0.010000	1.650468	61.320000	84.059998	9652.068683	
0.010000	2.392207	61.859997	84.119995	9948.421124	
0.010000	3.211742	62.139999	84.559998	10231.810451	
0.010000	1.360840	62.139999	85.040001	10509.907964	
0.010000	2.211648	62.480000	85.239998	10787.208905	
0.010000	2.054709	62.820000	85.079994	11064.811903	
0.010000	1.286827	62.820000	85.099998	11343.783095	
0.010000	2.772560	63.059998	85.419998	11624.248728	
0.010000	2.865927	63.059998	85.360001	11904.933629	
0.010000	2.197687	63.219997	85.500000	12187.993455	
0.010000	2.040645	63.219997	85.579994	12464.119528	
0.010000	1.486046	63.199997	85.659996	12742.843912	
0.010000	2.097589	63.219997	86.019997	13025.676615	
0.010000	2.490995	63.219997	85.419998	13303.271086	
0.010000	3.598210	63.899998	85.839996	13584.007837	
0.010000	2.619985	64.479996	86.139999	13866.779715	
0.010000	2.256164	64.080002	85.419998	14154.460039	
0.010000	2.216446	64.540001	86.540001	14432.195612	
0.010000	2.080524	64.339996	86.139999	14709.760764	
0.010000	2.538165	64.540001	86.000000	14985.564251	
0.010000	2.455317	64.619995	86.919998	15268.474720	
0.010000	2.902207	65.220001	86.500000	15549.874023	
0.010000	1.421183	65.139999	86.979996	15829.259747	
0.010000	1.730369	65.479996	86.659996	16106.824620	
0.010000	0.743685	65.139999	86.779999	16459.596465	
0.010000	1.353396	65.299995	86.820000	16783.329018	
0.010000	2.899968	65.779999	86.639999	17060.404986	
0.010000	2.323073	65.799995	86.759995	17344.147126	
0.010000	2.539823	65.900002	86.799995	17639.490433	
0.010000	2.185743	66.739998	87.099998	17917.090498	
0.010000	2.532313	65.900002	87.400002	18194.891831	
0.010000	3.034425	66.879997	87.199997	18470.376298	
0.010000	2.770290	66.159996	87.379997	18747.678039	
0.010000	1.924509	66.159996	87.320000	19089.528526	
0.010000	2.168833	66.879997	87.279999	19580.923882	
0.010000	2.403171	66.180000	87.459999	20110.695459	
0.010000	3.247185	66.180000	87.500000	20648.778166	
0.010000	3.326679	66.239998	87.139999	21157.429469	
0.010000	2.904352	66.239998	87.379997	21577.270518	
0.010000	2.440459	66.879997	87.139999	22084.823279	
0.010000	1.582944	66.879997	87.059998	22567.219315	
0.010000	1.962478	66.239998	87.500000	23062.811558	
0.010000	1.808058	66.879997	87.220001	23560.323074	
0.010000	2.697348	67.040001	87.419998	24060.830917	
0.010000	1.957556	66.400002	87.579994	24544.631235	
0.010000	1.794919	66.400002	87.779999	25051.252536	
0.010000	1.720627	67.040001	87.239998	25548.400833	
0.010000	2.393876	67.180000	87.220001	25833.437150	
0.010000	2.313455	66.400002	87.419998	26111.873044	
0.010000	1.551164	66.400002	87.459999	26387.813329	
0.010000	2.632413	66.400002	87.339996	26664.758742	
0.010000	2.735533	66.400002	87.680000	26941.138598	
0.010000	2.175533	66.400002	87.680000	27218.242163	
0.010000	2.390166	66.400002	87.579994	27498.072654	
0.010000	2.339282	66.400002	87.379997	27780.545891	
0.010000	2.191514	66.400002	87.639999	28062.886269	
0.010000	2.846606	67.479996	87.379997	28346.658480	
0.010000	2.140260	67.479996	87.439995	28635.729367	
0.010000	2.998682	66.479996	87.699997	29126.519412	
0.010000	1.546471	66.479996	87.459999	29609.989892	
0.010000	1.724446	67.479996	87.479996	30099.444674	
0.010000	1.688407	66.479996	87.860001	30592.167834	
0.010000	1.946679	67.479996	87.519997	31080.331841	
0.010000	2.549811	67.479996	87.419998	31567.203228	
0.010000	1.832904	66.479996	87.779999	32074.847205	
0.010000	2.823586	67.580002	87.540001	32566.867657	
0.010000	2.266389	67.580002	87.599998	33063.672665	
0.010000	1.685122	67.580002	87.540001	33551.197193	
