Learning Rate	Avg. Loss	Loss	Acc. at 1	Test Loss	Test Acc.	Time	
0.001000	1.854538	2.146358	27.261999	2.145611	27.219999	1242.580410	
0.001000	1.588295	1.412351	48.835999	1.416169	48.220001	2470.304193	
0.001000	1.344620	1.281490	54.116001	1.302848	52.880001	3629.508249	
0.001000	1.250380	1.194230	57.362000	1.233952	55.709999	4896.901785	
0.001000	1.158291	1.141000	59.164001	1.194192	57.380001	6159.584777	
0.001000	1.091854	1.086239	61.610001	1.160388	58.810001	7358.087253	
0.001000	1.079904	1.039673	63.119999	1.123836	59.900002	8586.755935	
0.001000	0.993492	0.999170	64.772003	1.112376	60.529999	9830.079107	
0.001000	0.943662	0.973606	65.788002	1.109660	60.950001	11085.798976	
0.001000	0.905594	0.945054	66.804001	1.108380	61.619999	12396.991874	
0.001000	0.875089	0.929942	67.575996	1.121002	61.660000	13660.355704	
0.001000	0.874126	0.885061	68.945999	1.099707	62.029999	14911.381281	
0.001000	0.793022	0.880950	69.374001	1.141774	61.939999	16179.394257	
0.001000	0.827256	0.843631	70.459999	1.107346	62.119999	17435.075757	
0.001000	0.739948	0.824725	71.461998	1.138654	62.750000	18682.924011	
0.001000	0.695701	0.811727	72.042000	1.163228	62.349998	19954.093688	
0.001000	0.695126	0.789790	72.653999	1.159681	62.430000	21248.988841	
0.001000	0.673773	0.777579	73.225998	1.186933	62.250000	22509.589433	
0.001000	0.661379	0.761943	73.788002	1.209810	62.660000	23727.799594	
0.001000	0.629002	0.756798	73.931999	1.231826	62.540001	24980.812849	
0.001000	0.599165	0.746081	74.486000	1.274881	62.660000	26214.873989	
0.001000	0.656900	0.706643	75.358002	1.226418	62.580002	27488.596102	
0.001000	0.562263	0.705431	75.898003	1.289384	62.020000	28797.113507	
0.001000	0.571979	0.688399	76.320000	1.309180	62.669998	30088.489007	
0.001000	0.528539	0.688725	76.680000	1.349772	62.000000	31320.405463	
0.001000	0.516921	0.680119	76.893997	1.369363	62.540001	32629.810734	
0.001000	0.465120	0.672829	77.620003	1.419218	62.200001	33897.413888	
0.001000	0.518944	0.644504	78.080002	1.402907	62.209999	35175.615972	
0.001000	0.506811	0.632445	78.192001	1.409073	62.250000	36396.505882	
0.001000	0.453598	0.636932	78.566002	1.484471	62.250000	37649.403502	
0.001000	0.444712	0.634686	78.584000	1.521229	62.119999	38907.225107	
0.001000	0.478878	0.607316	79.098000	1.489324	61.860001	40243.091186	
0.001000	0.459251	0.593849	79.351997	1.514609	62.029999	41551.630262	
0.001000	0.419940	0.585309	80.052002	1.563597	62.080002	42823.107202	
0.001000	0.430916	0.577519	80.101997	1.582946	61.799999	44074.026086	
0.001000	0.431808	0.566930	80.412003	1.568429	61.459999	45348.079853	
0.001000	0.419282	0.554726	80.671997	1.627298	61.590000	46634.603595	
0.001000	0.355442	0.561823	80.956001	1.710023	61.259998	47913.637296	
0.001000	0.361249	0.555252	81.330002	1.725731	61.570000	49138.996415	
0.001000	0.361585	0.544033	81.716003	1.758938	61.849998	50385.098223	
0.001000	0.322216	0.554080	81.786003	1.818513	61.770000	51682.298553	
0.001000	0.347475	0.540373	82.160004	1.814064	61.360001	52998.378356	
0.001000	0.341633	0.530968	82.398003	1.825963	61.450001	54265.679100	
0.001000	0.334213	0.514698	82.949997	1.843729	61.480000	55536.220262	
0.001000	0.334402	0.509993	82.753998	1.860324	61.439999	56810.607981	
