Learning Rate	Loss	Acc. at 1	Acc. at 5	Time	
0.00003	4.433757	8.146266	25.581608	345.038884
0.00003	4.307167	13.129238	33.538792	626.394462
0.00003	4.414458	18.132475	40.909531	938.544676
0.00003	3.845951	22.874946	46.906689	1254.759211
0.00003	3.446187	26.449101	50.475528	1583.552585
0.00003	3.675101	29.285733	54.323436	1902.849255
0.00003	3.561178	31.946896	57.616807	2219.620920
0.00003	3.368210	33.752671	60.212434	2542.340133
0.00003	3.912499	34.823527	61.211985	2859.543079
0.00003	3.430262	37.358608	63.490933	3206.096518
0.00003	3.462937	35.600852	64.895774	3535.976508
0.00003	3.258317	38.426011	66.776138	3883.407996
0.00003	3.531686	39.216020	66.110489	4214.325393
0.00003	3.098412	41.628500	68.786997	4545.224263
0.00003	3.059285	44.083150	69.979062	4894.495933
0.00003	2.788813	44.058152	70.585997	5242.107036
0.00003	2.951529	46.561569	71.674788	5594.006016
0.00003	2.486322	45.773114	71.809516	5898.514588
0.00003	2.599657	47.882751	72.868926	6245.574252
0.00003	2.976607	48.763407	74.302384	6619.606866
0.00003	3.019096	50.531885	74.769983	6924.059804
0.00003	2.961271	51.466745	76.198385	7282.820902
0.00003	1.786289	52.285851	76.268720	7611.656638
0.00003	2.517595	51.948778	77.019336	7951.371192
0.00003	2.627141	52.589926	77.551990	8247.854111
0.00003	2.633137	54.728315	77.630214	8549.986760
0.00003	2.345089	55.475020	79.550403	8905.541527
0.00003	2.180478	55.531617	78.621930	9208.338229
0.00003	2.059687	57.003564	80.398861	9548.725351
0.00003	2.442689	57.672602	80.759803	9876.605653
0.00003	2.302013	64.693202	84.010222	10176.310805
0.00003	2.403400	65.084439	84.077394	10492.860043
0.00003	2.049049	64.325883	84.164202	10798.062156
0.00003	2.674455	65.586266	84.534353	11128.280967
0.00003	2.191725	65.553613	84.645674	11487.149540
0.00003	1.887187	65.029408	84.900916	11813.261890
0.00003	1.943559	64.974789	85.253042	12158.487366
0.00003	2.207631	66.043876	85.413510	12453.154941
0.00003	1.927703	66.631385	85.777376	12807.133573
0.00003	2.175833	66.809575	85.666019	13112.658641
0.00003	2.479791	66.976879	85.833752	13444.696174
0.00003	1.918288	66.963128	85.871993	13756.907418
0.00003	2.149911	66.862927	85.814237	14105.551612
0.00003	1.656345	67.404963	86.199760	14414.036632
0.00003	2.261571	68.157694	85.925193	14740.246527
0.00003	2.384317	67.700467	86.318449	15071.092714
0.00003	3.274263	67.198915	86.123091	15364.167757
0.00003	2.218241	68.153933	86.032017	15690.541711
0.00003	1.992542	68.177494	86.359161	16011.490638
0.00003	2.546880	68.568868	86.574902	16327.222294
0.00003	2.567395	68.740529	86.803157	16678.957522
0.00003	2.419230	69.110681	86.912976	17008.270069
0.00003	2.234746	69.724108	86.986800	17289.429822
0.00003	2.039239	69.530971	86.877732	17618.071876
0.00003	1.964618	69.904160	87.138171	17935.586320
0.00003	2.532944	69.955780	86.985401	18217.485527
0.00003	2.259757	69.526791	87.330785	18512.036174
0.00003	1.656673	70.188552	86.758605	18838.737293
0.00003	2.237543	70.800164	87.042889	19158.177445
0.00003	2.235553	71.047818	88.121322	19440.358253
0.00003	2.174821	71.699928	87.339573	19788.567751
0.00003	2.091749	70.631425	87.687360	20070.485428
0.00003	2.878355	71.813299	87.594572	20371.315639
0.00003	2.896980	70.500035	87.698983	20688.236313
0.00003	2.185430	70.646716	88.043690	20995.795977
0.00003	2.214249	72.158414	87.568316	21336.673575
0.00003	2.989527	71.975825	88.263819	21644.962764
0.00003	2.093665	71.782985	87.577323	21946.289415
0.00003	1.927177	71.708219	87.871180	22308.149527
0.00003	2.546449	72.283305	87.527465	22633.800171
0.00003	2.467935	71.532978	87.815990	22959.101193
0.00003	2.054344	70.865099	87.353331	23317.569284
0.00003	1.786527	71.514373	87.754790	23646.697392
0.00003	1.705822	71.039731	87.861071	23962.829022
0.00003	1.643187	71.942237	88.063829	24292.370715
0.00003	1.962428	71.509770	87.941896	24623.203614
0.00003	1.372643	71.492874	88.376013	24957.700447
0.00003	2.407109	71.390528	87.999851	25302.460046
0.00003	1.771260	71.553861	87.819001	25632.478702
0.00003	2.526511	72.372008	87.636223	25957.742570
0.00003	1.844496	72.242968	87.905251	26252.687020
0.00003	2.255341	71.347429	87.871045	26579.503023
0.00003	2.011630	72.694436	87.833804	26887.603292
0.00003	2.076208	72.365212	88.599527	27225.240093
0.00003	1.927313	71.869784	87.947003	27551.954181
0.00003	1.618593	72.293791	87.981732	27837.181674
0.00003	2.056099	72.261295	88.046455	28193.541834
0.00003	1.962376	71.284075	88.588096	28493.343473
0.00003	2.207138	71.606213	87.927280	28810.531135
0.00003	1.583593	72.335207	88.449000	29115.670115
0.00003	2.645910	72.007579	87.806318	29487.532575
0.00003	2.277306	72.306087	88.449581	29816.636114
0.00003	1.921355	72.196743	88.135821	30157.612178
0.00003	2.069869	72.234783	88.737837	30476.921070
0.00003	2.182572	72.951264	88.358439	30814.769479
0.00003	2.493864	72.428662	87.907934	31118.086421
0.00003	1.612972	71.678754	88.155573	31467.586993
0.00003	2.610974	72.519516	87.863870	31809.342103
0.00003	1.762042	72.484048	88.661435	32122.306423
0.00003	1.746871	73.467718	88.472881	32430.912300
