Learning Rate	Loss	Acc. at 1	Acc. at 5	Time	
0.03	4.527826	5.384729	23.707310	326.402124
0.03	4.082387	9.924730	30.067311	567.122544
0.03	4.486125	16.684729	39.727307	848.488869
0.03	3.371887	21.464729	47.047310	1134.508511
0.03	2.925172	24.364729	49.447308	1439.038247
0.03	3.368692	27.784729	52.967309	1730.137572
0.03	3.914559	31.944729	56.647305	2017.495230
0.03	2.894888	32.944729	59.027310	2314.416841
0.03	3.717256	33.264729	59.607312	2603.195259
0.03	3.402908	36.584728	61.887311	2931.769528
0.03	3.842198	34.487309	63.987309	3238.565371
0.03	3.072448	36.747307	65.167309	3568.585871
0.03	3.569650	37.387311	64.427312	3876.131131
0.03	3.069545	40.247307	68.027310	4184.679245
0.03	2.880550	42.187310	69.007306	4516.713520
0.03	2.554464	42.727307	69.607312	4846.751423
0.03	2.539103	44.887307	70.867306	5186.353003
0.03	2.212244	43.447308	70.627308	5466.841497
0.03	2.464331	45.427308	71.747311	5797.543103
0.03	3.024461	46.927308	72.567311	6160.709083
0.03	2.990622	48.827309	73.727307	6432.838942
0.03	2.778476	50.867310	74.727307	6779.307418
0.03	1.239776	50.867310	74.347310	7085.657419
0.03	2.758966	50.507310	74.927312	7408.108653
0.03	2.701643	51.987309	76.427312	7671.425227
0.03	2.040924	52.907307	76.487309	7937.655743
0.03	2.054218	53.847310	77.867306	8271.134765
0.03	1.320026	53.847310	77.287305	8530.022260
0.03	1.865922	56.867306	79.087308	8848.652712
0.03	2.032652	56.867306	79.027310	9149.952150
0.03	2.225782	63.887311	82.487309	9417.526448
0.03	2.101934	64.587308	82.787305	9707.851724
0.03	2.144411	64.287305	82.907307	9982.055511
0.03	2.838369	65.147305	83.747311	10288.823783
0.03	1.898801	65.967305	83.667309	10634.958924
0.03	1.943914	65.967305	83.987309	10937.499621
0.03	1.589240	65.647305	83.847310	11265.203537
0.03	2.330225	66.227307	84.107304	11526.995818
0.03	1.923066	66.327305	84.387311	11867.523086
0.03	1.625101	66.967305	84.487309	12144.695383
0.03	2.128204	67.127308	84.107304	12457.584719
0.03	1.754865	67.127308	84.427304	12743.235190
0.03	1.951488	67.627308	84.707310	13082.850319
0.03	1.438863	67.627308	85.147305	13368.790350
0.03	2.212761	68.547307	84.787305	13678.843683
0.03	2.097105	68.647305	85.207310	13995.302102
0.03	2.977959	68.687306	85.587308	14261.550497
0.03	1.758117	68.927312	85.387311	14571.732579
0.03	1.709519	69.087308	85.627308	14874.629519
0.03	2.629932	69.127308	85.647305	15170.927700
0.03	2.570203	69.667309	85.827305	15514.997837
0.03	1.977778	70.527310	85.827305	15828.585515
0.03	1.459516	70.527310	85.587308	16078.027620
0.03	1.521667	70.167309	86.087308	16390.659734
0.03	1.503424	70.427312	85.987309	16688.684155
0.03	2.317392	70.987309	86.087308	16939.979207
0.03	2.648897	71.107304	86.147305	17201.741555
0.03	1.300994	71.107304	86.127308	17509.111206
0.03	1.738153	71.387311	86.707310	17810.089590
0.03	1.866558	71.847310	86.807309	18061.050413
0.03	1.850592	72.087308	86.547307	18398.816679
0.03	1.624812	72.087308	86.547307	18649.891951
0.03	3.144040	72.507306	86.847310	18925.998491
0.03	2.914614	72.567311	86.867306	19222.928426
0.03	1.729314	72.507306	86.887311	19508.692977
0.03	1.687510	72.767308	87.187306	19833.012572
0.03	2.909567	73.067311	87.187306	20101.451062
0.03	1.542966	72.747311	86.787305	20356.219459
0.03	1.216142	73.007306	86.767308	20691.433897
0.03	1.790910	73.007306	86.787305	20979.931032
0.03	2.315103	73.327305	87.127308	21277.380954
0.03	1.446841	73.007306	86.707310	21611.299609
0.03	1.592083	73.327305	86.987309	21906.906354
0.03	1.346734	73.327305	87.247311	22184.946252
0.03	1.459905	73.327305	87.207310	22480.760300
0.03	1.533758	73.007306	86.807309	22778.913992
0.03	0.779516	73.447308	87.187306	23082.664619
0.03	2.999464	73.187306	87.087308	23398.322255
0.03	1.258828	73.587308	87.167309	23694.909312
0.03	2.311901	73.587308	86.927304	24003.309379
0.03	1.615907	73.587308	87.127308	24271.442154
0.03	2.311306	73.687306	87.067311	24582.437499
0.03	1.160757	73.587308	87.147305	24868.355125
0.03	1.258896	73.967305	87.367306	25193.243993
0.03	1.073420	73.687306	87.047307	25503.798420
0.03	0.951617	73.967305	87.427304	25757.896012
0.03	1.887651	73.687306	87.067311	26107.773952
0.03	1.439015	73.967305	87.447308	26379.938498
0.03	1.995237	73.687306	86.967305	26677.223185
0.03	0.850554	73.687306	87.267308	26958.194661
0.03	2.607626	74.047307	87.267308	27310.590121
0.03	2.533587	74.047307	87.327305	27607.337463
0.03	1.861792	74.047307	87.407307	27919.610386
0.03	1.580676	74.047307	87.367306	28201.421632
0.03	2.200441	74.047307	87.247311	28509.440601
0.03	2.351339	74.047307	87.307309	28771.527827
0.03	0.996689	73.767308	87.027310	29093.527848
0.03	2.467235	74.047307	87.367306	29406.976732
0.03	1.633567	74.167309	87.387311	29681.223653
0.03	1.364438	74.167309	87.407307	29950.390696
