Learning Rate	Loss	Acc. at 1	Acc. at 5	Time	
0.001000	2.015859	44.899998	91.839996	109.114675	
0.001000	1.251455	54.980000	94.099998	216.868721	
0.001000	1.071238	58.680000	96.309998	326.174978	
0.001000	0.919908	68.830002	98.019997	433.902911	
0.001000	0.789722	70.389999	97.399994	542.721563	
0.001000	0.561181	76.459999	98.829994	651.583528	
0.001000	0.789363	77.369995	98.939995	759.838973	
0.001000	0.527025	79.339996	98.779999	868.447687	
0.001000	0.554472	81.669998	99.159996	976.482940	
0.001000	0.282953	81.669998	98.820000	1085.213936	
0.001000	0.238327	83.439995	99.339996	1193.004750	
0.001000	0.526816	83.439995	99.209999	1301.498806	
0.001000	0.688361	83.750000	99.199997	1409.060540	
0.001000	0.338324	83.750000	99.320000	1517.065549	
0.001000	0.215505	83.750000	99.449997	1624.197599	
0.001000	0.517016	84.519997	99.430000	1731.630468	
0.001000	0.233645	84.519997	99.449997	1839.449570	
0.001000	0.280478	84.519997	99.229996	1948.081458	
0.001000	0.478411	85.049995	99.369995	2056.399124	
0.001000	0.081691	85.049995	99.549995	2164.687078	
0.001000	0.415252	86.150002	99.610001	2272.783100	
0.001000	0.263988	87.519997	99.489998	2380.330982	
0.001000	0.244076	87.519997	99.570000	2488.700975	
0.001000	0.292504	87.519997	99.629997	2596.550834	
0.001000	0.157208	87.519997	99.570000	2704.038460	
0.001000	0.340094	87.529999	99.599998	2811.475123	
0.001000	0.226256	88.869995	99.619995	2918.949145	
0.001000	0.074553	88.869995	99.579994	3026.679070	
0.001000	0.232821	88.869995	99.489998	3134.785888	
0.001000	0.182338	88.869995	99.769997	3243.092749	
0.001000	0.239008	91.699997	99.820000	3350.318269	
0.001000	0.098969	91.829994	99.809998	3458.233001	
0.001000	0.078786	91.949997	99.779999	3563.990684	
0.001000	0.048070	92.029999	99.820000	3668.968331	
0.001000	0.062667	92.029999	99.839996	3774.506815	
0.001000	0.007979	92.040001	99.839996	3879.786634	
0.001000	0.114548	92.229996	99.829994	3989.135549	
0.001000	0.059964	92.229996	99.829994	4093.923115	
0.001000	0.113137	92.229996	99.809998	4198.811232	
0.001000	0.014453	92.229996	99.809998	4303.338404	
0.001000	0.116947	92.229996	99.799995	4408.791876	
0.001000	0.107094	92.229996	99.779999	4513.699230	
0.001000	0.060862	92.229996	99.790001	4618.323288	
0.001000	0.011018	92.229996	99.769997	4723.483411	
0.001000	0.006008	92.229996	99.790001	4829.340453	
0.001000	0.014785	92.279999	99.820000	4934.667384	
0.001000	0.007282	92.279999	99.829994	5039.490421	
0.001000	0.039477	92.279999	99.829994	5147.436038	
0.001000	0.011038	92.279999	99.790001	5252.010283	
0.001000	0.063084	92.419998	99.839996	5356.799449	
0.001000	0.007108	92.419998	99.849998	5461.846814	
0.001000	0.015300	92.419998	99.799995	5566.756181	
0.001000	0.075465	92.439995	99.829994	5671.859682	
0.001000	0.005943	92.439995	99.799995	5777.316469	
0.001000	0.020249	92.439995	99.809998	5883.393740	
0.001000	0.043515	92.439995	99.799995	5987.795370	
0.001000	0.001822	92.439995	99.769997	6092.124523	
0.001000	0.005775	92.439995	99.790001	6197.343403	
0.001000	0.016397	92.439995	99.799995	6302.356705	
0.001000	0.016062	92.439995	99.779999	6407.494235	
0.001000	0.011856	92.439995	99.799995	6511.893512	
0.001000	0.004036	92.439995	99.790001	6616.930198	
0.001000	0.016958	92.439995	99.799995	6721.328056	
0.001000	0.016496	92.439995	99.820000	6826.690120	
0.001000	0.002205	92.439995	99.809998	6931.374248	
0.001000	0.110238	92.439995	99.820000	7036.381490	
0.001000	0.013426	92.439995	99.799995	7141.329916	
