iter	langevin	anila	hmc	gd		
10001.000000	150.188998	142.82772	145.375013	170.107897	
15001.000000	135.238728	130.028272	133.430042	153.928987	
20001.000000	121.298229	110.126763	115.338098	146.600435	
25001.000000	117.298003	96.287937	98.289032	141.507465	
30001.000000	105.217754	85.209997	89.953672	132.279221
35001.000000	97.287287	80.766362	82.385223	120.087221
40001.000000	91.849278	73.109387	77.198783	108.799431
45001.000000	83.876803	65.287992	69.976639	102.282111
50001.000000	75.066382	61.978633	64.193894	90.908762
55001.000000	74.761262	55.528141	60.834280	93.063859	
60001.000000	73.534295	52.675131	58.606707	90.149590	
65001.000000	72.520221	54.503726	57.424153	87.731391	
70001.000000	72.534711	52.455577	55.166041	89.278777	
75001.000000	71.305394	50.413330	54.204224	86.941946	
80001.000000	70.438139	49.299605	52.509526	85.526960	
85001.000000	69.442727	49.268490	50.123023	84.793726	
90001.000000	69.533579	48.627361	50.068593	84.400671	
95001.000000	69.565470	48.440799	49.378960	84.290192	
100001.000000	65.242234	48.101389	49.884958	83.959731	
