Learning Rate	Loss	Acc. at 1	Acc. at 5	Time	
0.010000	2.154692	30.400000	85.579994	223.046521	
0.010000	1.662382	41.340000	90.899994	442.325515	
0.010000	1.599967	47.160000	93.239998	662.392215	
0.010000	1.341475	51.049999	93.909996	882.575540	
0.010000	1.285478	56.759998	95.779999	1103.946116	
0.010000	0.851869	63.529999	96.559998	1324.526927	
0.010000	1.004141	65.909996	97.259995	1545.097228	
0.010000	0.899402	65.909996	97.119995	1765.574695	
0.010000	1.108460	71.879997	98.009995	1985.785769	
0.010000	0.444820	74.439995	98.299995	2205.957028	
0.010000	0.647694	75.949997	98.750000	2426.668308	
0.010000	0.497849	78.809998	99.089996	2647.778536	
0.010000	0.447483	80.430000	99.019997	2866.650855	
0.010000	0.256579	81.869995	99.159996	3087.465137	
0.010000	0.434517	82.150002	99.019997	3308.519922	
0.010000	0.484135	82.869995	99.309998	3530.822855	
0.010000	0.343474	84.339996	99.360001	3751.172608	
0.010000	0.420534	84.339996	99.279999	3972.807323	
0.010000	0.462148	85.199997	99.299995	4194.369277	
0.010000	0.241059	85.199997	99.329994	4415.151388	
0.010000	0.454405	85.559998	99.559998	4636.656056	
0.010000	0.247231	86.949997	99.449997	4857.532089	
0.010000	0.080568	86.949997	99.470001	5079.112607	
0.010000	0.211985	86.949997	99.389999	5299.703180	
0.010000	0.207041	86.949997	99.579994	5521.805136	
0.010000	0.310506	86.979996	99.419998	5741.795804	
0.010000	0.185423	87.309998	99.459999	5963.383784	
0.010000	0.368713	87.309998	99.610001	6183.778689	
0.010000	0.201181	87.689995	99.579994	6403.433819	
0.010000	0.251180	87.989998	99.500000	6624.238818	
0.010000	0.225317	90.059998	99.720001	6844.321210	
0.010000	0.180959	90.059998	99.699997	7065.797397	
0.010000	0.040545	90.339996	99.669998	7288.083719	
0.010000	0.039118	90.369995	99.689995	7509.178058	
0.010000	0.126999	90.369995	99.709999	7731.211296	
0.010000	0.099943	90.369995	99.680000	7953.413040	
0.010000	0.081527	90.379997	99.659996	8173.964657	
0.010000	0.061448	90.379997	99.639999	8395.136609	
0.010000	0.010993	90.389999	99.699997	8615.122611	
0.010000	0.114303	90.669998	99.709999	8835.394073	
0.010000	0.100192	90.669998	99.659996	9058.797341	
0.010000	0.055415	90.669998	99.729996	9280.079143	
0.010000	0.026633	90.669998	99.709999	9501.826478	
0.010000	0.003774	90.669998	99.689995	9723.764389	
0.010000	0.038211	90.669998	99.689995	9944.323278	
0.010000	0.037929	90.669998	99.709999	10164.469475	
0.010000	0.005393	90.669998	99.750000	10390.318235	
0.010000	0.080268	90.669998	99.689995	10611.264945	
0.010000	0.057000	90.669998	99.750000	10831.161929	
0.010000	0.062295	90.699997	99.759995	11051.531222	
0.010000	0.002269	90.699997	99.729996	11273.595435	
0.010000	0.026400	90.699997	99.720001	11495.285724	
0.010000	0.029185	90.699997	99.680000	11717.605354	
0.010000	0.110238	90.699997	99.699997	11938.730919	
0.010000	0.002281	90.699997	99.750000	12159.401517	
0.010000	0.122191	90.699997	99.709999	12381.060150	
0.010000	0.020136	90.699997	99.709999	12610.365874	
0.010000	0.003296	90.699997	99.720001	12839.555732	
0.010000	0.063461	90.699997	99.739998	13062.828966	
0.010000	0.104293	90.699997	99.669998	13281.621534	
0.010000	0.015646	90.699997	99.729996	13494.940070	
0.010000	0.004971	90.720001	99.699997	13712.195365	
0.010000	0.000460	90.720001	99.709999	13928.065279	
0.010000	0.059672	90.720001	99.729996	14142.753020	
0.010000	0.009437	90.720001	99.709999	14357.727174	
0.010000	0.027440	90.720001	99.729996	14571.491916	
0.010000	0.039858	90.720001	99.699997	14785.666090	
0.010000	0.032257	90.720001	99.720001	15001.947978	
0.010000	0.014493	90.720001	99.699997	15223.286720	
0.010000	0.010031	90.720001	99.739998	15441.904271	
0.010000	0.002732	90.720001	99.729996	15656.321940	
0.010000	0.078472	90.720001	99.720001	15871.503044	
0.010000	0.017106	90.720001	99.729996	16090.063850	
0.010000	0.102966	90.720001	99.699997	16305.118755	
0.010000	0.001604	90.720001	99.699997	16518.865373	
0.010000	0.030814	90.720001	99.720001	16733.590282	
0.010000	0.003453	90.720001	99.729996	16948.162617	
0.010000	0.002216	90.720001	99.709999	17167.624821	
0.010000	0.011640	90.720001	99.729996	17379.916497	
0.010000	0.004078	90.720001	99.720001	17595.521124	
0.010000	0.019096	90.720001	99.729996	17809.342007	
0.010000	0.013723	90.720001	99.709999	18024.538102	
0.010000	0.001703	90.720001	99.709999	18238.059140	
0.010000	0.007508	90.720001	99.709999	18450.291316	
0.010000	0.055926	90.720001	99.699997	18665.354088	
0.010000	0.014639	90.720001	99.729996	18878.382198	
0.010000	0.004483	90.720001	99.729996	19096.933409	
0.010000	0.005322	90.720001	99.709999	19311.583246	
0.010000	0.005010	90.720001	99.739998	19526.481169	
0.010000	0.017685	90.729996	99.720001	19740.450816	
0.010000	0.034930	90.729996	99.720001	19954.521322	
0.010000	0.003894	90.729996	99.739998	20170.455583	
0.010000	0.003705	90.729996	99.720001	20385.357183	
0.010000	0.005947	90.729996	99.739998	20599.564975	
0.010000	0.056124	90.729996	99.729996	20813.122020	
0.010000	0.037401	90.729996	99.709999	21028.121086	
0.010000	0.229318	90.729996	99.699997	21242.657686	
0.010000	0.005216	90.729996	99.739998	21457.274326	
0.010000	0.003024	90.729996	99.750000	21671.231354	
0.010000	0.038504	90.729996	99.709999	21885.568964	
