Learning Rate	Train Loss	Train Acc.	
0.010000	79999200.000000	0.148438	
0.010000	79904368.000000	0.070312	
0.010000	79809568.000000	0.148438	
0.010000	79714768.000000	0.117188	
0.010000	79619984.000000	0.101562	
0.010000	79525216.000000	0.117188	
0.010000	79430472.000000	0.046875	
0.010000	79335736.000000	0.140625	
0.010000	79241008.000000	0.062500	
0.010000	79146312.000000	0.109375	
0.010000	79051616.000000	0.210938	
0.010000	78956944.000000	0.109375	
0.010000	78862280.000000	0.109375	
0.010000	78767640.000000	0.109375	
0.010000	78673000.000000	0.179688	
0.010000	78578368.000000	0.109375	
0.010000	78483768.000000	0.109375	
0.010000	78389168.000000	0.140625	
0.010000	78294568.000000	0.078125	
0.010000	78200000.000000	0.093750	
0.010000	78105432.000000	0.070312	
0.010000	78010880.000000	0.101562	
0.010000	77916344.000000	0.148438	
0.010000	77821808.000000	0.085938	
0.010000	77727288.000000	0.085938	
0.010000	77632784.000000	0.117188	
0.010000	77538288.000000	0.085938	
0.010000	77443792.000000	0.140625	
0.010000	77349312.000000	0.093750	
0.010000	77254856.000000	0.132812	
0.010000	77160400.000000	0.125000	
0.010000	77065936.000000	0.093750	
0.010000	76971512.000000	0.132812	
0.010000	76877064.000000	0.132812	
0.010000	76782648.000000	0.085938	
0.010000	76688224.000000	0.039062	
0.010000	76593840.000000	0.101562	
0.010000	76499440.000000	0.101562	
0.010000	76405048.000000	0.101562	
0.010000	76310672.000000	0.078125	
0.010000	76216296.000000	0.109375	
0.010000	76121928.000000	0.093750	
0.010000	76027568.000000	0.093750	
0.010000	75933232.000000	0.078125	
0.010000	75838888.000000	0.101562	
0.010000	75744544.000000	0.078125	
0.010000	75650224.000000	0.109375	
0.010000	75555896.000000	0.093750	
0.010000	75461592.000000	0.140625	
0.010000	75367280.000000	0.125000	
0.010000	75272976.000000	0.125000	
0.010000	75178680.000000	0.125000	
0.010000	75084392.000000	0.039062	
0.010000	74990120.000000	0.117188	
0.010000	74895832.000000	0.078125	
0.010000	74801568.000000	0.117188	
0.010000	74707304.000000	0.062500	
0.010000	74613040.000000	0.125000	
0.010000	74518792.000000	0.039062	
0.010000	74424536.000000	0.132812	
0.010000	74330296.000000	0.062500	
0.010000	74236056.000000	0.085938	
0.010000	74141816.000000	0.070312	
0.010000	74047584.000000	0.078125	
0.010000	73953360.000000	0.085938	
0.010000	73859144.000000	0.125000	
0.010000	73764920.000000	0.101562	
0.010000	73670720.000000	0.078125	
0.010000	73576512.000000	0.085938	
0.010000	73482296.000000	0.085938	
0.010000	73388104.000000	0.109375	
0.010000	73293912.000000	0.078125	
0.010000	73199728.000000	0.078125	
0.010000	73105536.000000	0.085938	
0.010000	73011352.000000	0.125000	
0.010000	72917184.000000	0.109375	
0.010000	72823000.000000	0.140625	
0.010000	72728840.000000	0.054688	
0.010000	72634672.000000	0.046875	
0.010000	72540496.000000	0.085938	
0.010000	72446336.000000	0.085938	
0.010000	72352176.000000	0.085938	
0.010000	72258032.000000	0.070312	
0.010000	72163872.000000	0.062500	
0.010000	72069720.000000	0.062500	
0.010000	71975576.000000	0.125000	
0.010000	71881424.000000	0.078125	
0.010000	71787288.000000	0.078125	
0.010000	71693160.000000	0.070312	
0.010000	71599016.000000	0.062500	
0.010000	71504896.000000	0.093750	
0.010000	71410760.000000	0.070312	
0.010000	71316632.000000	0.109375	
0.010000	71222520.000000	0.062500	
0.010000	71128384.000000	0.078125	
0.010000	71034280.000000	0.070312	
0.010000	70940168.000000	0.093750	
0.010000	70846048.000000	0.054688	
0.010000	70751952.000000	0.062500	
0.010000	70657824.000000	0.085938	
0.010000	70563728.000000	0.062500	
0.010000	70469624.000000	0.101562	
0.010000	70375528.000000	0.093750	
0.010000	70281432.000000	0.117188	
0.010000	70187336.000000	0.078125	
