Learning Rate	Train Loss	Test Loss	Train Acc.	Test Acc.	
0.001000	30.296085	30.296085	0.085938	0.085938	
0.001000	28.492260	28.492260	0.125000	0.125000	
0.001000	28.584539	28.584539	0.101562	0.101562	
0.001000	28.821434	28.821434	0.062500	0.062500	
0.001000	27.573931	27.573931	0.109375	0.109375	
0.001000	27.914213	27.914213	0.078125	0.078125	
0.001000	27.978918	27.978918	0.078125	0.078125	
0.001000	27.925053	27.925053	0.062500	0.062500	
0.001000	27.341742	27.341742	0.062500	0.062500	
0.001000	27.326998	27.326998	0.101562	0.101562	
0.001000	27.080339	27.080339	0.125000	0.125000	
0.001000	27.034994	27.034994	0.062500	0.062500	
0.001000	26.975395	26.975395	0.070312	0.070312	
0.001000	26.895166	26.895166	0.070312	0.070312	
0.001000	26.766832	26.766832	0.101562	0.101562	
0.001000	27.283659	27.283659	0.109375	0.109375	
0.001000	27.049292	27.049292	0.093750	0.093750	
0.001000	26.747599	26.747599	0.085938	0.085938	
0.001000	26.438974	26.438974	0.046875	0.046875	
0.001000	26.471933	26.471933	0.078125	0.078125	
0.001000	26.611742	26.611742	0.085938	0.085938	
0.001000	26.600706	26.600706	0.109375	0.109375	
0.001000	26.619066	26.619066	0.078125	0.078125	
0.001000	26.603638	26.603638	0.078125	0.078125	
0.001000	26.299917	26.299917	0.148438	0.148438	
0.001000	26.698893	26.698893	0.078125	0.078125	
0.001000	26.612558	26.612558	0.101562	0.101562	
0.001000	26.519781	26.519781	0.117188	0.117188	
0.001000	26.601313	26.601313	0.148438	0.148438	
0.001000	26.402565	26.402565	0.085938	0.085938	
0.001000	26.217894	26.217894	0.070312	0.070312	
0.001000	26.082075	26.082075	0.093750	0.093750	
0.001000	26.393074	26.393074	0.117188	0.117188	
0.001000	26.238043	26.238043	0.132812	0.132812	
0.001000	26.532118	26.532118	0.109375	0.109375	
0.001000	26.591728	26.591728	0.109375	0.109375	
0.001000	26.247969	26.247969	0.109375	0.109375	
0.001000	26.189930	26.189930	0.085938	0.085938	
0.001000	26.284399	26.284399	0.101562	0.101562	
0.001000	26.477812	26.477812	0.101562	0.101562	
0.001000	26.141947	26.141947	0.117188	0.117188	
0.001000	26.429407	26.429407	0.070312	0.070312	
0.001000	26.268641	26.268641	0.070312	0.070312	
0.001000	26.071999	26.071999	0.156250	0.156250	
0.001000	26.244558	26.244558	0.101562	0.101562	
0.001000	25.989672	25.989672	0.117188	0.117188	
0.001000	26.110233	26.110233	0.132812	0.132812	
0.001000	26.478106	26.478106	0.054688	0.054688	
0.001000	26.171869	26.171869	0.093750	0.093750	
0.001000	26.310604	26.310604	0.093750	0.093750	
0.001000	26.106945	26.106945	0.109375	0.109375	
0.001000	25.936331	25.936331	0.179688	0.179688	
0.001000	25.889730	25.889730	0.109375	0.109375	
0.001000	25.924002	25.924002	0.085938	0.085938	
0.001000	26.001978	26.001978	0.078125	0.078125	
0.001000	25.921476	25.921476	0.132812	0.132812	
0.001000	25.889996	25.889996	0.101562	0.101562	
0.001000	25.850636	25.850636	0.125000	0.125000	
0.001000	25.807592	25.807592	0.125000	0.125000	
0.001000	26.060064	26.060064	0.117188	0.117188	
0.001000	25.761419	25.761419	0.117188	0.117188	
0.001000	26.097670	26.097670	0.132812	0.132812	
0.001000	25.969397	25.969397	0.117188	0.117188	
0.001000	25.964842	25.964842	0.140625	0.140625	
0.001000	25.727633	25.727633	0.093750	0.093750	
0.001000	25.882872	25.882872	0.070312	0.070312	
0.001000	26.034418	26.034418	0.109375	0.109375	
0.001000	26.074343	26.074343	0.078125	0.078125	
0.001000	25.891121	25.891121	0.101562	0.101562	
0.001000	26.013424	26.013424	0.093750	0.093750	
0.001000	25.791214	25.791214	0.140625	0.140625	
0.001000	26.042318	26.042318	0.101562	0.101562	
0.001000	25.763344	25.763344	0.101562	0.101562	
0.001000	25.794958	25.794958	0.140625	0.140625	
0.001000	25.906130	25.906130	0.125000	0.125000	
0.001000	26.034920	26.034920	0.070312	0.070312	
0.001000	25.779623	25.779623	0.109375	0.109375	
0.001000	25.826189	25.826189	0.078125	0.078125	
0.001000	26.007292	26.007292	0.093750	0.093750	
0.001000	25.765749	25.765749	0.085938	0.085938	
0.001000	26.088026	26.088026	0.085938	0.085938	
0.001000	25.883490	25.883490	0.101562	0.101562	
0.001000	25.709528	25.709528	0.101562	0.101562	
0.001000	25.872660	25.872660	0.085938	0.085938	
0.001000	25.919668	25.919668	0.109375	0.109375	
0.001000	26.006609	26.006609	0.054688	0.054688	
0.001000	25.835394	25.835394	0.117188	0.117188	
0.001000	25.879911	25.879911	0.093750	0.093750	
0.001000	25.749451	25.749451	0.054688	0.054688	
0.001000	25.703882	25.703882	0.125000	0.125000	
0.001000	25.786818	25.786818	0.078125	0.078125	
0.001000	25.795326	25.795326	0.085938	0.085938	
0.001000	26.181967	26.181967	0.054688	0.054688	
0.001000	25.863127	25.863127	0.140625	0.140625	
0.001000	25.612799	25.612799	0.117188	0.117188	
0.001000	25.724409	25.724409	0.109375	0.109375	
0.001000	25.699789	25.699789	0.070312	0.070312	
0.001000	25.734072	25.734072	0.132812	0.132812	
0.001000	25.663576	25.663576	0.132812	0.132812	
0.001000	25.868919	25.868919	0.046875	0.046875	
0.001000	25.806429	25.806429	0.117188	0.117188	
0.001000	25.778452	25.778452	0.101562	0.101562	
0.001000	25.731916	25.731916	0.125000	0.125000	
0.001000	25.720070	25.720070	0.093750	0.093750	
0.001000	25.648241	25.648241	0.148438	0.148438	
0.001000	25.681402	25.681402	0.093750	0.093750	
0.001000	25.716497	25.716497	0.085938	0.085938	
0.001000	25.549599	25.549599	0.164062	0.164062	
0.001000	25.851992	25.851992	0.062500	0.062500	
0.001000	25.868216	25.868216	0.093750	0.093750	
0.001000	25.710430	25.710430	0.101562	0.101562	
0.001000	25.656084	25.656084	0.156250	0.156250	
0.001000	25.739027	25.739027	0.117188	0.117188	
0.001000	25.541485	25.541485	0.125000	0.125000	
0.001000	25.774157	25.774157	0.125000	0.125000	
0.001000	25.712967	25.712967	0.117188	0.117188	
0.001000	25.645510	25.645510	0.132812	0.132812	
0.001000	25.801853	25.801853	0.078125	0.078125	
0.001000	25.717310	25.717310	0.125000	0.125000	
0.001000	25.737036	25.737036	0.070312	0.070312	
0.001000	25.606806	25.606806	0.156250	0.156250	
0.001000	25.643572	25.643572	0.117188	0.117188	
0.001000	25.743849	25.743849	0.062500	0.062500	
0.001000	25.496420	25.496420	0.148438	0.148438	
0.001000	25.689756	25.689756	0.093750	0.093750	
0.001000	25.848307	25.848307	0.070312	0.070312	
0.001000	25.534317	25.534317	0.148438	0.148438	
0.001000	25.772657	25.772657	0.117188	0.117188	
0.001000	25.708529	25.708529	0.117188	0.117188	
0.001000	25.694757	25.694757	0.132812	0.132812	
0.001000	25.618841	25.618841	0.148438	0.148438	
0.001000	25.670246	25.670246	0.093750	0.093750	
0.001000	25.428566	25.428566	0.156250	0.156250	
0.001000	25.758581	25.758581	0.093750	0.093750	
0.001000	25.566942	25.566942	0.148438	0.148438	
0.001000	25.548611	25.548611	0.148438	0.148438	
0.001000	25.590807	25.590807	0.085938	0.085938	
0.001000	25.586994	25.586994	0.117188	0.117188	
0.001000	25.670155	25.670155	0.093750	0.093750	
0.001000	25.547859	25.547859	0.125000	0.125000	
0.001000	25.625996	25.625996	0.117188	0.117188	
0.001000	25.621216	25.621216	0.140625	0.140625	
0.001000	25.651867	25.651867	0.101562	0.101562	
0.001000	25.664713	25.664713	0.078125	0.078125	
0.001000	25.623756	25.623756	0.093750	0.093750	
0.001000	25.438690	25.438690	0.140625	0.140625	
0.001000	25.546726	25.546726	0.148438	0.148438	
0.001000	25.599693	25.599693	0.140625	0.140625	
0.001000	25.445013	25.445013	0.132812	0.132812	
0.001000	25.647478	25.647478	0.117188	0.117188	
0.001000	25.583643	25.583643	0.125000	0.125000	
0.001000	25.599953	25.599953	0.101562	0.101562	
0.001000	25.530306	25.530306	0.164062	0.164062	
0.001000	25.700912	25.700912	0.093750	0.093750	
0.001000	25.608101	25.608101	0.117188	0.117188	
0.001000	25.742012	25.742012	0.085938	0.085938	
0.001000	25.553787	25.553787	0.132812	0.132812	
0.001000	25.629599	25.629599	0.117188	0.117188	
0.001000	25.531837	25.531837	0.132812	0.132812	
0.001000	25.566868	25.566868	0.125000	0.125000	
0.001000	25.622705	25.622705	0.085938	0.085938	
0.001000	25.532412	25.532412	0.156250	0.156250	
0.001000	25.556667	25.556667	0.078125	0.078125	
0.001000	25.750259	25.750259	0.093750	0.093750	
0.001000	25.520069	25.520069	0.101562	0.101562	
0.001000	25.512159	25.512159	0.164062	0.164062	
0.001000	25.474569	25.474569	0.171875	0.171875	
0.001000	25.540867	25.540867	0.101562	0.101562	
0.001000	25.481030	25.481030	0.171875	0.171875	
0.001000	25.595472	25.595472	0.132812	0.132812	
0.001000	25.512697	25.512697	0.179688	0.179688	
0.001000	25.320036	25.320036	0.148438	0.148438	
0.001000	25.640488	25.640488	0.117188	0.117188	
0.001000	25.610077	25.610077	0.101562	0.101562	
0.001000	25.491852	25.491852	0.109375	0.109375	
0.001000	25.636909	25.636909	0.101562	0.101562	
0.001000	25.593424	25.593424	0.148438	0.148438	
0.001000	25.433962	25.433962	0.132812	0.132812	
0.001000	25.660667	25.660667	0.078125	0.078125	
0.001000	25.582441	25.582441	0.132812	0.132812	
0.001000	25.518085	25.518085	0.156250	0.156250	
0.001000	25.530516	25.530516	0.093750	0.093750	
0.001000	25.417351	25.417351	0.125000	0.125000	
0.001000	25.594759	25.594759	0.132812	0.132812	
0.001000	25.527349	25.527349	0.093750	0.093750	
0.001000	25.466969	25.466969	0.132812	0.132812	
0.001000	25.366323	25.366323	0.148438	0.148438	
0.001000	25.508732	25.508732	0.117188	0.117188	
0.001000	25.433651	25.433651	0.109375	0.109375	
0.001000	25.428883	25.428883	0.164062	0.164062	
0.001000	25.575485	25.575485	0.140625	0.140625	
0.001000	25.579807	25.579807	0.085938	0.085938	
0.001000	25.526796	25.526796	0.117188	0.117188	
0.001000	25.439083	25.439083	0.101562	0.101562	
0.001000	25.417551	25.417551	0.148438	0.148438	
0.001000	25.625092	25.625092	0.117188	0.117188	
0.001000	25.417583	25.417583	0.164062	0.164062	
0.001000	25.513004	25.513004	0.125000	0.125000	
0.001000	25.532131	25.532131	0.117188	0.117188	
0.001000	25.574806	25.574806	0.078125	0.078125	
0.001000	25.541220	25.541220	0.148438	0.148438	
0.001000	25.461575	25.461575	0.117188	0.117188	
0.001000	25.509663	25.509663	0.140625	0.140625	
0.001000	25.669102	25.669102	0.101562	0.101562	
0.001000	25.453743	25.453743	0.148438	0.148438	
0.001000	25.475693	25.475693	0.117188	0.117188	
0.001000	25.431370	25.431370	0.140625	0.140625	
0.001000	25.407513	25.407513	0.148438	0.148438	
0.001000	25.514561	25.514561	0.156250	0.156250	
0.001000	25.435236	25.435236	0.140625	0.140625	
0.001000	25.404156	25.404156	0.125000	0.125000	
0.001000	25.381042	25.381042	0.140625	0.140625	
0.001000	25.547064	25.547064	0.085938	0.085938	
0.001000	25.370075	25.370075	0.164062	0.164062	
0.001000	25.480391	25.480391	0.171875	0.171875	
0.001000	25.295151	25.295151	0.164062	0.164062	
0.001000	25.461143	25.461143	0.140625	0.140625	
0.001000	25.312525	25.312525	0.148438	0.148438	
0.001000	25.327166	25.327166	0.156250	0.156250	
0.001000	25.441628	25.441628	0.101562	0.101562	
0.001000	25.439817	25.439817	0.140625	0.140625	
