Learning Rate	Test Loss	Test Acc.	
0.001000	20.921736	0.984375	
0.001000	20.982582	0.953125	
0.001000	21.134230	0.937500	
0.001000	21.122265	0.921875	
0.001000	20.980196	0.960938	
0.001000	21.158087	0.882812	
0.001000	20.952650	0.953125	
0.001000	21.051563	0.921875	
0.001000	21.112825	0.921875	
0.001000	21.136831	0.890625	
0.001000	21.022295	0.914062	
0.001000	21.056591	0.929688	
0.001000	21.012024	0.953125	
0.001000	21.087412	0.898438	
0.001000	20.941059	0.937500	
0.001000	21.186832	0.906250	
0.001000	20.990152	0.929688	
0.001000	21.032290	0.929688	
0.001000	20.981180	0.921875	
0.001000	20.917948	0.945312	
0.001000	20.987593	0.937500	
0.001000	21.025030	0.945312	
0.001000	20.996159	0.929688	
0.001000	20.931955	0.937500	
0.001000	20.986134	0.937500	
0.001000	20.846670	0.960938	
0.001000	20.916298	0.937500	
0.001000	20.986238	0.921875	
0.001000	20.909693	0.953125	
0.001000	21.146818	0.875000	
0.001000	20.999859	0.898438	
0.001000	20.894482	0.937500	
0.001000	20.901522	0.937500	
0.001000	20.883766	0.937500	
0.001000	20.946070	0.898438	
0.001000	20.871191	0.960938	
0.001000	20.835833	0.953125	
0.001000	20.889162	0.921875	
0.001000	20.908461	0.914062	
0.001000	20.784216	0.960938	
0.001000	20.747114	0.968750	
0.001000	20.686451	1.000000	
0.001000	20.684933	0.992188	
0.001000	20.825148	0.945312	
0.001000	20.880939	0.921875	
0.001000	20.744947	0.976562	
0.001000	20.978886	0.875000	
0.001000	20.916355	0.929688	
0.001000	20.691132	0.968750	
0.001000	20.629831	1.000000	
0.001000	20.706524	0.960938	
0.001000	20.954718	0.890625	
0.001000	20.715263	0.960938	
0.001000	20.718893	0.968750	
0.001000	20.714005	0.953125	
0.001000	20.636936	0.984375	
0.001000	20.702326	0.960938	
0.001000	20.605339	1.000000	
0.001000	20.740007	0.937500	
0.001000	20.590166	0.992188	
0.001000	20.623831	0.984375	
0.001000	20.833870	0.921875	
0.001000	20.587662	0.992188	
0.001000	20.666468	0.968750	
0.001000	20.627785	0.968750	
0.001000	20.672701	0.960938	
0.001000	20.631069	0.968750	
0.001000	20.538507	1.000000	
0.001000	20.529026	1.000000	
0.001000	20.555159	0.992188	
0.001000	20.590765	0.976562	
0.001000	20.557510	0.984375	
0.001000	20.557722	0.992188	
0.001000	20.562078	0.976562	
0.001000	20.561502	0.984375	
0.001000	20.848692	0.890625	
0.001000	20.891569	0.843750	
0.001000	20.796017	0.906250	
0.001000	20.487196	1.000000	
0.001000	18.088236	0.992188	
0.001000	18.147512	0.953125	
0.001000	18.140625	0.984375	
0.001000	18.243515	0.960938	
0.001000	18.147879	0.960938	
0.001000	18.200808	0.953125	
0.001000	18.122803	0.976562	
0.001000	18.135752	0.953125	
0.001000	18.155716	0.945312	
0.001000	18.251326	0.937500	
0.001000	18.113398	0.960938	
0.001000	18.137173	0.960938	
0.001000	18.130234	0.968750	
0.001000	18.138308	0.945312	
0.001000	18.068558	0.992188	
0.001000	18.123325	0.945312	
0.001000	18.265671	0.945312	
0.001000	18.085222	0.960938	
0.001000	18.098679	0.945312	
0.001000	18.017267	0.984375	
0.001000	18.049902	0.968750	
0.001000	18.118799	0.960938	
0.001000	18.016720	0.984375	
0.001000	18.063082	0.960938	
0.001000	18.062119	0.968750	
0.001000	18.019159	0.968750	
0.001000	18.066048	0.960938	
0.001000	18.082186	0.937500	
0.001000	17.999552	0.968750	
0.001000	18.245590	0.929688	
0.001000	18.075056	0.968750	
0.001000	18.008450	0.968750	
0.001000	17.973812	0.968750	
0.001000	18.035723	0.945312	
0.001000	18.019386	0.945312	
0.001000	18.023216	0.945312	
0.001000	17.960827	0.968750	
0.001000	17.960178	0.960938	
0.001000	17.967468	0.984375	
0.001000	17.934736	0.968750	
0.001000	17.921001	0.968750	
0.001000	17.875673	0.984375	
0.001000	17.866379	0.992188	
0.001000	17.848904	1.000000	
0.001000	17.903603	0.968750	
0.001000	17.854731	0.984375	
0.001000	18.156673	0.914062	
0.001000	17.933510	0.953125	
0.001000	17.845928	0.992188	
0.001000	17.807945	1.000000	
0.001000	17.860664	0.992188	
0.001000	18.049196	0.929688	
0.001000	17.881170	0.968750	
0.001000	17.822184	0.984375	
0.001000	17.790596	1.000000	
0.001000	17.784042	1.000000	
0.001000	17.805031	0.992188	
0.001000	17.788773	0.992188	
0.001000	17.826191	0.984375	
0.001000	17.793549	0.992188	
0.001000	17.776243	0.984375	
0.001000	17.933056	0.945312	
0.001000	17.757593	0.992188	
0.001000	17.815428	0.968750	
0.001000	17.758923	0.992188	
0.001000	17.847576	0.960938	
0.001000	17.756207	0.984375	
0.001000	17.714329	1.000000	
0.001000	17.728497	0.992188	
0.001000	17.712814	1.000000	
0.001000	17.774982	0.984375	
0.001000	17.724255	0.992188	
0.001000	17.706028	0.992188	
0.001000	17.689569	1.000000	
0.001000	17.706186	0.984375	
0.001000	17.763945	0.953125	
0.001000	17.892653	0.953125	
0.001000	17.739864	0.976562	
0.001000	17.670059	1.000000	
