Learning Rate	Train Loss	Train Acc.	
0.001000	27.368557	0.125000	
0.001000	26.526604	0.093750	
0.001000	26.697390	0.046875	
0.001000	25.906221	0.156250	
0.001000	25.774837	0.148438	
0.001000	25.419750	0.132812	
0.001000	25.291637	0.164062	
0.001000	25.218613	0.234375	
0.001000	25.370062	0.140625	
0.001000	25.238087	0.265625	
0.001000	25.217342	0.171875	
0.001000	25.108648	0.242188	
0.001000	25.189522	0.179688	
0.001000	25.111942	0.234375	
0.001000	25.065561	0.250000	
0.001000	25.056484	0.265625	
0.001000	24.921846	0.351562	
0.001000	25.023624	0.250000	
0.001000	24.974028	0.265625	
0.001000	24.925089	0.335938	
0.001000	24.954292	0.320312	
0.001000	24.783070	0.406250	
0.001000	24.671848	0.453125	
0.001000	24.839792	0.359375	
0.001000	24.691284	0.390625	
0.001000	24.652885	0.398438	
0.001000	24.629099	0.406250	
0.001000	24.579859	0.421875	
0.001000	24.470390	0.437500	
0.001000	24.533243	0.406250	
0.001000	24.276531	0.515625	
0.001000	24.477699	0.500000	
0.001000	24.422934	0.468750	
0.001000	24.225313	0.507812	
0.001000	24.151840	0.570312	
0.001000	24.162762	0.578125	
0.001000	24.252068	0.484375	
0.001000	24.241774	0.546875	
0.001000	24.143421	0.554688	
0.001000	24.223122	0.562500	
0.001000	24.088827	0.570312	
0.001000	24.104864	0.554688	
0.001000	23.941322	0.632812	
0.001000	23.971260	0.601562	
0.001000	23.848173	0.640625	
0.001000	24.057447	0.625000	
0.001000	23.810186	0.687500	
0.001000	23.709511	0.718750	
0.001000	23.885481	0.617188	
0.001000	23.757832	0.695312	
0.001000	23.899340	0.664062	
0.001000	23.680895	0.750000	
0.001000	23.695974	0.679688	
0.001000	24.035717	0.609375	
0.001000	23.927908	0.625000	
0.001000	23.753828	0.656250	
0.001000	24.029419	0.531250	
0.001000	23.752146	0.671875	
0.001000	23.765070	0.710938	
0.001000	23.834322	0.632812	
0.001000	23.580618	0.750000	
0.001000	23.949347	0.601562	
0.001000	23.630957	0.742188	
0.001000	23.596613	0.734375	
0.001000	23.712135	0.718750	
0.001000	23.532698	0.765625	
0.001000	23.609953	0.718750	
0.001000	23.541744	0.765625	
0.001000	23.646959	0.718750	
0.001000	23.779530	0.656250	
0.001000	23.230875	0.835938	
0.001000	23.672939	0.671875	
0.001000	23.400229	0.781250	
0.001000	23.536285	0.757812	
0.001000	23.385481	0.789062	
0.001000	23.340141	0.796875	
0.001000	23.438082	0.796875	
0.001000	23.171621	0.851562	
0.001000	23.495113	0.750000	
0.001000	23.454119	0.742188	
0.001000	23.489407	0.695312	
0.001000	23.301495	0.796875	
0.001000	23.087000	0.867188	
0.001000	23.319868	0.789062	
0.001000	23.316942	0.796875	
0.001000	23.287886	0.804688	
0.001000	23.233027	0.820312	
0.001000	23.412983	0.734375	
0.001000	23.145481	0.835938	
0.001000	23.145334	0.835938	
0.001000	23.426548	0.757812	
0.001000	23.341249	0.804688	
0.001000	23.312450	0.750000	
0.001000	23.016266	0.851562	
0.001000	23.296751	0.789062	
0.001000	23.333431	0.773438	
0.001000	23.362967	0.804688	
0.001000	23.412390	0.718750	
0.001000	23.605679	0.718750	
0.001000	23.309391	0.773438	
0.001000	23.119671	0.843750	
0.001000	23.513941	0.710938	
0.001000	23.284538	0.710938	
0.001000	23.095240	0.820312	
0.001000	23.140324	0.835938	
0.001000	23.065567	0.867188	
