Learning Rate	Train Loss	Train Acc.	
0.001000	30.606562	0.132812	
0.001000	30.347179	0.093750	
0.001000	29.142731	0.148438	
0.001000	28.480238	0.156250	
0.001000	28.654322	0.093750	
0.001000	28.528551	0.093750	
0.001000	28.421068	0.109375	
0.001000	27.730740	0.140625	
0.001000	27.773483	0.101562	
0.001000	27.565271	0.117188	
0.001000	27.130928	0.117188	
0.001000	26.937870	0.171875	
0.001000	27.073380	0.078125	
0.001000	27.710381	0.109375	
0.001000	27.004421	0.132812	
0.001000	27.207005	0.101562	
0.001000	27.042355	0.109375	
0.001000	26.800667	0.148438	
