Learning Rate	Test Loss	Test Acc.	
0.010000	23.613379	0.812500	
0.010000	23.534924	0.828125	
0.010000	23.730438	0.765625	
0.010000	23.947287	0.664062	
0.010000	23.826593	0.718750	
0.010000	23.613155	0.804688	
0.010000	23.578386	0.796875	
0.010000	23.682182	0.804688	
0.010000	23.762827	0.726562	
0.010000	23.718136	0.765625	
0.010000	23.850710	0.726562	
0.010000	23.722879	0.742188	
0.010000	23.759106	0.781250	
0.010000	23.735098	0.765625	
0.010000	23.695635	0.781250	
0.010000	23.720398	0.781250	
0.010000	23.822607	0.742188	
0.010000	23.826361	0.773438	
0.010000	23.673651	0.757812	
0.010000	23.687160	0.773438	
0.010000	23.526400	0.851562	
0.010000	23.788858	0.695312	
0.010000	23.620781	0.812500	
0.010000	23.627218	0.757812	
0.010000	23.639702	0.812500	
0.010000	23.736216	0.773438	
0.010000	23.626095	0.796875	
0.010000	23.748209	0.742188	
0.010000	23.627865	0.828125	
0.010000	23.781666	0.718750	
0.010000	23.785139	0.773438	
0.010000	23.606510	0.789062	
0.010000	23.551857	0.820312	
0.010000	23.627058	0.734375	
0.010000	23.677765	0.765625	
0.010000	23.598804	0.812500	
0.010000	23.524080	0.851562	
0.010000	23.734947	0.703125	
0.010000	23.651468	0.773438	
0.010000	23.417578	0.890625	
0.010000	23.542263	0.812500	
0.010000	23.436047	0.851562	
0.010000	23.196787	0.945312	
0.010000	23.546942	0.796875	
0.010000	23.466188	0.828125	
0.010000	23.481693	0.835938	
0.010000	23.843866	0.718750	
0.010000	23.521589	0.843750	
0.010000	23.433258	0.875000	
0.010000	23.306648	0.929688	
0.010000	23.377371	0.859375	
0.010000	23.767149	0.710938	
0.010000	23.761103	0.773438	
0.010000	23.388716	0.898438	
0.010000	23.242849	0.906250	
0.010000	23.402710	0.867188	
0.010000	23.435860	0.835938	
0.010000	23.309082	0.914062	
0.010000	23.666082	0.781250	
0.010000	23.392790	0.859375	
0.010000	23.382057	0.882812	
0.010000	23.641161	0.828125	
0.010000	23.497128	0.843750	
0.010000	23.429838	0.875000	
0.010000	23.497030	0.828125	
0.010000	23.354658	0.843750	
0.010000	23.538534	0.812500	
0.010000	23.242619	0.914062	
0.010000	23.182665	0.937500	
0.010000	23.238298	0.921875	
0.010000	23.497126	0.828125	
0.010000	23.294552	0.898438	
0.010000	23.292656	0.921875	
0.010000	23.377472	0.890625	
0.010000	23.529871	0.796875	
0.010000	23.900024	0.734375	
0.010000	23.803356	0.757812	
0.010000	23.719252	0.773438	
0.010000	23.387775	0.875000	
0.010000	23.293228	0.882812	
0.010000	23.340569	0.882812	
0.010000	23.461220	0.851562	
0.010000	23.610094	0.843750	
0.010000	23.474279	0.828125	
0.010000	23.394083	0.867188	
0.010000	23.402340	0.890625	
0.010000	23.572660	0.835938	
0.010000	23.479551	0.875000	
0.010000	23.531652	0.828125	
0.010000	23.555786	0.796875	
0.010000	23.588837	0.851562	
0.010000	23.380926	0.859375	
0.010000	23.530678	0.828125	
0.010000	23.444628	0.851562	
0.010000	23.402868	0.875000	
0.010000	23.539272	0.875000	
0.010000	23.538553	0.867188	
0.010000	23.422171	0.843750	
0.010000	23.325274	0.875000	
0.010000	23.334639	0.867188	
0.010000	23.498432	0.843750	
0.010000	23.423515	0.828125	
0.010000	23.372658	0.851562	
0.010000	23.334120	0.890625	
0.010000	23.353128	0.906250	
0.010000	23.394188	0.843750	
0.010000	23.374872	0.859375	
0.010000	23.300510	0.906250	
0.010000	23.736147	0.781250	
0.010000	23.328896	0.906250	
0.010000	23.252649	0.929688	
0.010000	23.421434	0.859375	
0.010000	23.457438	0.851562	
0.010000	23.326929	0.867188	
0.010000	23.341785	0.890625	
0.010000	23.292885	0.898438	
0.010000	23.527340	0.843750	
0.010000	23.310947	0.906250	
0.010000	23.205843	0.945312	
0.010000	23.216959	0.921875	
0.010000	23.133461	0.953125	
0.010000	23.078777	0.968750	
0.010000	23.238880	0.898438	
0.010000	23.197845	0.937500	
0.010000	23.280708	0.867188	
0.010000	23.322268	0.867188	
0.010000	23.311590	0.890625	
0.010000	23.157154	0.937500	
0.010000	23.078165	0.968750	
0.010000	23.192520	0.960938	
0.010000	23.533741	0.828125	
0.010000	23.418379	0.851562	
0.010000	23.209705	0.937500	
0.010000	23.138266	0.960938	
0.010000	23.264671	0.937500	
0.010000	23.295238	0.890625	
0.010000	23.205944	0.937500	
0.010000	23.387390	0.875000	
0.010000	23.158632	0.937500	
0.010000	23.231182	0.914062	
0.010000	23.487856	0.812500	
0.010000	23.138010	0.960938	
0.010000	23.246548	0.898438	
0.010000	23.363220	0.859375	
0.010000	23.173866	0.945312	
0.010000	23.164467	0.937500	
0.010000	23.097561	0.968750	
0.010000	23.076540	0.960938	
0.010000	23.104836	0.976562	
0.010000	23.284489	0.890625	
0.010000	23.165155	0.929688	
0.010000	23.154243	0.945312	
0.010000	23.240124	0.906250	
0.010000	23.181837	0.937500	
0.010000	23.421408	0.867188	
0.010000	23.557171	0.835938	
0.010000	23.529942	0.828125	
0.010000	23.216089	0.812500	
0.010000	23.202881	0.914062	
0.010000	23.264412	0.906250	
0.010000	23.346050	0.882812	
0.010000	23.312120	0.867188	
0.010000	23.347326	0.867188	
0.010000	23.342331	0.890625	
0.010000	23.227921	0.914062	
0.010000	23.274189	0.914062	
0.010000	23.237556	0.945312	
0.010000	23.586823	0.835938	
0.010000	23.355249	0.890625	
0.010000	23.396402	0.914062	
0.010000	23.329884	0.882812	
0.010000	23.312265	0.898438	
0.010000	23.361149	0.867188	
0.010000	23.521187	0.812500	
0.010000	23.443590	0.867188	
0.010000	23.497461	0.875000	
0.010000	23.245987	0.921875	
0.010000	23.166576	0.960938	
0.010000	23.226496	0.898438	
0.010000	23.382793	0.875000	
0.010000	23.213932	0.929688	
0.010000	23.426050	0.843750	
0.010000	23.219810	0.929688	
0.010000	23.335705	0.890625	
0.010000	23.269142	0.875000	
0.010000	23.286760	0.914062	
0.010000	23.334019	0.914062	
0.010000	23.463736	0.828125	
0.010000	23.358204	0.890625	
0.010000	23.225073	0.937500	
0.010000	23.356470	0.890625	
0.010000	23.345850	0.890625	
0.010000	23.230516	0.914062	
0.010000	23.241915	0.929688	
0.010000	23.250139	0.921875	
0.010000	23.390356	0.890625	
0.010000	23.339647	0.898438	
0.010000	23.116936	0.984375	
0.010000	23.219139	0.906250	
0.010000	23.127106	0.953125	
0.010000	23.073458	0.968750	
0.010000	23.155266	0.929688	
0.010000	23.186522	0.921875	
0.010000	23.186012	0.953125	
0.010000	23.290504	0.882812	
0.010000	23.185028	0.937500	
0.010000	23.122057	0.953125	
0.010000	23.052069	0.984375	
0.010000	23.154627	0.960938	
0.010000	23.363310	0.859375	
0.010000	23.281321	0.914062	
0.010000	23.212742	0.937500	
0.010000	23.100908	0.953125	
0.010000	23.122337	0.945312	
0.010000	23.154911	0.960938	
0.010000	23.053474	0.984375	
0.010000	23.228437	0.937500	
0.010000	23.141329	0.945312	
0.010000	23.092642	0.968750	
0.010000	23.395468	0.867188	
0.010000	23.168348	0.945312	
0.010000	23.184608	0.929688	
0.010000	23.268305	0.898438	
0.010000	23.128954	0.953125	
0.010000	23.162437	0.937500	
0.010000	23.097443	0.976562	
0.010000	23.017799	1.000000	
0.010000	23.028946	1.000000	
0.010000	23.333403	0.945312	
0.010000	23.113443	0.976562	
0.010000	23.039051	0.992188	
0.010000	23.151438	0.945312	
0.010000	23.119459	0.945312	
0.010000	23.313366	0.898438	
0.010000	23.394411	0.890625	
0.010000	23.310949	0.898438	
0.010000	23.090803	0.937500	
0.010000	23.126631	0.968750	
0.010000	23.181213	0.953125	
0.010000	23.285475	0.929688	
0.010000	23.295685	0.906250	
0.010000	23.272903	0.921875	
0.010000	23.275795	0.914062	
0.010000	23.174484	0.953125	
0.010000	23.377277	0.898438	
0.010000	23.235420	0.906250	
0.010000	23.403986	0.851562	
0.010000	23.352076	0.890625	
0.010000	23.201292	0.914062	
0.010000	23.235008	0.921875	
0.010000	23.388861	0.859375	
0.010000	23.309046	0.890625	
0.010000	23.405666	0.882812	
0.010000	23.408699	0.859375	
0.010000	23.344805	0.882812	
0.010000	23.216919	0.937500	
0.010000	23.227043	0.906250	
0.010000	23.251957	0.914062	
0.010000	23.338840	0.898438	
0.010000	23.325737	0.906250	
0.010000	23.223803	0.937500	
0.010000	23.235394	0.921875	
0.010000	23.218784	0.921875	
0.010000	23.127548	0.953125	
0.010000	23.219643	0.921875	
0.010000	23.171196	0.937500	
0.010000	23.481888	0.867188	
0.010000	23.392876	0.898438	
0.010000	23.291603	0.914062	
0.010000	23.352152	0.898438	
0.010000	23.355949	0.882812	
0.010000	23.212261	0.953125	
0.010000	23.420864	0.898438	
0.010000	23.202654	0.945312	
0.010000	23.430515	0.882812	
0.010000	23.302122	0.921875	
0.010000	23.131817	0.953125	
0.010000	23.177242	0.937500	
0.010000	23.052601	0.984375	
0.010000	23.039310	0.984375	
0.010000	23.154907	0.968750	
0.010000	23.193817	0.937500	
0.010000	23.158888	0.945312	
0.010000	23.255207	0.914062	
0.010000	23.177017	0.953125	
0.010000	23.077511	0.976562	
0.010000	23.042274	0.984375	
0.010000	23.156933	0.960938	
0.010000	23.358940	0.867188	
0.010000	23.209282	0.906250	
0.010000	23.137924	0.953125	
0.010000	23.025764	1.000000	
0.010000	23.182615	0.945312	
0.010000	23.096626	0.953125	
0.010000	23.116671	0.960938	
0.010000	23.196777	0.921875	
0.010000	23.125029	0.968750	
0.010000	23.154785	0.945312	
0.010000	23.522842	0.859375	
0.010000	23.049820	0.976562	
0.010000	23.161003	0.953125	
0.010000	23.174345	0.937500	
0.010000	23.081209	0.976562	
0.010000	23.095675	0.968750	
0.010000	23.068808	0.984375	
0.010000	23.015791	1.000000	
0.010000	23.063622	0.976562	
0.010000	23.160381	0.937500	
0.010000	23.095867	0.976562	
0.010000	23.036764	0.992188	
0.010000	23.054838	0.984375	
0.010000	23.109791	0.960938	
0.010000	23.359982	0.882812	
0.010000	23.295687	0.898438	
0.010000	23.348545	0.882812	
0.010000	23.039274	1.000000	
0.010000	23.151196	0.945312	
0.010000	23.191420	0.937500	
0.010000	23.221024	0.937500	
0.010000	23.274422	0.929688	
0.010000	23.344917	0.882812	
0.010000	23.199110	0.953125	
0.010000	23.224518	0.914062	
0.010000	23.351002	0.914062	
0.010000	23.163797	0.953125	
0.010000	23.424088	0.875000	
0.010000	23.492456	0.859375	
0.010000	23.290821	0.890625	
0.010000	23.217777	0.898438	
0.010000	23.244331	0.929688	
0.010000	23.207916	0.921875	
0.010000	23.290863	0.898438	
0.010000	23.337740	0.898438	
0.010000	23.325556	0.921875	
0.010000	23.165325	0.945312	
0.010000	23.197618	0.937500	
0.010000	23.321312	0.882812	
0.010000	23.265343	0.882812	
0.010000	23.232491	0.914062	
0.010000	23.296804	0.906250	
0.010000	23.245577	0.929688	
0.010000	23.294975	0.914062	
0.010000	23.176422	0.937500	
0.010000	23.209713	0.929688	
0.010000	23.116238	0.992188	
0.010000	23.352715	0.882812	
0.010000	23.366014	0.906250	
0.010000	23.294584	0.921875	
0.010000	23.251499	0.921875	
0.010000	23.341442	0.882812	
0.010000	23.141577	0.945312	
0.010000	23.211493	0.929688	
0.010000	23.183422	0.937500	
0.010000	23.273300	0.906250	
0.010000	23.270859	0.921875	
0.010000	23.117294	0.976562	
0.010000	23.080690	0.992188	
0.010000	23.105034	0.968750	
0.010000	23.037867	0.976562	
0.010000	23.097059	0.953125	
0.010000	23.126495	0.953125	
0.010000	23.129715	0.960938	
0.010000	23.273466	0.921875	
0.010000	23.097399	0.968750	
0.010000	23.174767	0.968750	
0.010000	23.027971	0.984375	
0.010000	23.143307	0.960938	
0.010000	23.429806	0.890625	
0.010000	23.097918	0.960938	
0.010000	23.083084	0.960938	
0.010000	23.035618	0.984375	
0.010000	23.094105	0.976562	
0.010000	23.115950	0.968750	
0.010000	23.049995	0.976562	
0.010000	23.121054	0.968750	
0.010000	23.072802	0.976562	
0.010000	23.036369	1.000000	
0.010000	23.372780	0.882812	
0.010000	23.092407	0.976562	
0.010000	23.098660	0.945312	
0.010000	23.164097	0.960938	
0.010000	23.087833	0.953125	
0.010000	23.096884	0.984375	
0.010000	23.021053	0.992188	
0.010000	23.002663	1.000000	
0.010000	23.056923	0.984375	
0.010000	23.164320	0.968750	
0.010000	23.084347	0.976562	
0.010000	23.043869	0.976562	
0.010000	23.166962	0.929688	
0.010000	23.118622	0.945312	
0.010000	23.397503	0.851562	
0.010000	23.295977	0.929688	
0.010000	23.349848	0.914062	
0.010000	23.014240	1.000000	
0.010000	23.134514	0.960938	
0.010000	23.104912	0.953125	
0.010000	23.196169	0.914062	
0.010000	23.235245	0.929688	
0.010000	23.287584	0.921875	
0.010000	23.150129	0.945312	
0.010000	23.319839	0.937500	
0.010000	23.355562	0.906250	
0.010000	23.274881	0.929688	
0.010000	23.360678	0.867188	
0.010000	23.234715	0.945312	
0.010000	23.263714	0.906250	
0.010000	23.203730	0.929688	
0.010000	23.289658	0.898438	
0.010000	23.185631	0.921875	
0.010000	23.212839	0.921875	
0.010000	23.340384	0.898438	
0.010000	23.411062	0.914062	
0.010000	23.241913	0.898438	
0.010000	23.200386	0.953125	
0.010000	23.184332	0.968750	
0.010000	23.232857	0.898438	
0.010000	23.154989	0.945312	
0.010000	23.225883	0.914062	
0.010000	23.112980	0.953125	
0.010000	23.208466	0.953125	
0.010000	23.275467	0.914062	
0.010000	23.180422	0.937500	
0.010000	23.129272	0.945312	
0.010000	23.409319	0.875000	
0.010000	23.377531	0.914062	
0.010000	23.168743	0.945312	
0.010000	23.219963	0.953125	
0.010000	23.210218	0.914062	
0.010000	23.168661	0.937500	
0.010000	23.241262	0.929688	
0.010000	23.195314	0.929688	
0.010000	23.243271	0.921875	
0.010000	23.221415	0.921875	
0.010000	23.062954	0.984375	
0.010000	23.097218	0.968750	
0.010000	23.045912	0.984375	
0.010000	23.057503	0.984375	
0.010000	23.116400	0.960938	
0.010000	23.107246	0.976562	
0.010000	23.080326	0.968750	
0.010000	23.258675	0.929688	
0.010000	23.243088	0.921875	
0.010000	23.062304	0.968750	
0.010000	23.015633	0.992188	
0.010000	23.107103	0.976562	
0.010000	23.391785	0.890625	
0.010000	23.180897	0.921875	
0.010000	23.094044	0.976562	
0.010000	23.038279	0.984375	
0.010000	23.101749	0.968750	
0.010000	23.098318	0.968750	
0.010000	23.073526	0.968750	
0.010000	23.157352	0.945312	
0.010000	23.048412	0.984375	
0.010000	23.030289	0.992188	
0.010000	23.397425	0.867188	
0.010000	23.059410	0.968750	
0.010000	23.093658	0.960938	
0.010000	23.199408	0.929688	
0.010000	23.095438	0.960938	
0.010000	23.106928	0.968750	
0.010000	23.033838	0.984375	
0.010000	23.029951	0.984375	
0.010000	23.006392	1.000000	
0.010000	23.209133	0.921875	
0.010000	23.048887	0.976562	
0.010000	23.031130	0.992188	
0.010000	23.068771	0.953125	
0.010000	23.116735	0.960938	
0.010000	23.298201	0.890625	
0.010000	23.235466	0.929688	
0.010000	23.292898	0.914062	
0.010000	23.162346	0.937500	
0.010000	23.080376	0.976562	
0.010000	23.060215	0.984375	
0.010000	23.165609	0.960938	
0.010000	23.209644	0.937500	
0.010000	23.176571	0.937500	
0.010000	23.197741	0.929688	
0.010000	23.149258	0.960938	
0.010000	23.242069	0.914062	
0.010000	23.196117	0.929688	
0.010000	23.383839	0.882812	
0.010000	23.245935	0.921875	
0.010000	23.221832	0.945312	
0.010000	23.227085	0.929688	
0.010000	23.243122	0.929688	
0.010000	23.140390	0.945312	
0.010000	23.266167	0.921875	
0.010000	23.293913	0.914062	
0.010000	23.203815	0.914062	
0.010000	23.193598	0.937500	
0.010000	23.153070	0.937500	
0.010000	23.179977	0.953125	
0.010000	23.174187	0.945312	
0.010000	23.162458	0.945312	
0.010000	23.186062	0.945312	
0.010000	23.141401	0.953125	
0.010000	23.152180	0.960938	
0.010000	23.150274	0.960938	
0.010000	23.207659	0.921875	
0.010000	23.127819	0.953125	
0.010000	23.400818	0.875000	
0.010000	23.298172	0.929688	
0.010000	23.181627	0.945312	
0.010000	23.167566	0.937500	
0.010000	23.140368	0.953125	
0.010000	23.182148	0.953125	
0.010000	23.300293	0.914062	
0.010000	23.181297	0.960938	
0.010000	23.256508	0.914062	
0.010000	23.232456	0.937500	
0.010000	23.089251	0.968750	
0.010000	23.056831	0.976562	
0.010000	23.138407	0.953125	
0.010000	23.051449	0.984375	
0.010000	23.068676	0.976562	
0.010000	23.119991	0.945312	
0.010000	23.066828	0.968750	
0.010000	23.204977	0.937500	
0.010000	23.157932	0.937500	
0.010000	23.090328	0.976562	
0.010000	23.004957	1.000000	
0.010000	23.099943	0.984375	
0.010000	23.356590	0.875000	
0.010000	23.094816	0.968750	
0.010000	23.059870	0.984375	
0.010000	23.026356	0.992188	
0.010000	23.099649	0.960938	
0.010000	23.104908	0.960938	
0.010000	23.036940	0.984375	
0.010000	23.090975	0.953125	
0.010000	23.035770	0.984375	
