Learning Rate	Test Loss	Test Acc.	
0.010000	23.511868	0.812500	
0.010000	23.550465	0.820312	
0.010000	23.742069	0.773438	
0.010000	23.827496	0.726562	
0.010000	23.644976	0.750000	
0.010000	23.769035	0.757812	
0.010000	23.497396	0.820312	
0.010000	23.816490	0.710938	
0.010000	23.622360	0.820312	
0.010000	23.865747	0.718750	
0.010000	23.666441	0.703125	
0.010000	23.700836	0.781250	
0.010000	23.681879	0.804688	
0.010000	23.844429	0.726562	
0.010000	23.606209	0.796875	
0.010000	23.737404	0.757812	
0.010000	23.696602	0.796875	
0.010000	23.803186	0.835938	
0.010000	23.701233	0.742188	
0.010000	23.648851	0.757812	
0.010000	23.704920	0.789062	
0.010000	23.808718	0.757812	
0.010000	23.814251	0.742188	
0.010000	23.589922	0.781250	
0.010000	23.572197	0.781250	
0.010000	23.535997	0.820312	
0.010000	23.635511	0.796875	
0.010000	23.893261	0.726562	
0.010000	23.466337	0.867188	
0.010000	23.943319	0.710938	
0.010000	23.685629	0.742188	
0.010000	23.747095	0.773438	
0.010000	23.645575	0.789062	
0.010000	23.641504	0.781250	
0.010000	23.668285	0.812500	
0.010000	23.557314	0.835938	
0.010000	23.531284	0.828125	
0.010000	23.607031	0.820312	
0.010000	23.664667	0.804688	
0.010000	23.451548	0.859375	
0.010000	23.511162	0.828125	
0.010000	23.327908	0.898438	
0.010000	23.225258	0.929688	
0.010000	23.480989	0.812500	
0.010000	23.359547	0.921875	
0.010000	23.594683	0.820312	
0.010000	23.672230	0.773438	
0.010000	23.543648	0.796875	
0.010000	23.299416	0.906250	
0.010000	23.239853	0.921875	
0.010000	23.633478	0.820312	
0.010000	23.776037	0.757812	
0.010000	23.608681	0.820312	
0.010000	23.464272	0.812500	
0.010000	23.308025	0.898438	
0.010000	23.292782	0.882812	
0.010000	23.528059	0.828125	
0.010000	23.367514	0.882812	
0.010000	23.450382	0.828125	
0.010000	23.429781	0.867188	
0.010000	23.424690	0.843750	
0.010000	23.723024	0.804688	
0.010000	23.234684	0.914062	
0.010000	23.321310	0.875000	
0.010000	23.650307	0.789062	
0.010000	23.337341	0.882812	
0.010000	23.312195	0.906250	
0.010000	23.238138	0.898438	
0.010000	23.117620	0.960938	
0.010000	23.126877	0.968750	
0.010000	23.659357	0.812500	
0.010000	23.333967	0.882812	
0.010000	23.316946	0.914062	
0.010000	23.341320	0.882812	
0.010000	23.361858	0.851562	
0.010000	23.647320	0.804688	
0.010000	23.821489	0.703125	
0.010000	23.807205	0.765625	
0.010000	23.228539	0.937500	
0.010000	23.233013	0.914062	
0.010000	23.256199	0.921875	
0.010000	23.437702	0.882812	
0.010000	23.437309	0.882812	
0.010000	23.349035	0.882812	
0.010000	23.308712	0.898438	
0.010000	23.312035	0.906250	
0.010000	23.519049	0.875000	
0.010000	23.386311	0.851562	
0.010000	23.606672	0.796875	
0.010000	23.555613	0.828125	
0.010000	23.434975	0.843750	
0.010000	23.456238	0.835938	
0.010000	23.490551	0.828125	
0.010000	23.451536	0.835938	
0.010000	23.531862	0.851562	
0.010000	23.453058	0.835938	
0.010000	23.493443	0.859375	
0.010000	23.302687	0.898438	
0.010000	23.265293	0.898438	
0.010000	23.330589	0.882812	
0.010000	23.408958	0.859375	
0.010000	23.450672	0.843750	
0.010000	23.285219	0.906250	
0.010000	23.373444	0.890625	
0.010000	23.441544	0.859375	
0.010000	23.379786	0.867188	
0.010000	23.496925	0.867188	
0.010000	23.215603	0.929688	
0.010000	23.597221	0.828125	
0.010000	23.439528	0.851562	
0.010000	23.366106	0.882812	
0.010000	23.394613	0.875000	
0.010000	23.497660	0.828125	
0.010000	23.425957	0.867188	
0.010000	23.411932	0.875000	
0.010000	23.320679	0.914062	
0.010000	23.407150	0.843750	
