Learning Rate	Test Loss	Test Acc.	
0.010000	23.690683	0.781250	
0.010000	23.697065	0.750000	
0.010000	23.786144	0.750000	
0.010000	23.915766	0.656250	
0.010000	24.024815	0.687500	
0.010000	23.855862	0.703125	
0.010000	23.620897	0.789062	
0.010000	23.740841	0.765625	
0.010000	23.809715	0.726562	
0.010000	23.852598	0.726562	
0.010000	23.644968	0.796875	
0.010000	23.889521	0.664062	
0.010000	23.799103	0.750000	
0.010000	23.984747	0.718750	
0.010000	23.685722	0.757812	
0.010000	23.759966	0.742188	
0.010000	23.673721	0.789062	
0.010000	23.869986	0.726562	
0.010000	23.842894	0.710938	
0.010000	23.761711	0.765625	
0.010000	23.951866	0.687500	
0.010000	23.797014	0.679688	
0.010000	23.769077	0.734375	
0.010000	23.749949	0.765625	
0.010000	23.702471	0.703125	
0.010000	23.581467	0.796875	
0.010000	23.739111	0.742188	
0.010000	23.799974	0.734375	
0.010000	23.696602	0.757812	
0.010000	24.096703	0.648438	
0.010000	23.857349	0.710938	
0.010000	23.599878	0.820312	
0.010000	23.720928	0.773438	
0.010000	23.863882	0.726562	
0.010000	23.725182	0.750000	
0.010000	23.764866	0.765625	
0.010000	23.760641	0.820312	
0.010000	23.750853	0.781250	
0.010000	23.729254	0.773438	
0.010000	23.614948	0.804688	
0.010000	23.568312	0.828125	
0.010000	23.333853	0.921875	
0.010000	23.333576	0.882812	
0.010000	23.504770	0.820312	
0.010000	23.509111	0.851562	
0.010000	23.611958	0.828125	
0.010000	24.036568	0.718750	
0.010000	23.753613	0.757812	
0.010000	23.427219	0.882812	
0.010000	23.305532	0.882812	
0.010000	23.586439	0.828125	
0.010000	23.837034	0.781250	
0.010000	23.717682	0.796875	
0.010000	23.611481	0.812500	
0.010000	23.462553	0.843750	
0.010000	23.336027	0.921875	
0.010000	23.715446	0.781250	
0.010000	23.525175	0.804688	
0.010000	23.687798	0.742188	
0.010000	23.405956	0.851562	
0.010000	23.490200	0.835938	
0.010000	23.907026	0.757812	
0.010000	23.497913	0.781250	
0.010000	23.521849	0.851562	
0.010000	23.928972	0.734375	
0.010000	23.604387	0.781250	
0.010000	23.450661	0.859375	
0.010000	23.348997	0.898438	
0.010000	23.182501	0.953125	
0.010000	23.254669	0.921875	
0.010000	23.704601	0.773438	
0.010000	23.419558	0.843750	
0.010000	23.373133	0.867188	
0.010000	23.503202	0.828125	
