Learning Rate	Train Loss	Train Acc.	
0.010000	28.952129	0.109375	
0.010000	26.423008	0.132812	
0.010000	26.390415	0.085938	
0.010000	25.884403	0.085938	
0.010000	25.760067	0.109375	
0.010000	25.781111	0.125000	
0.010000	25.736303	0.117188	
0.010000	25.703400	0.140625	
0.010000	25.611168	0.093750	
0.010000	25.560627	0.156250	
0.010000	25.755177	0.125000	
0.010000	25.444088	0.125000	
0.010000	25.633648	0.093750	
0.010000	25.482185	0.148438	
0.010000	25.471256	0.078125	
0.010000	25.586321	0.109375	
0.010000	25.504232	0.117188	
0.010000	25.688498	0.062500	
0.010000	25.390051	0.156250	
0.010000	25.291454	0.171875	
0.010000	25.545822	0.109375	
0.010000	25.448158	0.125000	
0.010000	25.362711	0.140625	
0.010000	25.413755	0.109375	
0.010000	25.413467	0.187500	
0.010000	25.391762	0.125000	
0.010000	25.348970	0.156250	
0.010000	25.467909	0.085938	
0.010000	25.390957	0.140625	
0.010000	25.394293	0.109375	
0.010000	25.336021	0.132812	
0.010000	25.356512	0.171875	
0.010000	25.396629	0.164062	
0.010000	25.485195	0.109375	
0.010000	25.296328	0.171875	
0.010000	25.373571	0.140625	
0.010000	25.318676	0.171875	
0.010000	25.344015	0.109375	
0.010000	25.334152	0.132812	
0.010000	25.315269	0.117188	
0.010000	25.313622	0.125000	
0.010000	25.263905	0.171875	
0.010000	25.344540	0.156250	
0.010000	25.388237	0.179688	
0.010000	25.309078	0.156250	
0.010000	25.298384	0.195312	
0.010000	25.306568	0.164062	
0.010000	25.278212	0.164062	
0.010000	25.312305	0.187500	
0.010000	25.362265	0.125000	
0.010000	25.256500	0.218750	
0.010000	25.263386	0.187500	
0.010000	25.280125	0.171875	
0.010000	25.144079	0.218750	
0.010000	25.267887	0.148438	
0.010000	25.243830	0.195312	
0.010000	25.260201	0.179688	
0.010000	25.265194	0.132812	
0.010000	25.333847	0.179688	
0.010000	25.317535	0.156250	
0.010000	25.286644	0.109375	
0.010000	25.223171	0.242188	
0.010000	25.233221	0.203125	
0.010000	25.284170	0.171875	
0.010000	25.273151	0.156250	
0.010000	25.287706	0.148438	
0.010000	25.170494	0.187500	
0.010000	25.203993	0.218750	
0.010000	25.168177	0.203125	
0.010000	25.266720	0.148438	
0.010000	25.182938	0.281250	
0.010000	25.289246	0.132812	
0.010000	25.216442	0.179688	
0.010000	25.164227	0.203125	
0.010000	25.063610	0.234375	
0.010000	25.255962	0.179688	
0.010000	25.112812	0.242188	
0.010000	25.173634	0.187500	
0.010000	25.290319	0.226562	
0.010000	25.202948	0.156250	
0.010000	25.236485	0.171875	
0.010000	25.269623	0.179688	
0.010000	25.173178	0.226562	
0.010000	25.239084	0.195312	
0.010000	25.088055	0.265625	
0.010000	25.198357	0.203125	
0.010000	25.108597	0.218750	
0.010000	25.086004	0.273438	
0.010000	25.224016	0.226562	
0.010000	25.121897	0.250000	
0.010000	25.206966	0.156250	
0.010000	25.152302	0.226562	
0.010000	25.166706	0.203125	
0.010000	25.172846	0.218750	
0.010000	25.088600	0.234375	
0.010000	25.091782	0.281250	
0.010000	25.150997	0.218750	
0.010000	25.272507	0.187500	
0.010000	25.097782	0.234375	
0.010000	25.097307	0.328125	
0.010000	25.169672	0.257812	
0.010000	25.189198	0.203125	
0.010000	25.115879	0.226562	
0.010000	25.158533	0.226562	
0.010000	25.134602	0.242188	
0.010000	25.154140	0.296875	
0.010000	25.240440	0.218750	
0.010000	25.241905	0.164062	
0.010000	25.142004	0.210938	
0.010000	25.257843	0.195312	
0.010000	25.022141	0.257812	
0.010000	25.124104	0.281250	
0.010000	25.148598	0.265625	
0.010000	25.064470	0.296875	
0.010000	25.207832	0.203125	
0.010000	25.065262	0.289062	
0.010000	25.118122	0.257812	
0.010000	25.031359	0.273438	
0.010000	25.008631	0.328125	
0.010000	25.026182	0.328125	
0.010000	25.012976	0.312500	
0.010000	25.014057	0.320312	
0.010000	25.026609	0.289062	
0.010000	25.068720	0.265625	
0.010000	24.924995	0.328125	
0.010000	25.158504	0.203125	
0.010000	24.941158	0.375000	
0.010000	25.001886	0.343750	
0.010000	24.843166	0.390625	
0.010000	24.989031	0.335938	
0.010000	24.929558	0.343750	
0.010000	25.122517	0.250000	
0.010000	24.929018	0.359375	
0.010000	24.922590	0.343750	
0.010000	25.070122	0.273438	
0.010000	24.903936	0.351562	
0.010000	24.974722	0.335938	
0.010000	25.163210	0.250000	
0.010000	25.092913	0.273438	
0.010000	24.968899	0.335938	
0.010000	24.813173	0.367188	
0.010000	24.791241	0.437500	
0.010000	24.882711	0.351562	
0.010000	24.905905	0.289062	
0.010000	24.867077	0.390625	
0.010000	24.996510	0.398438	
0.010000	24.910391	0.296875	
0.010000	24.829973	0.351562	
0.010000	24.891424	0.343750	
0.010000	24.838541	0.351562	
0.010000	24.831717	0.359375	
0.010000	24.938932	0.304688	
0.010000	24.953262	0.328125	
0.010000	24.895613	0.335938	
0.010000	24.732149	0.445312	
