Learning Rate	Train Loss	Train Acc.	
0.010000	31.880529	0.101562	
0.010000	27.437653	0.093750	
0.010000	26.406300	0.156250	
0.010000	26.305830	0.132812	
0.010000	25.901682	0.125000	
0.010000	25.706581	0.125000	
0.010000	25.858452	0.125000	
0.010000	25.863747	0.140625	
0.010000	25.895203	0.085938	
0.010000	25.805241	0.148438	
0.010000	25.768858	0.140625	
0.010000	25.749434	0.093750	
0.010000	25.628368	0.195312	
0.010000	25.522524	0.179688	
0.010000	25.634876	0.132812	
0.010000	25.403889	0.187500	
0.010000	25.392172	0.140625	
0.010000	25.446941	0.125000	
0.010000	25.603817	0.101562	
0.010000	25.343204	0.171875	
0.010000	25.495533	0.164062	
0.010000	25.526371	0.117188	
0.010000	25.444817	0.117188	
0.010000	25.518415	0.140625	
0.010000	25.370008	0.164062	
0.010000	25.587717	0.101562	
0.010000	25.544580	0.164062	
0.010000	25.392969	0.148438	
0.010000	25.286926	0.156250	
0.010000	25.406303	0.164062	
0.010000	25.133198	0.210938	
0.010000	25.210928	0.226562	
0.010000	25.385372	0.140625	
0.010000	25.285709	0.187500	
0.010000	25.282293	0.164062	
0.010000	25.186535	0.234375	
0.010000	25.238752	0.156250	
0.010000	25.191107	0.210938	
0.010000	25.261415	0.210938	
0.010000	25.211868	0.210938	
0.010000	25.281128	0.195312	
0.010000	25.175087	0.187500	
0.010000	25.266056	0.179688	
0.010000	25.262798	0.250000	
0.010000	25.279888	0.156250	
0.010000	25.262426	0.218750	
0.010000	25.287388	0.195312	
0.010000	25.201761	0.257812	
0.010000	25.258381	0.234375	
0.010000	25.176010	0.218750	
0.010000	25.215456	0.203125	
0.010000	25.240767	0.218750	
0.010000	25.129688	0.234375	
0.010000	25.330366	0.148438	
0.010000	25.154051	0.210938	
0.010000	25.072813	0.210938	
0.010000	25.178165	0.210938	
0.010000	25.284416	0.148438	
0.010000	25.391430	0.156250	
0.010000	25.174242	0.179688	
0.010000	25.129009	0.210938	
0.010000	25.286657	0.195312	
0.010000	25.045799	0.289062	
0.010000	25.178223	0.218750	
0.010000	25.237469	0.203125	
0.010000	25.281361	0.179688	
0.010000	25.093159	0.250000	
0.010000	25.265572	0.218750	
0.010000	25.206169	0.203125	
0.010000	25.191236	0.226562	
0.010000	25.063118	0.304688	
0.010000	25.054054	0.304688	
0.010000	25.036419	0.296875	
0.010000	25.204800	0.226562	
0.010000	25.008093	0.312500	
0.010000	24.925236	0.375000	
0.010000	25.137335	0.179688	
0.010000	24.948040	0.312500	
0.010000	25.045967	0.250000	
0.010000	25.154650	0.273438	
0.010000	25.290178	0.203125	
0.010000	25.120644	0.265625	
0.010000	25.129173	0.250000	
0.010000	24.980215	0.328125	
0.010000	24.809572	0.367188	
0.010000	24.894739	0.398438	
0.010000	24.928112	0.351562	
0.010000	24.949278	0.296875	
0.010000	24.986183	0.289062	
0.010000	24.970491	0.335938	
0.010000	25.097666	0.273438	
0.010000	24.948059	0.312500	
0.010000	24.958101	0.359375	
0.010000	24.924385	0.328125	
0.010000	24.977894	0.296875	
0.010000	24.948282	0.320312	
0.010000	25.009975	0.234375	
0.010000	24.894005	0.367188	
0.010000	24.939331	0.351562	
0.010000	25.009546	0.289062	
0.010000	24.915762	0.335938	
0.010000	24.983013	0.296875	
0.010000	24.893587	0.382812	
0.010000	25.033255	0.320312	
0.010000	24.898710	0.296875	
0.010000	24.987459	0.328125	
0.010000	24.989481	0.296875	
0.010000	24.877781	0.343750	
0.010000	24.737576	0.351562	
0.010000	24.946522	0.343750	
0.010000	24.767942	0.390625	
0.010000	24.852463	0.359375	
0.010000	24.967363	0.343750	
0.010000	24.812998	0.398438	
0.010000	25.045580	0.328125	
0.010000	24.819881	0.343750	
0.010000	24.850485	0.312500	
0.010000	24.876707	0.359375	
0.010000	24.845985	0.320312	
0.010000	24.757889	0.390625	
0.010000	24.733616	0.414062	
0.010000	24.661282	0.445312	
0.010000	24.748087	0.398438	
0.010000	24.864328	0.351562	
0.010000	24.663410	0.437500	
0.010000	25.030567	0.320312	
0.010000	24.843145	0.398438	
0.010000	24.656359	0.484375	
0.010000	24.560162	0.468750	
0.010000	24.613874	0.468750	
0.010000	24.635986	0.476562	
0.010000	24.863026	0.359375	
0.010000	24.828266	0.343750	
0.010000	24.705383	0.453125	
0.010000	24.780775	0.390625	
0.010000	24.761316	0.398438	
0.010000	24.787613	0.375000	
0.010000	24.965338	0.328125	
0.010000	24.736832	0.421875	
0.010000	24.753931	0.367188	
0.010000	24.547121	0.484375	
0.010000	24.418161	0.539062	
0.010000	24.361301	0.593750	
0.010000	24.624765	0.453125	
0.010000	24.658932	0.445312	
0.010000	24.614454	0.476562	
0.010000	24.510454	0.500000	
0.010000	24.419024	0.500000	
0.010000	24.570961	0.507812	
0.010000	24.836782	0.320312	
0.010000	24.585472	0.445312	
0.010000	24.505285	0.484375	
0.010000	24.317469	0.585938	
0.010000	24.538019	0.492188	
0.010000	24.475718	0.539062	
0.010000	24.516397	0.500000	
0.010000	24.452662	0.484375	
0.010000	24.583376	0.515625	
0.010000	24.568207	0.468750	
0.010000	24.274988	0.539062	
0.010000	24.361643	0.500000	
0.010000	24.403048	0.515625	
0.010000	24.497822	0.484375	
0.010000	24.504671	0.476562	
0.010000	24.540878	0.492188	
0.010000	24.450254	0.476562	
0.010000	24.364817	0.546875	
0.010000	24.375902	0.539062	
0.010000	24.302389	0.539062	
0.010000	24.331581	0.515625	
0.010000	24.271133	0.523438	
0.010000	24.108845	0.679688	
0.010000	24.319298	0.539062	
0.010000	24.425961	0.523438	
0.010000	24.196590	0.640625	
0.010000	24.605061	0.484375	
0.010000	24.618311	0.507812	
0.010000	24.471954	0.531250	
0.010000	24.318146	0.523438	
0.010000	24.151022	0.585938	
0.010000	24.229364	0.585938	
0.010000	24.380207	0.585938	
0.010000	24.151846	0.601562	
