Learning Rate	Train Loss	Train Acc.	
0.010000	29.578537	0.148438	
0.010000	27.184849	0.054688	
0.010000	26.426098	0.062500	
0.010000	25.959200	0.117188	
0.010000	25.932899	0.164062	
0.010000	26.374481	0.132812	
0.010000	25.752125	0.148438	
0.010000	25.860004	0.140625	
0.010000	25.682652	0.093750	
0.010000	25.739927	0.148438	
0.010000	25.755493	0.117188	
0.010000	25.640091	0.179688	
0.010000	25.512602	0.125000	
0.010000	25.617531	0.085938	
0.010000	25.647396	0.070312	
0.010000	25.754536	0.148438	
0.010000	25.516819	0.132812	
0.010000	25.603218	0.101562	
0.010000	25.478050	0.140625	
0.010000	25.463867	0.164062	
0.010000	25.398716	0.109375	
0.010000	25.393036	0.117188	
0.010000	25.460299	0.156250	
0.010000	25.392435	0.164062	
0.010000	25.263083	0.187500	
0.010000	25.390484	0.179688	
0.010000	25.398657	0.164062	
0.010000	25.332790	0.148438	
0.010000	25.362350	0.132812	
0.010000	25.368885	0.117188	
0.010000	25.393082	0.140625	
0.010000	25.371418	0.156250	
0.010000	25.271679	0.164062	
0.010000	25.363014	0.171875	
0.010000	25.358862	0.179688	
0.010000	25.333408	0.164062	
0.010000	25.281523	0.179688	
0.010000	25.178003	0.195312	
0.010000	25.376095	0.140625	
0.010000	25.277012	0.187500	
0.010000	25.273960	0.171875	
0.010000	25.305681	0.187500	
0.010000	25.442677	0.140625	
0.010000	25.308846	0.109375	
0.010000	25.398598	0.140625	
0.010000	25.203922	0.187500	
0.010000	25.231321	0.242188	
0.010000	25.185913	0.242188	
0.010000	25.235222	0.226562	
0.010000	25.208851	0.148438	
0.010000	25.215046	0.203125	
0.010000	25.199841	0.210938	
0.010000	25.314526	0.148438	
0.010000	25.210129	0.210938	
0.010000	25.362072	0.132812	
0.010000	25.153008	0.242188	
0.010000	25.190935	0.234375	
0.010000	25.206673	0.203125	
0.010000	25.148561	0.234375	
0.010000	25.118385	0.242188	
0.010000	25.185078	0.250000	
0.010000	25.151554	0.257812	
0.010000	25.260868	0.179688	
0.010000	25.066193	0.250000	
0.010000	25.227953	0.187500	
0.010000	25.238403	0.179688	
0.010000	25.071007	0.242188	
0.010000	25.175959	0.242188	
0.010000	25.183887	0.210938	
0.010000	25.130188	0.148438	
0.010000	25.150566	0.250000	
0.010000	25.088701	0.257812	
0.010000	25.065044	0.281250	
0.010000	25.015318	0.320312	
0.010000	25.133549	0.250000	
0.010000	24.926231	0.335938	
0.010000	25.111202	0.218750	
0.010000	24.971956	0.320312	
0.010000	24.984007	0.320312	
0.010000	24.998756	0.257812	
0.010000	25.013924	0.312500	
0.010000	25.126795	0.234375	
0.010000	25.091478	0.257812	
0.010000	25.014238	0.304688	
0.010000	24.881020	0.335938	
0.010000	24.972290	0.328125	
0.010000	24.912277	0.320312	
0.010000	25.042427	0.312500	
0.010000	24.875048	0.335938	
0.010000	25.122025	0.273438	
0.010000	24.944477	0.351562	
0.010000	24.938335	0.304688	
0.010000	24.853283	0.335938	
0.010000	24.865658	0.335938	
0.010000	24.922144	0.335938	
0.010000	24.967009	0.320312	
0.010000	24.838121	0.320312	
0.010000	25.014248	0.250000	
0.010000	24.976866	0.304688	
0.010000	24.917309	0.312500	
0.010000	24.787598	0.414062	
0.010000	24.836603	0.382812	
0.010000	24.898365	0.335938	
0.010000	24.894482	0.328125	
0.010000	24.909513	0.367188	
0.010000	24.823896	0.375000	
0.010000	24.858627	0.351562	
0.010000	24.945036	0.328125	
0.010000	24.823244	0.375000	
0.010000	24.943930	0.343750	
0.010000	24.990175	0.328125	
0.010000	24.966501	0.289062	
0.010000	24.788664	0.375000	
0.010000	24.832790	0.351562	
0.010000	24.879477	0.328125	
0.010000	24.929302	0.351562	
0.010000	24.643183	0.429688	
0.010000	24.613047	0.484375	
0.010000	24.633783	0.492188	
0.010000	24.689405	0.421875	
0.010000	24.748964	0.437500	
0.010000	24.789270	0.390625	
0.010000	24.605904	0.429688	
0.010000	24.722708	0.421875	
0.010000	24.604708	0.460938	
0.010000	24.843094	0.281250	
0.010000	24.704363	0.390625	
0.010000	24.595127	0.453125	
0.010000	24.671442	0.414062	
0.010000	24.448490	0.531250	
0.010000	24.718758	0.453125	
0.010000	24.736475	0.476562	
0.010000	24.615770	0.468750	
0.010000	24.549374	0.476562	
0.010000	24.447166	0.523438	
0.010000	24.418882	0.468750	
0.010000	24.708233	0.476562	
0.010000	24.696560	0.460938	
0.010000	24.643610	0.468750	
0.010000	24.683491	0.453125	
0.010000	24.403971	0.507812	
0.010000	24.421162	0.515625	
0.010000	24.547760	0.468750	
0.010000	24.595900	0.460938	
0.010000	24.513741	0.500000	
0.010000	24.381599	0.554688	
0.010000	24.471994	0.484375	
0.010000	24.274847	0.554688	
