Learning Rate	Train Loss	Train Acc.	
0.010000	28.977053	0.085938	
0.010000	26.323671	0.125000	
0.010000	26.095112	0.117188	
0.010000	26.098827	0.085938	
0.010000	25.850340	0.093750	
0.010000	25.898966	0.117188	
0.010000	25.864426	0.054688	
0.010000	25.689606	0.078125	
0.010000	25.585361	0.054688	
0.010000	25.754963	0.093750	
0.010000	25.675228	0.117188	
0.010000	25.586216	0.085938	
0.010000	25.678020	0.093750	
0.010000	25.664934	0.093750	
0.010000	25.562353	0.093750	
0.010000	25.531502	0.078125	
0.010000	25.473738	0.093750	
0.010000	25.366549	0.140625	
0.010000	25.511827	0.109375	
0.010000	25.513842	0.093750	
0.010000	25.354778	0.132812	
0.010000	25.460278	0.117188	
0.010000	25.492420	0.132812	
0.010000	25.413162	0.093750	
0.010000	25.415356	0.140625	
0.010000	25.407913	0.132812	
0.010000	25.466675	0.132812	
0.010000	25.346481	0.140625	
0.010000	25.399704	0.156250	
0.010000	25.426306	0.132812	
0.010000	25.432909	0.117188	
0.010000	25.411383	0.085938	
0.010000	25.438435	0.109375	
0.010000	25.396774	0.132812	
0.010000	25.322311	0.148438	
0.010000	25.444950	0.101562	
0.010000	25.390091	0.140625	
0.010000	25.329693	0.109375	
0.010000	25.352575	0.125000	
0.010000	25.433502	0.101562	
0.010000	25.455509	0.101562	
0.010000	25.351200	0.125000	
0.010000	25.336597	0.179688	
0.010000	25.389263	0.093750	
0.010000	25.347546	0.156250	
0.010000	25.260151	0.117188	
0.010000	25.406109	0.156250	
0.010000	25.366199	0.125000	
0.010000	25.325356	0.171875	
0.010000	25.337978	0.132812	
0.010000	25.295612	0.210938	
0.010000	25.261761	0.148438	
0.010000	25.345455	0.117188	
0.010000	25.377869	0.117188	
0.010000	25.359709	0.140625	
0.010000	25.299950	0.164062	
0.010000	25.333717	0.140625	
0.010000	25.322336	0.140625	
0.010000	25.409033	0.117188	
0.010000	25.278099	0.093750	
0.010000	25.260452	0.132812	
0.010000	25.275017	0.171875	
0.010000	25.385679	0.101562	
0.010000	25.362385	0.117188	
0.010000	25.319334	0.148438	
0.010000	25.301764	0.203125	
0.010000	25.301388	0.179688	
0.010000	25.248718	0.179688	
0.010000	25.306740	0.140625	
0.010000	25.269512	0.164062	
0.010000	25.287426	0.156250	
0.010000	25.337395	0.117188	
0.010000	25.259134	0.187500	
0.010000	25.236074	0.218750	
0.010000	25.327166	0.171875	
0.010000	25.155203	0.250000	
0.010000	25.228237	0.171875	
0.010000	25.167362	0.210938	
0.010000	25.317474	0.156250	
0.010000	25.330059	0.203125	
0.010000	25.282387	0.171875	
0.010000	25.273342	0.195312	
0.010000	25.242821	0.210938	
0.010000	25.265419	0.195312	
0.010000	25.206207	0.203125	
0.010000	25.326111	0.203125	
0.010000	25.231300	0.171875	
0.010000	25.124516	0.281250	
0.010000	25.235804	0.179688	
0.010000	25.211182	0.132812	
0.010000	25.269291	0.187500	
0.010000	25.178133	0.148438	
0.010000	25.221457	0.156250	
0.010000	25.212879	0.210938	
0.010000	25.286205	0.187500	
0.010000	25.122421	0.234375	
0.010000	25.051626	0.265625	
0.010000	25.184856	0.171875	
0.010000	25.175917	0.234375	
0.010000	25.182487	0.179688	
0.010000	25.230991	0.187500	
0.010000	25.337646	0.109375	
0.010000	25.234470	0.179688	
0.010000	25.218304	0.195312	
0.010000	25.171436	0.226562	
0.010000	25.194462	0.164062	
0.010000	25.208021	0.164062	
0.010000	25.130718	0.226562	
0.010000	25.105335	0.226562	
0.010000	25.227556	0.171875	
0.010000	25.119976	0.226562	
0.010000	25.199825	0.226562	
0.010000	25.173840	0.148438	
0.010000	25.163692	0.210938	
0.010000	25.232500	0.164062	
0.010000	25.175734	0.179688	
0.010000	25.095411	0.257812	
0.010000	25.152176	0.265625	
0.010000	25.128345	0.234375	
0.010000	25.131447	0.195312	
0.010000	25.058027	0.273438	
0.010000	24.974024	0.335938	
0.010000	25.054468	0.320312	
0.010000	25.135754	0.234375	
0.010000	25.000898	0.289062	
0.010000	25.101210	0.242188	
0.010000	25.025608	0.335938	
0.010000	25.102478	0.234375	
0.010000	25.053905	0.281250	
0.010000	25.058767	0.242188	
0.010000	25.007917	0.296875	
0.010000	25.058693	0.281250	
0.010000	25.030523	0.296875	
0.010000	25.035746	0.242188	
0.010000	25.051146	0.234375	
0.010000	24.945539	0.312500	
0.010000	25.155230	0.203125	
0.010000	25.171516	0.281250	
0.010000	25.180307	0.218750	
0.010000	25.120071	0.289062	
0.010000	24.900467	0.343750	
0.010000	25.004885	0.328125	
0.010000	25.116388	0.226562	
0.010000	25.052053	0.304688	
0.010000	24.953558	0.265625	
0.010000	24.989756	0.281250	
0.010000	25.047766	0.250000	
0.010000	24.962454	0.359375	
0.010000	24.994261	0.265625	
0.010000	25.067144	0.250000	
0.010000	24.959681	0.320312	
0.010000	24.996592	0.335938	
0.010000	25.076252	0.234375	
0.010000	25.014479	0.289062	
0.010000	24.804033	0.359375	
0.010000	24.942911	0.320312	
0.010000	24.986441	0.296875	
0.010000	24.985327	0.304688	
0.010000	24.948072	0.289062	
0.010000	24.896996	0.367188	
0.010000	24.951117	0.351562	
0.010000	24.818991	0.421875	
0.010000	25.017197	0.289062	
0.010000	25.040869	0.250000	
0.010000	24.974909	0.343750	
0.010000	24.846384	0.398438	
0.010000	24.873119	0.390625	
0.010000	24.951559	0.406250	
0.010000	24.747946	0.421875	
0.010000	24.901833	0.390625	
0.010000	24.856236	0.281250	
0.010000	24.745487	0.421875	
0.010000	24.772614	0.406250	
0.010000	24.834761	0.406250	
0.010000	24.850826	0.375000	
0.010000	24.965343	0.328125	
0.010000	24.917053	0.312500	
0.010000	24.952898	0.359375	
0.010000	24.947720	0.351562	
0.010000	24.753576	0.390625	
0.010000	24.767185	0.359375	
0.010000	24.916817	0.304688	
0.010000	24.794445	0.367188	
0.010000	24.862335	0.367188	
0.010000	24.930422	0.289062	
0.010000	24.882893	0.351562	
0.010000	24.649313	0.445312	
0.010000	24.754578	0.382812	
0.010000	24.714361	0.398438	
0.010000	24.835320	0.335938	
0.010000	24.753506	0.460938	
0.010000	24.717461	0.468750	
0.010000	24.644768	0.429688	
0.010000	24.791739	0.406250	
0.010000	24.686554	0.437500	
0.010000	24.532158	0.500000	
0.010000	24.756380	0.468750	
0.010000	24.861870	0.351562	
0.010000	24.630630	0.445312	
0.010000	24.540482	0.531250	
0.010000	24.606419	0.460938	
0.010000	24.680447	0.476562	
0.010000	24.690020	0.507812	
0.010000	24.505592	0.453125	
0.010000	24.631765	0.453125	
0.010000	24.502033	0.531250	
0.010000	24.843596	0.382812	
0.010000	24.751961	0.421875	
0.010000	24.789669	0.429688	
0.010000	24.471628	0.492188	
0.010000	24.655989	0.460938	
0.010000	24.728756	0.437500	
0.010000	24.730444	0.414062	
0.010000	24.661041	0.468750	
0.010000	24.605078	0.460938	
0.010000	24.480392	0.484375	
0.010000	24.555101	0.500000	
0.010000	24.688974	0.437500	
0.010000	24.434994	0.500000	
0.010000	24.576986	0.414062	
0.010000	24.468977	0.507812	
0.010000	24.684412	0.453125	
0.010000	24.594425	0.468750	
0.010000	24.490650	0.500000	
0.010000	24.411823	0.562500	
0.010000	24.423811	0.515625	
0.010000	24.441422	0.515625	
0.010000	24.647493	0.468750	
0.010000	24.538630	0.476562	
0.010000	24.459587	0.484375	
0.010000	24.501171	0.484375	
0.010000	24.428856	0.570312	
0.010000	24.616817	0.445312	
0.010000	24.774511	0.382812	
0.010000	24.671404	0.492188	
0.010000	24.375488	0.570312	
0.010000	24.278711	0.585938	
0.010000	24.416313	0.585938	
0.010000	24.498365	0.507812	
0.010000	24.558722	0.445312	
0.010000	24.571472	0.492188	
0.010000	24.313606	0.578125	
0.010000	24.414217	0.578125	
0.010000	24.311388	0.593750	
0.010000	24.537777	0.554688	
0.010000	24.560608	0.500000	
0.010000	24.353741	0.578125	
0.010000	24.686756	0.476562	
