Learning Rate	Test Loss	Test Acc.	
0.010000	23.666916	0.765625	
0.010000	23.377579	0.875000	
0.010000	23.784962	0.757812	
0.010000	23.810596	0.718750	
0.010000	23.812147	0.726562	
0.010000	23.583462	0.851562	
0.010000	23.526197	0.789062	
0.010000	23.637814	0.820312	
0.010000	23.773397	0.750000	
0.010000	23.781645	0.750000	
0.010000	23.715897	0.765625	
0.010000	23.678400	0.781250	
0.010000	23.480587	0.828125	
0.010000	23.971186	0.742188	
0.010000	23.591919	0.796875	
0.010000	23.603464	0.796875	
0.010000	23.650200	0.789062	
0.010000	23.768883	0.765625	
0.010000	23.647766	0.773438	
0.010000	23.756491	0.765625	
0.010000	23.573513	0.796875	
0.010000	23.673523	0.773438	
0.010000	23.747202	0.750000	
0.010000	23.741766	0.742188	
0.010000	23.616783	0.820312	
0.010000	23.541599	0.820312	
0.010000	23.529657	0.828125	
0.010000	23.762123	0.742188	
0.010000	23.585573	0.828125	
0.010000	23.885561	0.734375	
0.010000	23.847887	0.773438	
0.010000	23.619595	0.773438	
0.010000	23.733021	0.765625	
0.010000	23.794348	0.710938	
0.010000	23.752131	0.750000	
0.010000	23.718048	0.773438	
0.010000	23.472982	0.835938	
0.010000	23.454187	0.804688	
0.010000	23.719244	0.781250	
0.010000	23.421488	0.843750	
0.010000	23.487040	0.812500	
0.010000	23.343727	0.875000	
0.010000	23.200863	0.953125	
0.010000	23.351479	0.898438	
0.010000	23.385147	0.875000	
0.010000	23.527605	0.812500	
0.010000	23.641451	0.757812	
0.010000	23.734484	0.796875	
0.010000	23.353939	0.898438	
0.010000	23.177841	0.945312	
0.010000	23.468714	0.867188	
0.010000	23.568077	0.804688	
0.010000	23.551094	0.804688	
0.010000	23.375835	0.882812	
0.010000	23.284042	0.906250	
0.010000	23.271240	0.906250	
0.010000	23.474634	0.851562	
0.010000	23.286924	0.929688	
0.010000	23.680998	0.781250	
0.010000	23.352287	0.875000	
0.010000	23.318874	0.882812	
0.010000	23.588020	0.812500	
0.010000	23.164288	0.953125	
0.010000	23.486084	0.820312	
0.010000	23.485264	0.835938	
0.010000	23.402555	0.867188	
0.010000	23.263021	0.890625	
0.010000	23.201962	0.937500	
0.010000	23.137564	0.937500	
0.010000	23.174629	0.914062	
0.010000	23.625982	0.843750	
0.010000	23.380522	0.835938	
0.010000	23.359814	0.867188	
0.010000	23.236300	0.914062	
0.010000	23.433567	0.875000	
0.010000	23.705570	0.750000	
0.010000	23.795616	0.726562	
0.010000	23.732679	0.789062	
0.010000	23.067547	1.000000	
0.010000	23.240891	0.921875	
0.010000	23.360107	0.875000	
0.010000	23.434826	0.851562	
0.010000	23.465391	0.828125	
0.010000	23.311657	0.875000	
0.010000	23.400444	0.890625	
0.010000	23.286688	0.921875	
0.010000	23.581526	0.796875	
0.010000	23.532528	0.851562	
0.010000	23.717079	0.781250	
0.010000	23.457701	0.867188	
0.010000	23.356833	0.875000	
0.010000	23.234140	0.937500	
0.010000	23.605507	0.843750	
0.010000	23.441196	0.828125	
0.010000	23.416555	0.875000	
0.010000	23.628038	0.828125	
0.010000	23.606089	0.867188	
0.010000	23.526047	0.835938	
0.010000	23.459074	0.843750	
0.010000	23.497879	0.859375	
0.010000	23.406107	0.843750	
0.010000	23.302576	0.906250	
0.010000	23.331593	0.867188	
0.010000	23.271917	0.906250	
0.010000	23.359806	0.898438	
0.010000	23.391541	0.906250	
0.010000	23.448280	0.859375	
0.010000	23.408251	0.882812	
0.010000	23.587152	0.867188	
0.010000	23.513937	0.898438	
0.010000	23.317783	0.906250	
0.010000	23.385736	0.859375	
0.010000	23.353600	0.828125	
0.010000	23.336082	0.921875	
0.010000	23.342754	0.875000	
0.010000	23.432381	0.882812	
0.010000	23.498140	0.843750	
0.010000	23.561798	0.851562	
0.010000	23.203773	0.945312	
0.010000	23.242464	0.906250	
0.010000	23.148638	0.945312	
0.010000	23.131746	0.968750	
0.010000	23.233719	0.937500	
0.010000	23.217510	0.929688	
0.010000	23.289791	0.890625	
0.010000	23.297321	0.906250	
0.010000	23.256014	0.914062	
0.010000	23.309820	0.921875	
0.010000	23.079994	0.992188	
0.010000	23.274239	0.937500	
0.010000	23.456726	0.820312	
