Learning Rate	Train Loss	Train Acc.	
0.010000	30.475351	0.101562	
0.010000	43.264820	0.101562	
0.010000	32.165298	0.078125	
0.010000	26.303980	0.109375	
0.010000	25.596619	0.070312	
0.010000	25.513863	0.125000	
0.010000	25.383913	0.171875	
0.010000	25.172779	0.132812	
0.010000	25.134594	0.093750	
0.010000	24.976543	0.148438	
0.010000	24.989767	0.109375	
0.010000	24.939571	0.078125	
0.010000	24.862150	0.078125	
0.010000	24.815407	0.085938	
0.010000	24.777033	0.054688	
0.010000	24.724936	0.085938	
0.010000	24.657114	0.085938	
0.010000	24.619143	0.101562	
0.010000	24.569304	0.085938	
0.010000	24.510071	0.125000	
0.010000	24.475954	0.085938	
0.010000	24.426376	0.109375	
0.010000	24.359297	0.125000	
0.010000	24.312977	0.093750	
0.010000	24.261339	0.109375	
0.010000	24.213791	0.093750	
0.010000	24.159370	0.101562	
0.010000	24.116982	0.085938	
0.010000	24.050846	0.171875	
0.010000	24.004410	0.085938	
0.010000	23.952761	0.078125	
0.010000	23.893847	0.078125	
0.010000	23.836987	0.156250	
0.010000	23.782570	0.148438	
0.010000	23.737171	0.085938	
0.010000	23.668568	0.140625	
0.010000	23.619690	0.140625	
0.010000	23.560526	0.117188	
0.010000	23.496687	0.093750	
0.010000	23.440588	0.078125	
0.010000	23.384235	0.132812	
0.010000	23.325874	0.125000	
0.010000	23.262625	0.187500	
0.010000	23.194584	0.179688	
0.010000	23.148792	0.140625	
0.010000	23.102022	0.117188	
0.010000	23.034676	0.117188	
0.010000	22.942373	0.210938	
0.010000	22.918499	0.140625	
0.010000	22.843056	0.257812	
0.010000	22.799459	0.187500	
0.010000	22.689636	0.257812	
0.010000	22.645563	0.218750	
0.010000	22.594927	0.218750	
0.010000	22.471382	0.265625	
0.010000	22.418554	0.296875	
0.010000	22.336496	0.281250	
0.010000	22.344322	0.218750	
0.010000	22.198774	0.250000	
0.010000	22.120890	0.281250	
0.010000	21.951485	0.281250	
0.010000	22.051353	0.226562	
0.010000	21.816029	0.250000	
0.010000	21.707947	0.312500	
0.010000	21.694447	0.328125	
0.010000	21.662888	0.304688	
0.010000	21.344824	0.351562	
0.010000	21.370403	0.359375	
0.010000	21.484264	0.281250	
0.010000	21.384621	0.289062	
0.010000	21.068123	0.406250	
0.010000	21.068268	0.343750	
0.010000	20.994152	0.414062	
0.010000	21.033735	0.375000	
0.010000	20.770815	0.351562	
0.010000	20.754734	0.390625	
0.010000	20.682316	0.359375	
0.010000	20.683504	0.429688	
0.010000	20.430431	0.445312	
0.010000	20.522579	0.367188	
0.010000	20.400997	0.453125	
0.010000	20.214167	0.398438	
0.010000	20.130608	0.437500	
0.010000	20.278194	0.453125	
0.010000	20.116491	0.468750	
0.010000	19.877584	0.484375	
0.010000	19.778032	0.500000	
0.010000	19.779484	0.500000	
0.010000	19.712824	0.515625	
0.010000	19.602116	0.484375	
0.010000	19.471148	0.578125	
0.010000	19.367992	0.546875	
0.010000	19.331520	0.523438	
0.010000	19.293463	0.531250	
0.010000	19.206749	0.609375	
0.010000	19.442144	0.468750	
0.010000	19.098263	0.593750	
0.010000	19.367043	0.492188	
0.010000	19.282669	0.437500	
0.010000	18.998367	0.578125	
0.010000	18.820320	0.539062	
0.010000	18.974445	0.429688	
0.010000	18.712629	0.585938	
0.010000	18.495115	0.640625	
0.010000	18.561274	0.585938	
0.010000	18.295284	0.687500	
0.010000	18.268362	0.601562	
0.010000	18.159538	0.671875	
0.010000	18.137520	0.687500	
0.010000	18.353674	0.570312	
0.010000	18.202053	0.593750	
0.010000	17.995764	0.601562	
0.010000	18.113771	0.593750	
0.010000	18.006073	0.625000	
0.010000	17.918991	0.585938	
0.010000	17.881563	0.562500	
0.010000	17.540680	0.679688	
0.010000	17.258234	0.757812	
0.010000	17.281719	0.703125	
0.010000	17.331045	0.671875	
0.010000	17.143417	0.757812	
0.010000	16.998308	0.773438	
0.010000	17.043093	0.718750	
0.010000	17.252125	0.656250	
0.010000	17.220814	0.625000	
0.010000	17.142305	0.570312	
0.010000	16.822685	0.687500	
0.010000	16.639305	0.765625	
0.010000	16.543238	0.773438	
0.010000	16.775085	0.742188	
0.010000	16.559229	0.796875	
0.010000	17.017000	0.742188	
0.010000	16.545700	0.718750	
0.010000	16.440453	0.742188	
0.010000	16.510456	0.726562	
0.010000	16.341650	0.726562	
0.010000	16.151928	0.804688	
0.010000	16.374189	0.718750	
0.010000	16.183935	0.734375	
0.010000	16.112434	0.695312	
0.010000	15.923211	0.820312	
0.010000	15.644282	0.859375	
0.010000	15.488019	0.851562	
0.010000	15.706183	0.750000	
0.010000	15.482461	0.835938	
0.010000	15.588783	0.796875	
0.010000	15.329776	0.812500	
0.010000	15.130755	0.867188	
0.010000	15.135762	0.859375	
0.010000	15.101247	0.843750	
0.010000	15.083076	0.828125	
0.010000	15.073472	0.828125	
0.010000	15.051871	0.843750	
0.010000	14.770822	0.890625	
0.010000	14.969368	0.843750	
0.010000	14.849127	0.835938	
0.010000	14.834620	0.835938	
0.010000	14.784940	0.835938	
0.010000	14.733455	0.835938	
0.010000	14.447330	0.875000	
0.010000	14.497137	0.867188	
0.010000	14.475014	0.859375	
0.010000	14.404568	0.859375	
0.010000	14.520273	0.757812	
0.010000	14.163311	0.835938	
0.010000	14.219927	0.882812	
0.010000	14.327686	0.804688	
0.010000	14.212656	0.828125	
0.010000	13.985989	0.875000	
0.010000	13.898937	0.914062	
0.010000	13.776610	0.859375	
0.010000	13.822616	0.875000	
0.010000	13.666359	0.890625	
0.010000	13.782293	0.835938	
0.010000	13.690598	0.906250	
0.010000	13.733813	0.820312	
0.010000	13.682664	0.812500	
0.010000	13.510377	0.875000	
0.010000	13.431802	0.875000	
0.010000	13.189692	0.937500	
0.010000	13.325965	0.867188	
0.010000	13.160269	0.906250	
0.010000	13.217759	0.898438	
0.010000	12.970038	0.937500	
0.010000	13.023980	0.890625	
0.010000	13.072586	0.882812	
0.010000	13.088171	0.851562	
0.010000	12.943444	0.859375	
0.010000	12.733294	0.890625	
0.010000	12.925885	0.859375	
0.010000	12.530680	0.953125	
0.010000	12.823779	0.859375	
0.010000	12.871819	0.851562	
0.010000	12.833564	0.875000	
0.010000	12.499413	0.906250	
0.010000	12.274282	0.929688	
0.010000	12.380305	0.898438	
0.010000	12.524880	0.835938	
0.010000	12.128971	0.914062	
0.010000	12.155268	0.937500	
0.010000	12.077300	0.937500	
0.010000	12.411201	0.843750	
0.010000	12.291216	0.843750	
0.010000	12.064393	0.875000	
0.010000	11.857100	0.921875	
0.010000	11.827475	0.921875	
0.010000	11.891858	0.906250	
