Learning Rate	Test Loss	Test Acc.	
0.010000	23.552317	0.835938	
0.010000	23.476217	0.851562	
0.010000	23.891624	0.750000	
0.010000	23.511271	0.859375	
0.010000	23.713354	0.789062	
0.010000	23.706093	0.781250	
0.010000	23.485508	0.812500	
0.010000	23.624762	0.812500	
0.010000	23.733261	0.765625	
0.010000	23.785379	0.726562	
0.010000	23.691805	0.820312	
0.010000	23.843563	0.742188	
0.010000	23.620996	0.765625	
0.010000	23.792673	0.765625	
0.010000	23.646507	0.781250	
0.010000	23.558689	0.828125	
0.010000	23.738102	0.734375	
0.010000	23.774981	0.796875	
0.010000	23.621513	0.828125	
0.010000	23.542757	0.812500	
0.010000	23.528881	0.804688	
0.010000	23.637642	0.796875	
0.010000	23.617250	0.789062	
0.010000	23.512775	0.820312	
0.010000	23.547138	0.828125	
0.010000	23.414886	0.875000	
0.010000	23.654058	0.812500	
0.010000	23.752256	0.757812	
0.010000	23.415758	0.882812	
0.010000	23.905519	0.750000	
0.010000	23.744452	0.812500	
0.010000	23.502201	0.820312	
0.010000	23.607227	0.804688	
0.010000	23.677343	0.820312	
0.010000	23.672321	0.757812	
0.010000	23.605419	0.781250	
0.010000	23.492373	0.820312	
0.010000	23.789560	0.828125	
0.010000	23.612028	0.820312	
0.010000	23.390900	0.882812	
0.010000	23.348885	0.843750	
0.010000	23.292576	0.906250	
0.010000	23.239199	0.929688	
0.010000	23.329298	0.859375	
0.010000	23.356068	0.890625	
0.010000	23.413399	0.890625	
0.010000	23.575947	0.789062	
0.010000	23.541872	0.804688	
0.010000	23.354956	0.906250	
0.010000	23.169882	0.937500	
0.010000	23.323923	0.898438	
0.010000	23.684151	0.789062	
0.010000	23.518776	0.859375	
0.010000	23.498011	0.851562	
0.010000	23.242689	0.914062	
0.010000	23.426847	0.820312	
0.010000	23.492750	0.875000	
0.010000	23.328867	0.890625	
0.010000	23.620535	0.773438	
0.010000	23.295141	0.898438	
0.010000	23.355152	0.882812	
0.010000	23.685446	0.804688	
0.010000	23.181683	0.937500	
0.010000	23.528187	0.882812	
0.010000	23.500454	0.820312	
0.010000	23.312973	0.890625	
0.010000	23.338545	0.898438	
0.010000	23.157738	0.937500	
0.010000	23.120163	0.953125	
0.010000	23.182957	0.953125	
0.010000	23.486706	0.843750	
0.010000	23.280415	0.890625	
0.010000	23.290062	0.898438	
0.010000	23.481812	0.843750	
0.010000	23.413881	0.859375	
0.010000	23.701273	0.789062	
0.010000	23.731234	0.796875	
0.010000	23.799938	0.781250	
0.010000	23.238029	0.937500	
0.010000	23.288771	0.890625	
0.010000	23.263998	0.898438	
0.010000	23.292410	0.906250	
0.010000	23.574671	0.804688	
0.010000	23.308405	0.890625	
0.010000	23.453638	0.867188	
0.010000	23.245680	0.921875	
0.010000	23.521952	0.867188	
0.010000	23.412193	0.875000	
0.010000	23.579769	0.843750	
0.010000	23.576715	0.875000	
0.010000	23.343164	0.890625	
0.010000	23.379684	0.875000	
0.010000	23.595964	0.828125	
0.010000	23.425001	0.875000	
0.010000	23.415625	0.867188	
0.010000	23.436668	0.875000	
0.010000	23.426558	0.875000	
0.010000	23.430067	0.859375	
0.010000	23.370298	0.890625	
0.010000	23.346350	0.898438	
0.010000	23.417450	0.906250	
0.010000	23.273958	0.875000	
0.010000	23.317574	0.875000	
0.010000	23.364756	0.890625	
0.010000	23.248039	0.921875	
0.010000	23.370874	0.882812	
0.010000	23.503660	0.859375	
0.010000	23.291971	0.906250	
0.010000	23.664057	0.812500	
0.010000	23.441530	0.859375	
0.010000	23.442808	0.851562	
0.010000	23.422754	0.859375	
0.010000	23.414364	0.843750	
