Learning Rate	Train Loss	Train Acc.	
0.010000	29.374138	0.109375	
0.010000	33.430035	0.132812	
0.010000	27.136276	0.093750	
0.010000	25.529549	0.109375	
0.010000	25.240986	0.109375	
0.010000	25.155287	0.140625	
0.010000	25.160418	0.101562	
0.010000	25.080940	0.109375	
0.010000	24.990255	0.101562	
0.010000	24.910929	0.156250	
0.010000	24.891441	0.070312	
0.010000	24.837986	0.125000	
0.010000	24.784868	0.093750	
0.010000	24.754278	0.101562	
0.010000	24.677401	0.109375	
0.010000	24.619650	0.140625	
0.010000	24.572950	0.101562	
0.010000	24.504023	0.164062	
0.010000	24.450138	0.132812	
0.010000	24.387299	0.140625	
0.010000	24.327435	0.093750	
0.010000	24.261185	0.132812	
0.010000	24.205444	0.187500	
0.010000	24.150816	0.148438	
0.010000	24.092119	0.179688	
0.010000	24.031406	0.148438	
0.010000	23.969542	0.148438	
0.010000	23.883142	0.203125	
0.010000	23.860277	0.156250	
0.010000	23.740902	0.281250	
0.010000	23.685087	0.265625	
0.010000	23.656240	0.210938	
0.010000	23.512163	0.312500	
0.010000	23.415108	0.304688	
0.010000	23.388693	0.257812	
0.010000	23.408215	0.210938	
0.010000	23.277542	0.234375	
0.010000	23.160027	0.289062	
0.010000	22.979807	0.351562	
0.010000	22.951965	0.273438	
0.010000	22.883493	0.304688	
0.010000	22.800392	0.335938	
0.010000	22.760763	0.289062	
0.010000	22.614069	0.312500	
0.010000	22.585445	0.289062	
0.010000	22.512064	0.296875	
0.010000	22.398174	0.273438	
0.010000	22.184210	0.359375	
0.010000	22.162828	0.304688	
0.010000	22.094110	0.312500	
0.010000	21.961111	0.406250	
0.010000	21.845945	0.429688	
0.010000	21.705076	0.460938	
0.010000	21.762358	0.343750	
0.010000	21.496735	0.445312	
0.010000	21.711720	0.343750	
0.010000	21.826071	0.328125	
0.010000	21.439438	0.429688	
0.010000	21.369650	0.343750	
0.010000	21.348736	0.367188	
0.010000	21.182430	0.414062	
0.010000	20.871220	0.492188	
0.010000	20.932325	0.398438	
0.010000	20.747938	0.476562	
0.010000	20.887461	0.460938	
0.010000	20.691227	0.437500	
0.010000	20.660255	0.468750	
0.010000	20.646219	0.453125	
0.010000	20.540257	0.460938	
0.010000	20.565157	0.445312	
0.010000	20.207243	0.507812	
0.010000	20.152592	0.515625	
0.010000	20.178783	0.476562	
0.010000	20.224922	0.437500	
0.010000	20.228607	0.398438	
0.010000	20.066004	0.468750	
0.010000	19.965200	0.445312	
0.010000	19.621452	0.609375	
0.010000	19.596159	0.656250	
0.010000	19.699112	0.515625	
0.010000	19.498892	0.539062	
0.010000	19.356226	0.585938	
0.010000	19.293110	0.546875	
0.010000	19.265388	0.562500	
0.010000	19.143627	0.546875	
0.010000	19.159822	0.531250	
0.010000	18.817081	0.679688	
0.010000	18.885166	0.648438	
0.010000	18.655581	0.601562	
0.010000	18.657560	0.656250	
0.010000	18.892216	0.570312	
0.010000	18.569883	0.609375	
0.010000	18.743071	0.593750	
0.010000	18.452726	0.640625	
0.010000	18.160561	0.695312	
0.010000	18.347321	0.609375	
0.010000	18.050074	0.781250	
0.010000	18.206436	0.585938	
0.010000	18.334887	0.609375	
0.010000	17.948248	0.718750	
0.010000	17.917765	0.718750	
0.010000	18.079082	0.625000	
0.010000	17.894470	0.625000	
0.010000	17.587099	0.773438	
0.010000	17.584280	0.703125	
0.010000	17.446560	0.710938	
0.010000	17.256578	0.765625	
0.010000	17.404682	0.718750	
0.010000	17.266317	0.734375	
0.010000	17.295788	0.710938	
0.010000	17.130611	0.734375	
0.010000	17.005215	0.695312	
0.010000	16.951288	0.726562	
0.010000	16.994394	0.632812	
0.010000	17.165861	0.632812	
0.010000	16.937922	0.703125	
0.010000	16.686598	0.726562	
0.010000	16.508192	0.781250	
0.010000	16.497749	0.765625	
0.010000	16.285093	0.843750	
0.010000	16.221224	0.820312	
0.010000	16.265835	0.812500	
0.010000	16.189316	0.773438	
0.010000	16.304182	0.664062	
0.010000	16.131765	0.796875	
0.010000	16.135149	0.789062	
0.010000	15.867163	0.828125	
0.010000	15.888019	0.835938	
0.010000	15.686893	0.851562	
0.010000	15.653480	0.812500	
0.010000	15.600309	0.835938	
0.010000	15.643570	0.804688	
0.010000	15.528317	0.820312	
0.010000	15.324183	0.867188	
0.010000	15.466718	0.796875	
0.010000	15.186130	0.851562	
0.010000	15.214562	0.812500	
0.010000	15.221799	0.781250	
0.010000	15.217106	0.812500	
0.010000	14.934600	0.820312	
0.010000	14.784269	0.906250	
0.010000	14.708488	0.906250	
0.010000	14.592140	0.945312	
0.010000	14.851787	0.804688	
0.010000	14.619984	0.875000	
0.010000	14.587692	0.851562	
0.010000	14.496440	0.882812	
0.010000	14.185059	0.953125	
0.010000	14.391812	0.859375	
0.010000	14.567643	0.804688	
0.010000	14.347513	0.906250	
0.010000	14.031679	0.914062	
0.010000	14.016026	0.898438	
0.010000	13.968776	0.867188	
0.010000	13.957110	0.890625	
0.010000	13.955747	0.890625	
0.010000	14.020618	0.859375	
0.010000	13.822069	0.882812	
0.010000	13.754840	0.843750	
0.010000	13.574749	0.890625	
0.010000	13.430714	0.929688	
0.010000	13.532110	0.890625	
0.010000	13.555188	0.859375	
0.010000	13.393911	0.890625	
0.010000	13.225810	0.937500	
0.010000	13.359241	0.890625	
0.010000	13.187006	0.898438	
0.010000	13.086349	0.898438	
0.010000	13.002550	0.937500	
0.010000	12.965891	0.890625	
0.010000	12.728085	0.968750	
0.010000	12.848409	0.906250	
0.010000	12.778275	0.921875	
0.010000	12.830390	0.859375	
0.010000	12.698460	0.890625	
0.010000	12.705023	0.882812	
0.010000	12.805377	0.843750	
0.010000	12.463733	0.914062	
0.010000	12.379319	0.906250	
0.010000	12.300848	0.960938	
0.010000	12.410817	0.882812	
0.010000	12.291323	0.914062	
0.010000	12.140469	0.921875	
0.010000	12.083458	0.914062	
0.010000	12.150885	0.890625	
0.010000	12.030472	0.898438	
0.010000	11.871641	0.929688	
0.010000	11.980683	0.890625	
0.010000	11.821126	0.914062	
0.010000	11.867360	0.898438	
0.010000	11.629603	0.937500	
0.010000	11.725486	0.859375	
0.010000	11.790134	0.867188	
0.010000	11.618421	0.898438	
0.010000	11.413764	0.937500	
0.010000	11.280999	0.976562	
0.010000	11.322158	0.921875	
0.010000	11.431197	0.867188	
0.010000	11.145111	0.960938	
0.010000	11.218093	0.906250	
0.010000	11.094956	0.929688	
0.010000	11.281448	0.835938	
0.010000	11.049246	0.921875	
0.010000	10.923167	0.929688	
0.010000	10.814749	0.953125	
0.010000	10.842163	0.921875	
0.010000	10.854674	0.890625	
0.010000	10.861139	0.906250	
0.010000	10.754007	0.914062	
0.010000	10.624988	0.929688	
0.010000	10.654230	0.929688	
0.010000	10.564894	0.945312	
0.010000	10.625020	0.851562	
0.010000	10.403537	0.937500	
0.010000	10.517937	0.875000	
0.010000	10.287858	0.945312	
0.010000	10.260941	0.937500	
0.010000	10.274275	0.898438	
0.010000	10.077163	0.937500	
0.010000	10.108126	0.921875	
0.010000	10.004655	0.953125	
0.010000	9.969155	0.953125	
0.010000	9.884427	0.953125	
0.010000	10.012165	0.875000	
0.010000	9.934042	0.906250	
0.010000	9.777355	0.937500	
0.010000	9.760798	0.914062	
0.010000	9.695878	0.960938	
0.010000	9.631638	0.921875	
0.010000	9.715968	0.875000	
0.010000	9.500123	0.953125	
0.010000	9.514283	0.937500	
0.010000	9.485398	0.890625	
0.010000	9.576544	0.875000	
0.010000	9.429941	0.898438	
0.010000	9.444361	0.882812	
0.010000	9.120158	0.953125	
0.010000	9.261737	0.921875	
0.010000	9.347768	0.890625	
0.010000	9.094234	0.929688	
0.010000	8.970141	0.960938	
0.010000	9.052412	0.890625	
0.010000	8.811919	0.968750	
0.010000	8.923309	0.937500	
0.010000	9.056716	0.859375	
0.010000	8.839921	0.914062	
0.010000	8.729450	0.929688	
0.010000	8.740877	0.929688	
0.010000	8.685664	0.929688	
0.010000	8.648918	0.906250	
0.010000	8.608434	0.890625	
0.010000	8.546623	0.914062	
0.010000	8.685472	0.875000	
0.010000	8.633028	0.867188	
0.010000	8.335649	0.953125	
0.010000	8.426558	0.898438	
0.010000	8.440808	0.882812	
0.010000	8.113605	0.976562	
0.010000	8.215870	0.921875	
0.010000	8.085816	0.960938	
0.010000	8.117982	0.906250	
0.010000	7.999973	0.945312	
0.010000	8.013291	0.929688	
0.010000	7.938510	0.937500	
0.010000	7.813214	0.968750	
0.010000	7.837980	0.960938	
0.010000	7.739966	0.960938	
0.010000	7.747262	0.945312	
0.010000	7.817546	0.929688	
0.010000	7.666846	0.960938	
0.010000	7.566720	0.984375	
0.010000	7.642483	0.937500	
0.010000	7.584348	0.937500	
0.010000	7.446496	0.960938	
0.010000	7.379926	0.953125	
0.010000	7.526369	0.945312	
0.010000	7.326117	0.960938	
0.010000	7.421518	0.960938	
0.010000	7.319514	0.937500	
0.010000	7.255101	0.960938	
0.010000	7.255264	0.937500	
0.010000	7.239882	0.921875	
0.010000	7.209382	0.906250	
