Learning Rate	Train Loss	Train Acc.	
0.010000	30.690273	0.093750	
0.010000	27.441290	0.125000	
0.010000	26.843590	0.101562	
0.010000	26.390581	0.062500	
0.010000	26.219957	0.132812	
0.010000	26.183165	0.078125	
0.010000	25.805040	0.078125	
0.010000	26.035578	0.101562	
0.010000	25.800928	0.101562	
0.010000	25.883064	0.078125	
0.010000	25.774565	0.093750	
0.010000	25.712179	0.140625	
0.010000	25.863472	0.085938	
0.010000	25.606268	0.078125	
0.010000	25.669115	0.101562	
0.010000	25.517004	0.093750	
0.010000	25.516451	0.132812	
0.010000	25.573423	0.054688	
0.010000	25.408897	0.171875	
0.010000	25.379709	0.187500	
0.010000	25.609743	0.085938	
0.010000	25.466354	0.078125	
0.010000	25.338266	0.148438	
0.010000	25.396875	0.117188	
0.010000	25.530479	0.148438	
0.010000	25.477310	0.117188	
0.010000	25.412346	0.171875	
0.010000	25.318207	0.195312	
0.010000	25.483660	0.140625	
0.010000	25.359644	0.140625	
0.010000	25.424990	0.148438	
0.010000	25.376747	0.140625	
0.010000	25.255455	0.171875	
0.010000	25.343895	0.132812	
0.010000	25.359499	0.117188	
0.010000	25.360832	0.132812	
0.010000	25.418520	0.148438	
0.010000	25.374517	0.140625	
0.010000	25.282560	0.148438	
0.010000	25.410315	0.132812	
0.010000	25.267187	0.156250	
0.010000	25.396017	0.109375	
0.010000	25.368534	0.148438	
0.010000	25.157644	0.273438	
0.010000	25.354904	0.125000	
0.010000	25.268595	0.171875	
0.010000	25.254999	0.140625	
0.010000	25.260332	0.210938	
0.010000	25.332762	0.117188	
0.010000	25.402378	0.140625	
0.010000	25.511515	0.117188	
0.010000	25.242027	0.156250	
0.010000	25.265402	0.179688	
0.010000	25.347815	0.171875	
0.010000	25.266199	0.210938	
0.010000	25.412807	0.117188	
0.010000	25.345879	0.125000	
0.010000	25.206734	0.250000	
0.010000	25.241976	0.148438	
0.010000	25.233616	0.210938	
0.010000	25.173067	0.203125	
0.010000	25.313673	0.148438	
0.010000	25.250406	0.117188	
0.010000	25.193470	0.203125	
0.010000	25.183142	0.218750	
0.010000	25.397003	0.187500	
0.010000	25.244316	0.210938	
0.010000	25.244761	0.187500	
0.010000	25.266357	0.179688	
0.010000	25.203978	0.187500	
0.010000	25.311687	0.148438	
0.010000	25.197701	0.218750	
0.010000	25.231441	0.195312	
0.010000	25.437782	0.156250	
0.010000	25.240147	0.187500	
0.010000	25.207962	0.234375	
0.010000	25.179258	0.250000	
0.010000	25.181826	0.179688	
0.010000	25.189114	0.226562	
0.010000	25.136398	0.203125	
0.010000	25.204798	0.164062	
0.010000	25.150471	0.218750	
0.010000	25.130350	0.273438	
0.010000	25.270748	0.148438	
0.010000	25.211617	0.218750	
0.010000	25.112366	0.265625	
0.010000	25.131689	0.218750	
0.010000	25.132421	0.257812	
0.010000	25.221397	0.203125	
0.010000	25.212242	0.257812	
0.010000	25.054874	0.304688	
0.010000	25.166512	0.203125	
0.010000	25.198023	0.187500	
0.010000	25.254463	0.164062	
0.010000	25.061340	0.289062	
0.010000	25.180496	0.234375	
0.010000	25.106934	0.281250	
0.010000	25.108467	0.242188	
0.010000	25.138138	0.250000	
0.010000	25.088074	0.257812	
0.010000	25.153708	0.281250	
0.010000	25.222622	0.218750	
0.010000	25.115383	0.265625	
0.010000	25.051640	0.265625	
0.010000	25.065735	0.281250	
0.010000	25.131041	0.242188	
0.010000	25.132515	0.203125	
0.010000	25.134071	0.242188	
0.010000	24.947262	0.328125	
0.010000	25.146072	0.257812	
0.010000	25.139471	0.273438	
0.010000	25.016306	0.296875	
0.010000	25.101965	0.289062	
0.010000	25.102781	0.273438	
0.010000	25.094252	0.289062	
0.010000	25.093122	0.218750	
0.010000	25.249870	0.195312	
0.010000	25.087791	0.265625	
0.010000	25.200827	0.195312	
0.010000	25.045536	0.250000	
0.010000	25.091732	0.210938	
0.010000	25.049568	0.265625	
0.010000	25.174763	0.210938	
0.010000	25.066977	0.273438	
0.010000	25.032490	0.265625	
0.010000	25.039581	0.281250	
0.010000	25.052483	0.218750	
0.010000	25.050865	0.273438	
0.010000	25.011187	0.312500	
0.010000	24.965569	0.296875	
0.010000	25.018408	0.312500	
0.010000	25.139475	0.250000	
0.010000	24.950565	0.351562	
0.010000	24.999632	0.296875	
0.010000	24.857918	0.359375	
0.010000	24.947254	0.328125	
0.010000	24.979683	0.375000	
0.010000	25.093477	0.250000	
0.010000	24.989717	0.304688	
0.010000	25.000998	0.304688	
0.010000	24.957232	0.343750	
0.010000	24.802309	0.351562	
0.010000	24.888477	0.390625	
0.010000	24.912521	0.320312	
