Learning Rate	Test Loss	Test Acc.	
0.010000	23.518816	0.867188	
0.010000	23.565393	0.796875	
0.010000	23.621826	0.773438	
0.010000	23.710318	0.757812	
0.010000	23.677483	0.781250	
0.010000	23.859982	0.742188	
0.010000	23.577158	0.820312	
0.010000	23.774324	0.781250	
0.010000	23.718487	0.812500	
0.010000	23.889025	0.742188	
0.010000	23.820583	0.757812	
0.010000	23.626917	0.796875	
0.010000	23.782936	0.710938	
0.010000	23.802137	0.781250	
0.010000	23.893480	0.726562	
0.010000	23.629700	0.835938	
0.010000	23.632044	0.804688	
0.010000	23.696369	0.773438	
0.010000	23.653790	0.804688	
0.010000	23.470194	0.843750	
0.010000	23.576200	0.812500	
0.010000	23.676527	0.765625	
0.010000	23.500685	0.843750	
0.010000	23.632828	0.781250	
0.010000	23.624435	0.796875	
0.010000	23.558207	0.804688	
0.010000	23.565107	0.796875	
0.010000	23.837093	0.718750	
0.010000	23.538044	0.828125	
0.010000	23.911318	0.742188	
0.010000	23.726120	0.796875	
0.010000	23.517225	0.843750	
0.010000	23.647093	0.796875	
0.010000	23.790142	0.726562	
0.010000	23.497335	0.843750	
0.010000	23.657064	0.789062	
0.010000	23.615067	0.804688	
0.010000	23.759968	0.781250	
0.010000	23.797112	0.781250	
0.010000	23.505688	0.835938	
0.010000	23.410488	0.882812	
0.010000	23.372307	0.906250	
0.010000	23.291683	0.890625	
0.010000	23.397413	0.875000	
0.010000	23.321453	0.859375	
0.010000	23.397701	0.890625	
0.010000	23.590023	0.789062	
0.010000	23.439728	0.882812	
0.010000	23.300776	0.882812	
0.010000	23.217884	0.937500	
0.010000	23.348944	0.882812	
0.010000	23.695107	0.804688	
0.010000	23.472580	0.843750	
0.010000	23.389051	0.851562	
0.010000	23.339388	0.898438	
0.010000	23.330221	0.890625	
0.010000	23.493252	0.835938	
0.010000	23.294315	0.906250	
0.010000	23.412693	0.867188	
0.010000	23.411356	0.867188	
0.010000	23.424681	0.820312	
0.010000	23.641127	0.789062	
0.010000	23.305422	0.875000	
0.010000	23.428999	0.835938	
0.010000	23.538416	0.843750	
0.010000	23.296591	0.929688	
0.010000	23.359114	0.859375	
0.010000	23.166704	0.945312	
0.010000	23.153742	0.945312	
0.010000	23.149282	0.945312	
0.010000	23.593807	0.875000	
0.010000	23.421923	0.859375	
0.010000	23.270761	0.929688	
0.010000	23.264961	0.914062	
0.010000	23.394613	0.875000	
0.010000	23.522230	0.812500	
0.010000	23.756021	0.742188	
0.010000	23.829052	0.734375	
0.010000	23.086678	1.000000	
0.010000	23.370150	0.867188	
0.010000	23.359297	0.906250	
0.010000	23.419558	0.875000	
0.010000	23.441418	0.828125	
0.010000	23.440670	0.828125	
0.010000	23.364029	0.882812	
0.010000	23.253267	0.898438	
0.010000	23.412592	0.875000	
0.010000	23.325968	0.875000	
0.010000	23.707502	0.843750	
0.010000	23.453468	0.851562	
0.010000	23.433722	0.890625	
0.010000	23.420746	0.882812	
0.010000	23.664171	0.812500	
0.010000	23.387781	0.875000	
0.010000	23.517658	0.851562	
0.010000	23.475273	0.859375	
0.010000	23.450594	0.875000	
0.010000	23.361343	0.851562	
0.010000	23.430737	0.851562	
0.010000	23.469652	0.843750	
0.010000	23.477819	0.882812	
0.010000	23.390322	0.843750	
0.010000	23.285669	0.898438	
0.010000	23.284414	0.914062	
0.010000	23.420799	0.867188	
0.010000	23.427870	0.859375	
0.010000	23.475073	0.835938	
0.010000	23.343096	0.906250	
0.010000	23.626686	0.828125	
0.010000	23.407921	0.867188	
0.010000	23.337320	0.898438	
0.010000	23.486366	0.835938	
0.010000	23.578012	0.820312	
0.010000	23.392637	0.890625	
