Learning Rate	Train Loss	Train Acc.	
0.010000	30.022663	0.101562	
0.010000	27.093004	0.093750	
0.010000	26.546337	0.132812	
0.010000	26.596678	0.085938	
0.010000	26.285994	0.085938	
0.010000	26.011862	0.187500	
0.010000	26.098873	0.117188	
0.010000	26.108458	0.101562	
0.010000	25.804268	0.117188	
0.010000	25.655344	0.132812	
0.010000	25.788790	0.085938	
0.010000	25.774023	0.125000	
0.010000	25.695066	0.101562	
0.010000	25.504045	0.148438	
0.010000	25.510466	0.125000	
0.010000	25.559502	0.125000	
0.010000	25.462101	0.093750	
0.010000	25.518782	0.132812	
0.010000	25.849552	0.093750	
0.010000	25.422068	0.156250	
0.010000	25.550364	0.093750	
0.010000	25.460781	0.140625	
0.010000	25.345789	0.148438	
0.010000	25.392588	0.156250	
0.010000	25.409697	0.171875	
0.010000	25.446901	0.101562	
0.010000	25.336039	0.171875	
0.010000	25.346180	0.132812	
0.010000	25.374893	0.195312	
0.010000	25.523207	0.132812	
0.010000	25.493567	0.148438	
0.010000	25.352489	0.101562	
0.010000	25.260450	0.187500	
0.010000	25.394447	0.148438	
0.010000	25.278366	0.218750	
0.010000	25.598806	0.132812	
0.010000	25.458773	0.101562	
0.010000	25.335171	0.179688	
0.010000	25.409063	0.156250	
0.010000	25.319933	0.187500	
0.010000	25.338337	0.171875	
0.010000	25.442049	0.132812	
0.010000	25.453766	0.156250	
0.010000	25.390617	0.140625	
0.010000	25.215067	0.195312	
0.010000	25.243605	0.257812	
0.010000	25.292040	0.164062	
0.010000	25.288424	0.164062	
0.010000	25.480642	0.125000	
0.010000	25.276461	0.187500	
0.010000	25.327978	0.148438	
0.010000	25.235773	0.179688	
0.010000	25.356501	0.218750	
0.010000	25.265966	0.164062	
0.010000	25.379395	0.148438	
0.010000	25.180693	0.203125	
0.010000	25.228617	0.226562	
0.010000	25.366861	0.125000	
0.010000	25.287689	0.109375	
0.010000	25.211943	0.195312	
0.010000	25.265055	0.179688	
0.010000	25.326124	0.171875	
0.010000	25.219830	0.203125	
0.010000	25.222290	0.148438	
0.010000	25.223927	0.148438	
0.010000	25.309717	0.179688	
0.010000	25.229031	0.203125	
0.010000	25.475504	0.140625	
0.010000	25.262962	0.148438	
0.010000	25.212698	0.195312	
0.010000	25.155392	0.257812	
0.010000	25.199572	0.226562	
0.010000	25.347954	0.179688	
0.010000	25.288172	0.203125	
0.010000	25.266493	0.187500	
0.010000	25.199022	0.226562	
0.010000	25.143583	0.132812	
0.010000	25.057150	0.320312	
0.010000	25.105940	0.203125	
0.010000	25.313398	0.148438	
0.010000	25.310816	0.187500	
0.010000	25.371712	0.171875	
0.010000	25.245550	0.195312	
0.010000	25.197538	0.210938	
0.010000	25.329851	0.179688	
0.010000	25.085461	0.257812	
0.010000	25.122290	0.242188	
0.010000	25.153103	0.242188	
0.010000	25.206688	0.226562	
0.010000	25.159769	0.203125	
0.010000	25.195158	0.164062	
0.010000	25.079388	0.273438	
0.010000	25.159781	0.203125	
0.010000	25.113976	0.195312	
0.010000	25.164948	0.226562	
0.010000	25.087196	0.312500	
0.010000	25.121538	0.210938	
0.010000	25.073683	0.250000	
0.010000	25.106045	0.273438	
0.010000	25.075237	0.273438	
0.010000	25.059517	0.226562	
0.010000	25.106947	0.273438	
0.010000	25.130121	0.242188	
0.010000	24.979408	0.296875	
0.010000	25.041027	0.289062	
0.010000	25.047367	0.257812	
0.010000	25.197073	0.234375	
0.010000	25.064787	0.289062	
0.010000	25.039513	0.273438	
0.010000	25.088955	0.312500	
0.010000	24.994997	0.335938	
0.010000	25.186522	0.210938	
0.010000	25.178001	0.218750	
0.010000	25.177851	0.203125	
0.010000	25.092417	0.281250	
0.010000	25.097931	0.234375	
0.010000	24.940861	0.335938	
0.010000	25.038071	0.281250	
0.010000	25.038887	0.257812	
0.010000	24.989353	0.335938	
