Learning Rate	Train Loss	Train Acc.	
0.010000	30.060913	0.125000	
0.010000	26.646357	0.148438	
0.010000	26.514448	0.179688	
0.010000	26.169785	0.101562	
0.010000	25.956581	0.148438	
0.010000	25.755844	0.179688	
0.010000	25.921629	0.140625	
0.010000	25.969427	0.070312	
0.010000	25.660185	0.140625	
0.010000	25.761156	0.148438	
0.010000	25.781803	0.093750	
0.010000	25.614971	0.093750	
0.010000	25.353682	0.187500	
0.010000	25.507814	0.148438	
0.010000	25.412859	0.148438	
0.010000	25.506559	0.187500	
0.010000	25.282604	0.210938	
0.010000	25.473619	0.171875	
0.010000	25.394169	0.140625	
0.010000	25.346905	0.187500	
0.010000	25.347998	0.156250	
0.010000	25.578638	0.132812	
0.010000	25.279202	0.242188	
0.010000	25.310999	0.210938	
0.010000	25.226519	0.257812	
0.010000	25.265257	0.210938	
0.010000	25.294857	0.203125	
0.010000	25.274208	0.203125	
0.010000	25.203074	0.250000	
0.010000	25.227728	0.210938	
0.010000	25.280910	0.226562	
0.010000	25.334137	0.164062	
0.010000	25.296373	0.203125	
0.010000	25.156221	0.226562	
0.010000	25.269232	0.210938	
0.010000	25.184191	0.242188	
0.010000	25.255892	0.187500	
0.010000	25.290806	0.203125	
0.010000	25.104424	0.273438	
0.010000	25.063498	0.257812	
0.010000	25.049835	0.257812	
0.010000	25.158665	0.218750	
0.010000	25.178305	0.226562	
0.010000	25.185616	0.226562	
0.010000	25.105318	0.320312	
0.010000	25.373528	0.125000	
0.010000	25.234446	0.171875	
0.010000	25.027685	0.296875	
0.010000	25.135387	0.218750	
0.010000	25.144535	0.273438	
0.010000	24.981558	0.273438	
0.010000	25.083633	0.304688	
0.010000	24.967258	0.296875	
0.010000	25.146198	0.250000	
0.010000	25.068066	0.281250	
0.010000	25.106625	0.265625	
0.010000	25.099028	0.265625	
0.010000	25.158504	0.218750	
0.010000	25.250360	0.179688	
0.010000	24.928703	0.328125	
0.010000	25.146633	0.250000	
0.010000	24.939926	0.351562	
0.010000	25.036243	0.312500	
0.010000	24.931217	0.304688	
0.010000	25.133286	0.281250	
0.010000	25.018444	0.320312	
0.010000	24.796547	0.351562	
0.010000	25.048023	0.289062	
0.010000	25.040035	0.242188	
0.010000	25.076603	0.312500	
0.010000	24.834597	0.328125	
0.010000	24.882122	0.335938	
0.010000	24.833422	0.390625	
0.010000	24.888334	0.304688	
0.010000	25.076050	0.289062	
0.010000	24.906725	0.328125	
0.010000	24.977242	0.312500	
0.010000	24.849571	0.351562	
0.010000	24.879841	0.351562	
0.010000	24.794001	0.359375	
0.010000	24.637655	0.429688	
0.010000	24.817696	0.328125	
0.010000	24.811354	0.320312	
0.010000	24.788279	0.375000	
0.010000	24.891304	0.359375	
0.010000	24.800161	0.421875	
0.010000	24.849367	0.320312	
0.010000	24.668638	0.343750	
0.010000	24.740923	0.406250	
0.010000	24.644136	0.421875	
0.010000	24.857767	0.414062	
0.010000	24.865997	0.351562	
0.010000	24.803406	0.382812	
0.010000	24.781719	0.398438	
0.010000	24.699150	0.437500	
0.010000	24.803644	0.429688	
0.010000	24.859465	0.351562	
0.010000	24.855856	0.296875	
0.010000	24.745270	0.382812	
0.010000	24.744154	0.367188	
0.010000	24.761028	0.351562	
0.010000	24.898924	0.359375	
0.010000	24.807085	0.359375	
0.010000	25.000414	0.320312	
0.010000	24.778387	0.359375	
0.010000	24.484249	0.500000	
0.010000	24.600920	0.437500	
0.010000	24.670322	0.335938	
0.010000	24.825693	0.304688	
0.010000	24.769203	0.414062	
0.010000	24.714027	0.421875	
0.010000	24.900810	0.367188	
0.010000	24.655605	0.437500	
0.010000	24.690273	0.375000	
0.010000	24.840092	0.289062	
0.010000	24.759102	0.351562	
0.010000	24.568729	0.468750	
0.010000	24.487888	0.484375	
0.010000	24.647663	0.429688	
0.010000	24.605112	0.406250	
0.010000	24.605593	0.429688	
0.010000	24.564529	0.484375	
0.010000	24.551414	0.484375	
0.010000	24.743879	0.382812	
0.010000	24.755220	0.390625	
0.010000	24.761049	0.421875	
0.010000	24.514965	0.414062	
0.010000	24.409267	0.492188	
0.010000	24.588127	0.398438	
0.010000	24.425966	0.539062	
0.010000	24.585125	0.507812	
0.010000	24.644623	0.421875	
0.010000	24.579676	0.445312	
0.010000	24.532545	0.492188	
0.010000	24.688154	0.445312	
0.010000	24.505016	0.460938	
0.010000	24.470896	0.515625	
0.010000	24.702387	0.406250	
0.010000	24.529345	0.468750	
0.010000	24.558348	0.492188	
0.010000	24.366241	0.531250	
0.010000	24.347656	0.484375	
0.010000	24.377312	0.523438	
0.010000	24.438995	0.515625	
0.010000	24.425272	0.500000	
0.010000	24.502861	0.468750	
0.010000	24.336094	0.500000	
0.010000	24.282413	0.578125	
0.010000	24.683355	0.437500	
0.010000	24.572639	0.492188	
0.010000	24.263498	0.562500	
0.010000	24.405573	0.484375	
0.010000	24.310160	0.523438	
0.010000	24.398315	0.500000	
0.010000	24.278200	0.515625	
0.010000	24.401781	0.476562	
0.010000	24.443062	0.492188	
0.010000	24.500275	0.437500	
0.010000	24.423914	0.460938	
0.010000	24.219994	0.601562	
0.010000	24.358719	0.484375	
0.010000	24.242970	0.531250	
0.010000	24.382223	0.539062	
0.010000	24.406733	0.460938	
0.010000	24.228453	0.601562	
0.010000	24.316559	0.539062	
0.010000	24.403030	0.515625	
0.010000	24.434923	0.500000	
0.010000	24.381714	0.515625	
0.010000	24.212078	0.632812	
0.010000	24.171595	0.640625	
0.010000	24.130123	0.625000	
0.010000	24.601017	0.468750	
0.010000	24.306717	0.500000	
0.010000	24.294172	0.476562	
0.010000	24.533445	0.468750	
0.010000	24.410358	0.539062	
0.010000	24.247192	0.523438	
0.010000	24.258734	0.554688	
0.010000	24.201727	0.601562	
0.010000	24.200089	0.609375	
0.010000	24.105526	0.617188	
