Learning Rate	Test Loss	Test Acc.	
0.010000	3.432688	0.984375	
0.010000	3.495930	0.953125	
0.010000	3.593519	0.945312	
0.010000	3.477612	0.945312	
0.010000	3.502634	0.953125	
0.010000	3.540817	0.937500	
0.010000	3.413541	0.968750	
0.010000	3.471085	0.937500	
0.010000	3.476478	0.929688	
0.010000	3.424652	0.937500	
0.010000	3.423233	0.960938	
0.010000	3.389774	0.960938	
0.010000	3.336586	0.976562	
0.010000	3.549882	0.921875	
0.010000	3.441812	0.929688	
0.010000	3.362895	0.921875	
0.010000	3.538376	0.929688	
0.010000	3.329692	0.945312	
0.010000	3.282011	0.953125	
0.010000	3.265296	0.960938	
0.010000	3.326812	0.937500	
0.010000	3.261998	0.937500	
0.010000	3.305952	0.921875	
0.010000	3.270993	0.937500	
0.010000	3.183622	0.976562	
0.010000	3.207954	0.960938	
0.010000	3.257377	0.945312	
0.010000	3.307017	0.960938	
0.010000	3.159561	0.960938	
0.010000	3.317267	0.937500	
0.010000	3.185573	0.953125	
0.010000	3.165273	0.960938	
0.010000	3.133137	0.984375	
0.010000	3.330290	0.921875	
0.010000	3.137778	0.960938	
0.010000	3.150483	0.937500	
0.010000	3.083794	0.968750	
0.010000	3.113091	0.953125	
0.010000	3.169580	0.937500	
0.010000	3.044139	0.984375	
0.010000	3.033853	0.968750	
0.010000	2.983637	0.984375	
0.010000	2.946505	1.000000	
0.010000	2.939394	0.992188	
0.010000	2.987430	0.968750	
0.010000	2.990729	0.960938	
0.010000	3.115865	0.906250	
0.010000	2.950687	0.984375	
0.010000	2.973848	0.984375	
0.010000	2.864925	1.000000	
0.010000	2.860469	1.000000	
0.010000	3.271394	0.906250	
0.010000	2.883342	0.968750	
0.010000	2.862259	0.992188	
0.010000	2.836609	0.992188	
0.010000	2.836361	0.984375	
0.010000	2.856628	0.984375	
0.010000	2.805897	0.992188	
0.010000	2.812729	1.000000	
0.010000	2.778082	1.000000	
0.010000	2.800432	0.984375	
0.010000	3.020363	0.906250	
0.010000	2.771540	0.976562	
0.010000	2.969743	0.953125	
0.010000	2.857132	0.960938	
0.010000	2.781989	0.976562	
0.010000	2.876787	0.960938	
0.010000	2.709112	1.000000	
0.010000	2.695586	1.000000	
0.010000	2.719186	0.984375	
0.010000	2.807077	0.960938	
0.010000	2.699614	0.984375	
0.010000	2.661820	1.000000	
0.010000	2.718334	0.976562	
0.010000	2.693315	0.976562	
0.010000	2.880346	0.953125	
0.010000	2.852073	0.960938	
0.010000	2.721056	0.968750	
0.010000	2.796082	0.937500	
0.010000	1.079949	0.984375	
0.010000	1.054358	0.976562	
0.010000	1.116528	0.945312	
0.010000	1.133196	0.976562	
0.010000	1.166465	0.945312	
0.010000	1.174973	0.960938	
0.010000	1.043110	0.992188	
0.010000	1.176273	0.929688	
0.010000	1.171502	0.953125	
0.010000	1.288443	0.945312	
0.010000	1.241855	0.945312	
0.010000	1.112958	0.968750	
0.010000	1.070064	0.992188	
0.010000	1.212421	0.937500	
0.010000	1.143297	0.960938	
0.010000	1.121285	0.953125	
0.010000	1.307657	0.921875	
0.010000	1.077658	0.968750	
0.010000	1.086276	0.968750	
0.010000	1.173356	0.937500	
0.010000	1.059099	0.992188	
0.010000	1.130296	0.945312	
0.010000	1.113615	0.960938	
0.010000	1.108968	0.937500	
0.010000	1.099808	0.960938	
0.010000	1.116895	0.937500	
0.010000	1.056307	0.984375	
0.010000	1.231740	0.945312	
0.010000	1.068871	0.968750	
0.010000	1.122413	0.937500	
0.010000	1.117445	0.937500	
0.010000	1.101084	0.960938	
0.010000	1.044209	0.968750	
0.010000	1.284694	0.906250	
0.010000	1.200549	0.921875	
0.010000	1.136445	0.953125	
0.010000	1.029302	0.976562	
0.010000	1.149653	0.953125	
0.010000	1.264496	0.921875	
0.010000	0.995606	0.984375	
0.010000	0.972263	0.992188	
0.010000	0.960570	1.000000	
0.010000	0.963154	0.992188	
0.010000	0.962442	1.000000	
0.010000	1.088060	0.960938	
0.010000	1.001926	0.976562	
0.010000	1.156834	0.937500	
0.010000	1.114349	0.945312	
0.010000	1.036598	0.976562	
0.010000	0.958288	0.984375	
0.010000	1.040912	0.976562	
0.010000	1.402597	0.882812	
