Learning Rate	Test Loss	Test Acc.	
0.010000	23.560600	0.796875	
0.010000	23.556992	0.796875	
0.010000	23.743263	0.781250	
0.010000	23.821190	0.679688	
0.010000	23.944223	0.703125	
0.010000	23.703888	0.757812	
0.010000	23.519293	0.789062	
0.010000	23.816025	0.781250	
0.010000	23.860813	0.742188	
0.010000	23.947245	0.703125	
0.010000	23.716545	0.765625	
0.010000	23.812332	0.695312	
0.010000	23.801022	0.734375	
0.010000	23.807154	0.750000	
0.010000	23.692667	0.734375	
0.010000	23.757864	0.750000	
0.010000	23.858904	0.734375	
0.010000	23.868166	0.703125	
0.010000	23.796541	0.734375	
0.010000	23.593521	0.804688	
0.010000	23.955263	0.679688	
0.010000	23.790579	0.734375	
0.010000	23.629410	0.781250	
0.010000	23.605457	0.765625	
0.010000	23.637993	0.796875	
0.010000	23.596380	0.804688	
0.010000	23.632044	0.757812	
0.010000	23.824339	0.726562	
0.010000	23.692324	0.773438	
0.010000	24.133572	0.648438	
0.010000	23.732832	0.773438	
0.010000	23.683479	0.773438	
0.010000	23.809412	0.726562	
0.010000	23.705418	0.765625	
0.010000	23.687813	0.773438	
0.010000	23.658316	0.781250	
0.010000	23.648754	0.820312	
0.010000	23.822466	0.750000	
0.010000	23.657423	0.773438	
0.010000	23.400715	0.882812	
0.010000	23.552542	0.804688	
0.010000	23.406288	0.859375	
0.010000	23.292423	0.882812	
0.010000	23.450756	0.835938	
0.010000	23.547230	0.804688	
0.010000	23.556589	0.765625	
0.010000	23.620167	0.828125	
0.010000	23.694601	0.812500	
0.010000	23.726212	0.820312	
0.010000	23.296497	0.914062	
0.010000	23.396025	0.882812	
0.010000	23.744389	0.757812	
0.010000	23.711729	0.773438	
0.010000	23.600178	0.804688	
0.010000	23.312754	0.898438	
0.010000	23.468357	0.867188	
0.010000	23.652225	0.781250	
0.010000	23.534283	0.835938	
0.010000	23.590544	0.773438	
0.010000	23.430046	0.820312	
0.010000	23.416252	0.867188	
0.010000	23.771458	0.742188	
0.010000	23.394577	0.875000	
0.010000	23.371149	0.898438	
0.010000	23.836002	0.726562	
0.010000	23.366045	0.867188	
0.010000	23.474806	0.828125	
0.010000	23.161821	0.937500	
0.010000	23.261562	0.906250	
0.010000	23.342627	0.851562	
0.010000	23.805326	0.781250	
0.010000	23.402708	0.859375	
0.010000	23.370235	0.890625	
0.010000	23.318005	0.882812	
0.010000	23.377951	0.882812	
0.010000	23.724808	0.734375	
0.010000	23.855358	0.703125	
0.010000	23.872972	0.773438	
0.010000	23.207775	0.875000	
0.010000	23.228565	0.929688	
0.010000	23.276201	0.921875	
0.010000	23.408564	0.882812	
0.010000	23.492264	0.828125	
0.010000	23.601925	0.835938	
0.010000	23.464016	0.859375	
0.010000	23.332794	0.898438	
0.010000	23.519205	0.859375	
0.010000	23.405439	0.882812	
0.010000	23.657740	0.820312	
0.010000	23.493904	0.851562	
0.010000	23.428677	0.890625	
0.010000	23.465744	0.859375	
0.010000	23.522320	0.843750	
0.010000	23.443459	0.851562	
0.010000	23.610630	0.812500	
0.010000	23.461502	0.835938	
0.010000	23.392145	0.875000	
0.010000	23.432753	0.859375	
0.010000	23.249737	0.882812	
0.010000	23.417412	0.882812	
0.010000	23.410265	0.890625	
0.010000	23.348372	0.898438	
0.010000	23.302114	0.890625	
0.010000	23.434286	0.859375	
0.010000	23.362701	0.914062	
0.010000	23.455164	0.859375	
0.010000	23.450853	0.867188	
0.010000	23.345921	0.898438	
0.010000	23.706810	0.820312	
0.010000	23.445839	0.898438	
0.010000	23.469248	0.890625	
0.010000	23.438465	0.859375	
0.010000	23.469149	0.867188	
0.010000	23.443327	0.828125	
0.010000	23.412733	0.890625	
0.010000	23.242586	0.921875	
0.010000	23.446487	0.851562	
0.010000	23.640783	0.843750	
0.010000	23.176910	0.937500	
0.010000	23.304390	0.898438	
0.010000	23.184629	0.937500	
0.010000	23.075535	0.968750	
0.010000	23.206722	0.945312	
0.010000	23.371759	0.914062	
0.010000	23.316996	0.921875	
0.010000	23.384375	0.890625	
0.010000	23.521465	0.867188	
0.010000	23.204082	0.945312	
0.010000	23.051723	0.976562	
0.010000	23.239294	0.914062	
0.010000	23.503578	0.804688	
0.010000	23.459549	0.828125	
0.010000	23.318176	0.929688	
0.010000	23.051003	0.992188	
0.010000	23.104622	0.960938	
0.010000	23.332850	0.898438	
0.010000	23.177889	0.929688	
0.010000	23.426662	0.859375	
0.010000	23.243341	0.906250	
0.010000	23.190510	0.960938	
0.010000	23.389669	0.875000	
0.010000	23.194029	0.929688	
0.010000	23.316456	0.898438	
0.010000	23.367001	0.882812	
0.010000	23.234629	0.929688	
0.010000	23.165695	0.937500	
0.010000	23.084612	0.960938	
0.010000	23.077984	0.976562	
0.010000	23.085318	0.968750	
0.010000	23.379503	0.890625	
0.010000	23.204060	0.937500	
0.010000	23.118755	0.960938	
0.010000	23.107832	0.960938	
0.010000	23.278278	0.898438	
0.010000	23.411127	0.898438	
0.010000	23.520788	0.851562	
0.010000	23.546658	0.828125	
