Learning Rate	Test Loss	Test Acc.	
0.001000	25.335194	0.132812	
0.001000	25.222260	0.218750	
0.001000	25.285763	0.179688	
0.001000	25.294029	0.179688	
0.001000	25.189936	0.210938	
0.001000	25.285614	0.187500	
0.001000	25.258083	0.195312	
0.001000	25.297689	0.171875	
0.001000	25.237391	0.234375	
0.001000	25.275928	0.132812	
0.001000	25.289347	0.187500	
0.001000	25.301683	0.164062	
0.001000	25.232082	0.164062	
0.001000	25.287123	0.179688	
0.001000	25.274399	0.164062	
0.001000	25.190981	0.210938	
0.001000	25.371010	0.140625	
0.001000	25.262888	0.171875	
0.001000	25.256994	0.179688	
0.001000	25.350677	0.132812	
0.001000	25.136585	0.234375	
0.001000	25.267012	0.164062	
0.001000	25.304367	0.203125	
0.001000	25.241058	0.195312	
0.001000	25.293892	0.156250	
0.001000	25.215368	0.226562	
0.001000	25.201633	0.195312	
0.001000	25.340416	0.125000	
0.001000	25.166546	0.242188	
0.001000	25.269306	0.250000	
0.001000	25.240574	0.250000	
0.001000	25.145144	0.234375	
0.001000	25.195004	0.226562	
0.001000	25.233948	0.226562	
0.001000	25.366623	0.148438	
0.001000	25.223579	0.156250	
0.001000	25.138197	0.210938	
0.001000	25.187937	0.250000	
0.001000	25.251942	0.234375	
0.001000	25.208179	0.257812	
0.001000	25.160206	0.242188	
0.001000	25.138268	0.234375	
0.001000	25.266485	0.164062	
0.001000	25.219509	0.195312	
0.001000	25.184887	0.234375	
0.001000	25.207481	0.203125	
0.001000	25.323582	0.148438	
0.001000	25.223145	0.156250	
0.001000	25.326630	0.195312	
0.001000	25.195286	0.226562	
0.001000	25.195381	0.234375	
0.001000	25.328838	0.148438	
0.001000	25.279966	0.203125	
0.001000	25.283751	0.187500	
0.001000	25.217686	0.218750	
0.001000	25.242592	0.179688	
0.001000	25.170086	0.250000	
0.001000	25.175739	0.156250	
0.001000	25.255434	0.179688	
0.001000	25.184048	0.210938	
0.001000	25.294514	0.156250	
0.001000	25.254671	0.242188	
0.001000	25.261913	0.187500	
0.001000	25.226587	0.187500	
0.001000	25.197397	0.226562	
0.001000	25.201881	0.218750	
0.001000	25.202263	0.203125	
0.001000	25.178936	0.250000	
0.001000	25.213037	0.187500	
0.001000	25.281792	0.195312	
0.001000	25.236759	0.179688	
0.001000	25.315931	0.210938	
0.001000	25.095085	0.304688	
0.001000	25.093822	0.320312	
0.001000	25.325497	0.195312	
0.001000	25.251232	0.187500	
0.001000	25.290642	0.187500	
0.001000	25.255417	0.187500	
0.001000	24.913189	0.312500	
0.001000	24.999224	0.312500	
0.001000	25.018084	0.242188	
0.001000	24.943487	0.312500	
0.001000	24.946421	0.273438	
0.001000	25.116465	0.257812	
0.001000	25.063753	0.289062	
0.001000	25.173038	0.242188	
0.001000	24.974466	0.312500	
0.001000	24.999952	0.320312	
0.001000	24.912996	0.328125	
0.001000	25.018955	0.281250	
0.001000	24.958448	0.343750	
0.001000	25.118425	0.265625	
0.001000	24.987246	0.328125	
0.001000	24.896540	0.375000	
0.001000	24.911764	0.312500	
0.001000	25.262768	0.257812	
0.001000	25.026121	0.296875	
