Learning Rate	Train Loss	Train Acc.	
0.001000	29.994949	0.125000	
0.001000	27.451509	0.085938	
0.001000	26.925406	0.132812	
0.001000	26.619236	0.148438	
0.001000	26.222168	0.078125	
0.001000	25.678766	0.203125	
0.001000	25.869902	0.125000	
0.001000	25.540144	0.132812	
0.001000	25.283148	0.140625	
0.001000	25.341774	0.210938	
0.001000	25.189390	0.179688	
0.001000	25.081320	0.273438	
0.001000	25.067339	0.218750	
0.001000	25.054190	0.242188	
0.001000	25.091955	0.203125	
0.001000	25.015850	0.289062	
0.001000	24.945774	0.304688	
0.001000	25.118727	0.226562	
0.001000	25.057673	0.203125	
0.001000	24.983669	0.242188	
0.001000	24.845907	0.375000	
0.001000	24.958740	0.257812	
0.001000	24.896067	0.328125	
0.001000	24.948805	0.343750	
0.001000	24.899408	0.242188	
0.001000	24.729704	0.390625	
0.001000	24.744503	0.382812	
0.001000	24.729898	0.421875	
0.001000	24.712679	0.375000	
0.001000	24.642063	0.437500	
0.001000	24.538330	0.421875	
0.001000	24.670946	0.351562	
0.001000	24.428493	0.460938	
0.001000	24.441469	0.492188	
0.001000	24.351139	0.539062	
0.001000	24.114311	0.593750	
0.001000	24.298643	0.562500	
0.001000	24.539442	0.421875	
0.001000	24.251482	0.500000	
0.001000	24.302521	0.546875	
0.001000	24.191004	0.578125	
0.001000	24.233051	0.585938	
0.001000	24.059393	0.617188	
0.001000	24.093613	0.570312	
0.001000	24.122896	0.570312	
0.001000	24.012016	0.617188	
0.001000	24.025063	0.632812	
0.001000	23.731138	0.664062	
0.001000	23.788727	0.656250	
0.001000	23.762741	0.648438	
0.001000	23.932486	0.695312	
0.001000	23.625507	0.750000	
0.001000	23.730541	0.726562	
0.001000	24.042715	0.601562	
0.001000	23.700811	0.750000	
0.001000	23.676996	0.710938	
0.001000	24.069464	0.601562	
0.001000	23.911476	0.625000	
0.001000	23.751904	0.679688	
0.001000	23.624683	0.703125	
0.001000	23.943541	0.609375	
0.001000	23.748985	0.718750	
0.001000	23.559320	0.765625	
0.001000	23.574762	0.757812	
0.001000	23.786789	0.671875	
0.001000	23.690424	0.718750	
0.001000	23.577709	0.765625	
0.001000	23.753609	0.679688	
0.001000	23.773739	0.679688	
0.001000	23.830486	0.679688	
0.001000	23.384533	0.773438	
0.001000	23.573065	0.757812	
0.001000	23.788279	0.710938	
0.001000	23.456791	0.812500	
0.001000	23.539522	0.734375	
0.001000	23.236164	0.843750	
0.001000	23.345612	0.843750	
0.001000	23.394247	0.789062	
0.001000	23.385502	0.820312	
0.001000	23.487246	0.742188	
0.001000	23.554626	0.742188	
0.001000	23.287683	0.804688	
0.001000	23.176594	0.851562	
0.001000	23.399652	0.687500	
0.001000	23.332644	0.796875	
0.001000	23.231512	0.843750	
0.001000	23.380199	0.796875	
0.001000	23.452316	0.781250	
0.001000	23.176285	0.843750	
0.001000	23.124979	0.835938	
0.001000	23.517780	0.695312	
0.001000	23.394583	0.742188	
0.001000	23.256464	0.804688	
0.001000	23.252106	0.781250	
0.001000	23.303003	0.804688	
0.001000	23.389475	0.750000	
0.001000	23.341890	0.750000	
0.001000	23.401833	0.773438	
0.001000	23.489765	0.726562	
0.001000	23.188181	0.812500	
0.001000	23.287664	0.757812	
0.001000	23.360065	0.750000	
0.001000	23.350100	0.750000	
0.001000	23.092594	0.812500	
0.001000	23.166025	0.804688	
0.001000	23.109747	0.859375	
0.001000	23.189356	0.835938	
0.001000	23.038252	0.859375	
0.001000	23.128273	0.812500	
0.001000	23.267235	0.789062	
0.001000	23.282232	0.789062	
0.001000	23.176800	0.812500	
0.001000	23.405512	0.726562	
0.001000	23.245377	0.812500	
0.001000	23.248142	0.765625	
0.001000	23.348335	0.710938	
0.001000	22.899734	0.867188	
0.001000	22.852772	0.929688	
0.001000	23.171810	0.804688	
0.001000	22.991636	0.882812	
0.001000	23.124916	0.835938	
0.001000	23.111876	0.859375	
0.001000	23.023640	0.843750	
0.001000	23.180311	0.796875	
0.001000	23.039299	0.882812	
0.001000	23.049145	0.835938	
0.001000	22.925322	0.843750	
0.001000	22.974657	0.859375	
0.001000	22.920267	0.890625	
0.001000	22.904839	0.890625	
0.001000	22.896744	0.875000	
0.001000	23.142380	0.789062	
0.001000	22.974920	0.851562	
0.001000	22.914318	0.898438	
0.001000	23.091911	0.812500	
0.001000	22.855036	0.890625	
0.001000	23.029488	0.875000	
0.001000	23.088659	0.859375	
0.001000	22.946335	0.867188	
0.001000	23.040308	0.851562	
0.001000	22.842321	0.898438	
0.001000	22.909767	0.875000	
0.001000	22.790628	0.906250	
0.001000	22.995798	0.828125	
0.001000	22.852526	0.882812	
0.001000	22.898659	0.914062	
0.001000	22.818756	0.867188	
0.001000	22.674599	0.953125	
0.001000	22.795546	0.898438	
0.001000	22.941092	0.843750	
0.001000	22.714157	0.921875	
0.001000	22.855516	0.875000	
0.001000	22.817060	0.867188	
0.001000	22.584604	0.945312	
0.001000	22.831255	0.890625	
0.001000	22.823355	0.882812	
0.001000	22.970715	0.820312	
0.001000	22.950674	0.789062	
0.001000	22.743004	0.851562	
0.001000	22.627592	0.953125	
0.001000	22.746998	0.906250	
0.001000	22.819975	0.890625	
0.001000	22.854387	0.882812	
0.001000	22.800756	0.828125	
0.001000	23.010815	0.851562	
0.001000	22.672020	0.898438	
0.001000	22.747425	0.867188	
0.001000	22.731028	0.882812	
0.001000	22.809324	0.890625	
0.001000	22.725666	0.851562	
0.001000	22.571764	0.937500	
0.001000	22.627394	0.906250	
0.001000	22.678890	0.890625	
0.001000	22.795176	0.859375	
0.001000	22.714195	0.859375	
0.001000	22.844301	0.859375	
0.001000	23.038397	0.796875	
0.001000	22.770161	0.859375	
0.001000	22.748720	0.882812	
0.001000	22.553701	0.937500	
0.001000	22.744177	0.906250	
0.001000	22.529551	0.921875	
0.001000	22.668646	0.906250	
0.001000	22.528036	0.921875	
0.001000	22.715769	0.890625	
0.001000	22.691866	0.890625	
0.001000	22.585299	0.898438	
0.001000	22.676197	0.851562	
0.001000	22.629398	0.921875	
0.001000	22.688372	0.851562	
0.001000	22.449787	0.937500	
0.001000	22.694857	0.843750	
0.001000	22.724964	0.875000	
0.001000	22.611601	0.906250	
0.001000	22.572592	0.898438	
0.001000	22.548996	0.906250	
0.001000	22.519978	0.914062	
0.001000	22.482635	0.937500	
0.001000	22.512194	0.921875	
0.001000	22.563671	0.906250	
0.001000	22.461397	0.929688	
0.001000	22.724150	0.875000	
0.001000	22.492737	0.937500	
0.001000	22.562845	0.921875	
0.001000	22.364376	0.953125	
0.001000	22.432896	0.945312	
0.001000	22.621143	0.882812	
0.001000	22.577408	0.906250	
0.001000	22.847225	0.835938	
0.001000	22.439518	0.914062	
0.001000	22.512852	0.921875	
0.001000	22.524536	0.898438	
0.001000	22.724752	0.835938	
0.001000	22.443087	0.937500	
0.001000	22.475254	0.914062	
0.001000	22.625822	0.875000	
0.001000	22.475410	0.937500	
0.001000	22.453602	0.914062	
0.001000	22.325773	0.945312	
0.001000	22.427948	0.914062	
0.001000	22.398546	0.929688	
0.001000	22.475220	0.875000	
0.001000	22.442362	0.898438	
0.001000	22.570335	0.867188	
0.001000	22.418470	0.882812	
0.001000	22.319656	0.929688	
0.001000	22.313782	0.929688	
0.001000	22.534628	0.843750	
0.001000	22.387697	0.898438	
0.001000	22.407211	0.906250	
0.001000	22.292746	0.929688	
0.001000	22.347153	0.898438	
0.001000	22.298201	0.937500	
0.001000	22.541529	0.835938	
0.001000	22.609295	0.835938	
0.001000	22.480343	0.859375	
0.001000	22.341002	0.898438	
0.001000	22.266790	0.953125	
0.001000	22.461313	0.875000	
0.001000	22.455341	0.890625	
0.001000	22.421167	0.898438	
0.001000	22.357552	0.914062	
0.001000	22.211216	0.960938	
0.001000	22.486950	0.921875	
0.001000	22.608744	0.843750	
0.001000	22.311750	0.898438	
0.001000	22.238787	0.929688	
0.001000	22.466436	0.859375	
0.001000	22.341564	0.906250	
0.001000	22.170702	0.937500	
0.001000	22.190693	0.945312	
0.001000	22.372410	0.882812	
0.001000	22.416817	0.898438	
0.001000	22.450209	0.882812	
0.001000	22.130356	0.968750	
0.001000	22.252645	0.921875	
0.001000	22.273167	0.929688	
0.001000	22.183798	0.921875	
0.001000	22.237671	0.914062	
0.001000	22.185898	0.937500	
0.001000	22.215082	0.906250	
0.001000	22.183043	0.945312	
0.001000	22.131643	0.953125	
