Learning Rate	Train Loss	Train Acc.	
0.010000	29.065071	0.125000	
0.010000	33.056122	0.101562	
0.010000	26.699057	0.132812	
0.010000	25.688456	0.140625	
0.010000	25.339714	0.164062	
0.010000	25.297688	0.117188	
0.010000	25.232351	0.093750	
0.010000	25.133501	0.093750	
0.010000	25.042776	0.109375	
0.010000	25.027685	0.093750	
0.010000	24.952847	0.109375	
0.010000	24.901361	0.140625	
0.010000	24.846134	0.101562	
0.010000	24.794804	0.132812	
0.010000	24.730188	0.117188	
0.010000	24.671045	0.093750	
0.010000	24.612690	0.171875	
0.010000	24.569349	0.148438	
0.010000	24.516655	0.117188	
0.010000	24.468012	0.125000	
0.010000	24.408075	0.078125	
0.010000	24.346573	0.125000	
0.010000	24.304461	0.093750	
0.010000	24.248137	0.140625	
0.010000	24.192537	0.125000	
0.010000	24.129505	0.132812	
0.010000	24.068403	0.187500	
0.010000	24.012003	0.125000	
0.010000	23.956429	0.195312	
0.010000	23.887304	0.179688	
0.010000	23.797625	0.250000	
0.010000	23.749746	0.164062	
0.010000	23.655357	0.187500	
0.010000	23.591904	0.203125	
0.010000	23.520372	0.242188	
0.010000	23.378901	0.226562	
0.010000	23.357275	0.195312	
0.010000	23.212105	0.250000	
0.010000	22.918324	0.453125	
0.010000	23.041594	0.304688	
0.010000	22.855787	0.343750	
0.010000	22.658085	0.437500	
0.010000	22.620501	0.414062	
0.010000	22.395414	0.484375	
0.010000	22.318033	0.515625	
0.010000	22.186516	0.523438	
0.010000	22.255795	0.406250	
0.010000	21.707741	0.609375	
0.010000	21.830406	0.570312	
0.010000	21.672409	0.578125	
0.010000	21.492826	0.601562	
0.010000	21.168442	0.703125	
0.010000	21.347099	0.617188	
0.010000	21.504904	0.546875	
0.010000	21.367922	0.632812	
0.010000	21.105152	0.703125	
0.010000	21.476480	0.445312	
0.010000	21.143719	0.601562	
0.010000	20.782997	0.710938	
0.010000	20.874256	0.703125	
0.010000	21.084343	0.531250	
0.010000	20.826326	0.640625	
0.010000	20.612118	0.648438	
0.010000	20.422548	0.734375	
0.010000	20.584938	0.656250	
0.010000	20.301792	0.757812	
0.010000	20.251451	0.695312	
0.010000	20.176571	0.687500	
0.010000	20.326260	0.695312	
0.010000	20.139645	0.695312	
